species	window	region	n_rows	scfr_count
bonobo	5000	with_coding_region	32819	538.000000
bonobo	5000	without_coding_region	25804	423.000000
bonobo	7500	with_coding_region	12750	209.000000
bonobo	7500	without_coding_region	10432	171.000000
bonobo	10000	with_coding_region	4942	81.000000
bonobo	10000	without_coding_region	3539	58.000000
borangutan	5000	with_coding_region	38370	629.000000
borangutan	5000	without_coding_region	31660	519.000000
borangutan	7500	with_coding_region	9151	150.000000
borangutan	7500	without_coding_region	7077	116.000000
borangutan	10000	with_coding_region	4271	70.000000
borangutan	10000	without_coding_region	2929	48.000000
chimpanzee	5000	with_coding_region	23059	378.000000
chimpanzee	5000	without_coding_region	16654	273.000000
chimpanzee	7500	with_coding_region	7382	121.000000
chimpanzee	7500	without_coding_region	5369	88.000000
chimpanzee	10000	with_coding_region	3234	53.000000
chimpanzee	10000	without_coding_region	2014	33.000000
gibbon	5000	with_coding_region	19216	315.000000
gibbon	5000	without_coding_region	12933	212.000000
gibbon	7500	with_coding_region	9090	149.000000
gibbon	7500	without_coding_region	7077	116.000000
gibbon	10000	with_coding_region	4515	74.000000
gibbon	10000	without_coding_region	3417	56.000000
gorilla	5000	with_coding_region	61123	1002.000000
gorilla	5000	without_coding_region	50997	836.000000
gorilla	7500	with_coding_region	29159	478.000000
gorilla	7500	without_coding_region	25377	416.000000
gorilla	10000	with_coding_region	17142	281.000000
gorilla	10000	without_coding_region	15678	257.000000
human	5000	with_coding_region	15861	260.000000
human	5000	without_coding_region	8907	146.000000
human	7500	with_coding_region	3905	64.000000
human	7500	without_coding_region	1526	25.000000
human	10000	with_coding_region	2441	40.000000
human	10000	without_coding_region	1099	18.000000
sorangutan	5000	with_coding_region	39346	645.000000
sorangutan	5000	without_coding_region	32514	533.000000
sorangutan	7500	with_coding_region	10432	171.000000
sorangutan	7500	without_coding_region	8297	136.000000
sorangutan	10000	with_coding_region	3417	56.000000
sorangutan	10000	without_coding_region	2136	35.000000
