"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.6579175728066e-05,20,87,3.61767299392027,"Path:ptr04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?ptr04512"," HSPG2  COL1A1  ITGA5  ITGA7  COL4A1  ITGA2B  ITGB4  ITGA3  COL1A2  COL9A2  LAMC2    LAMB2  LAMC3  COL4A5  LAMB3  COL6A5  COL6A2  VTN"
4.89300098837174e-13,51,227,3.53559803392604,"Path:ptr04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?ptr04820"," HSPG2  COL11A2  COL1A1  MYL11  ANK3  MYBPC3  ITGA5  ITGA7  COL4A1  MYH6  MYH11  ENO3  ITGA2B  ITGB4  MYH3  MYH8  ITGA3  COL1A2  FBN3  COL5A3  SPTBN4  ATP1A3  COL9A2  ATP1A2  OBSCN  SUN2  NEB  TTN  MYL3  PDLIM4  DIAPH1  PDLIM7  FLNC  PLEC  COL27A1  SPTAN1  TLN1  COL4A5  EMD  ACTN3  LMNB2  COL6A5  COL6A2  FMNL1  SPTBN5  TRIM54  MYH7B  MYH7  TNNC1  TNNT3  MYBPC2"
0.000118270844115559,20,97,3.2447170151656,"Path:ptr05410 Hypertrophic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?ptr05410"," ATP2A3  ACE  MYBPC3  CACNB3  ITGA5  ITGA7  MYH6  ATP2A1  ITGA2B  ITGB4  ITGA3  TTN  MYL3  CACNA2D2  EMD  CACNA2D4  CACNA1C  CACNA1F  MYH7  TNNC1"
9.44723465722155e-05,21,103,3.20848959218074,"Path:ptr05414 Dilated cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?ptr05414"," ATP2A3  MYBPC3  ADCY6  CACNB3  ITGA5  ITGA7  MYH6  ADCY4  ATP2A1  ITGA2B  ITGB4  ITGA3  TTN  MYL3  CACNA2D2  EMD  CACNA2D4  CACNA1C  CACNA1F  MYH7  TNNC1"
0.00219642907964358,16,85,2.96223576913942,"Path:ptr05412 Arrhythmogenic right ventricular cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?ptr05412"," ATP2A3  CACNB3  ITGA5  ITGA7  ATP2A1  ITGA2B  ITGB4  ITGA3  CACNA2D2  EMD  ACTN3  CACNA2D4  CACNA1C  CACNA1F  TCF7L1  TCF7"
7.2299802678918e-07,36,195,2.90526969665597,"Path:ptr04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?ptr04510"," COL1A1  MYL11  ITGA5  ITGA7  COL4A1  PAK6  ERBB2  ITGA2B  ITGB4  ITGA3  COL1A2  PPP1R12C  COL9A2  SHC1  LAMC2  PIK3CD    LAMB2  FLNB  DIAPH1  PDGFRB  FLT4  LAMC3  RAPGEF1  TLN1  COL4A5  FLNA  LAMB3  COL6A5  COL6A2  VTN  AKT1  EMP1  RAC1  MYLK2"
0.00123969278642877,18,98,2.89044689208119,"Path:ptr04974 Protein digestion and absorption","https://www.genome.jp/kegg-bin/show_pathway?ptr04974"," COL11A2  COL1A1    COL7A1  COL4A1  COL1A2  COL5A3  ATP1A3  COL16A1  COL9A2  ATP1A2  COL27A1  COL4A5  COL6A5  COL18A1  COL6A2  SLC7A9"
3.61969980826844e-06,34,191,2.8013289832503,"Path:ptr04814 Motor proteins","https://www.genome.jp/kegg-bin/show_pathway?ptr04814"," TUBG2  DNAH17  MYO18A  MYL11  MYO15A    TUBA1C  MYO1A  KIF5A  MYH6  KIF26A  MYH11  KIFC3  KIF1C  MYO19  TUBG1  KIF19  MYH3  MYH8  DNAH2  MYO1F  KIF2C  KIF21B  MYL3  DNAH1  CENPE  KIF12  KLC2  TUBB4A  TUBB8  MYH7B  MYH7  TNNC1  TNNT3"
0.0148496907452528,13,76,2.69183431323936,"Path:ptr04971 Gastric acid secretion","https://www.genome.jp/kegg-bin/show_pathway?ptr04971"," PLCB3  ADCY6  ADCY4  PLCB2  CALML4  ATP1A3  ATP1A2  ITPR3  SLC4A2  SLC26A7  CAMK2B  MYLK2  ATP4A"
0.000359673111226885,25,150,2.62281292059219,"Path:ptr04261 Adrenergic signaling in cardiomyocytes","https://www.genome.jp/kegg-bin/show_pathway?ptr04261"," ATP2A3  MAPK11  PLCB3  ADCY6  CACNB3  MYH6  ADCY4  PLCB2  CALML4  ATP2A1  ATP1A3  ATP1A2  MYL3  CACNA2D2  PPP2R2C  PPP2R5D  ATP2B3  CACNA2D4  CACNA1C  CAMK2B  CACNA1F  AKT1  MYH7  PIK3R6  TNNC1"
