"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.70514412513904e-07,23,89,4.22022471910112,"Path:nle04512 ECM-receptor interaction-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04512"," LAMA5  LAMC2    COL4A2  COL4A5  ITGA2  AGRN  LAMB2  LAMB3  TNXB  ITGA2B  LAMC3  COL6A2  HSPG2  COL4A1  COL1A1  SDC1  COL9A2  ITGA5  ITGB4  GP1BA"
5.60763971428342e-13,50,228,3.5812356979405,"Path:nle04820 Cytoskeleton in muscle cells-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04820"," NID2  TNNC1  LMNB2    MYL11  COL4A2  FLNC  AMPD2  DIAPH1  ATP1A2  COL5A3  ANK3  SPTBN4  COL4A5  ITGA2  MYH14  AGRN  TLN1  INF2  MYL5  PDLIM4  EMD  TLN2  MYH13  OBSCN  ENO2  MYH3  ITGA2B  MYH11  SPTAN1  NEB  COL6A2  HSPG2  FMNL2  COL4A1  COL1A1  ATP1A3  SDC1  COL9A2  TRIM54  ITGA5  ITGB4  MYOM2"
4.74611462558944e-09,40,201,3.24983776768332,"Path:nle04510 Focal adhesion-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04510"," BIRC2  LAMA5  LAMC2    FLT4  MYL11  COL4A2  DIAPH1  ROCK2  AKT1  COL4A5  ITGA2  ACTN4  LAMB2  TLN1  LAMB3  EMP1  MYL5  TLN2  FLNA  TNXB  ILK  ITGA2B  PRKCG  ERBB2  LAMC3  COL6A2  RAPGEF1  FLNB  COL4A1  COL1A1  COL9A2  SHC1  ITGA5  ITGB4"
2.0597000820758e-05,24,123,3.1864262990456,"Path:nle04611 Platelet activation-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04611"," ADAMTS13  MAPK11    ROCK2  PTGS1  ITPR3  PIK3R6  AKT1  ITGA2  ADCY6  PLA2G4B  NOS3  TLN1  PLA2G4F  P2RX1  MAPK13  TLN2  PLCB4  PLCB3  ITGA2B  ADCY4  COL1A1  GP1BA"
0.000312092662408395,19,98,3.16610470275067,"Path:nle04974 Protein digestion and absorption-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04974","   COL4A2  ATP1A2  COL5A3  COL4A5  CTRL  COL7A1  SLC9A3  SLC6A19  COL6A2  SLC7A9  COL4A1  COL1A1  ATP1A3  COL17A1  COL9A2  CPA1"
0.00104450900520939,17,90,3.08463768115942,"Path:nle04912 GnRH signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04912"," MAPK11    ITPR3  MAP2K7  ADCY6  CACNA1S  CACNA1F  PLA2G4B  CAMK2B  PLA2G4F  MAPK13  PTK2B  HBEGF  PLCB4  PLCB3  PLD2  ADCY4"
0.00114805759830287,17,92,3.01758034026465,"Path:nle05222 Small cell lung cancer-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05222"," BIRC2  RXRB  LAMA5  LAMC2  COL4A2  AKT1  COL4A5  ITGA2  NOS2  ZBTB17  LAMB2  LAMB3    ITGA2B  LAMC3  COL4A1  DDB2"
0.00235555423282922,17,99,2.80421607378129,"Path:nle05146 Amoebiasis-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05146"," LAMA5  LAMC2  COL4A2    COL4A5  ACTN4  NOS2  LAMB2  LAMB3  PLCB4  PLCB3  PRKCG  LAMC3  COL4A1  COL1A1  C8G"
0.00440029499497976,16,95,2.75038901601831,"Path:nle04972 Pancreatic secretion-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04972"," PNLIPRP1  ATP2B3  ATP1A2  ITPR3  ATP2A3  ADCY6  TPCN2  CTRL  ATP2A2  SLC4A2  PLCB4  PLCB3  PRKCG  ADCY4  ATP1A3  CPA1"
7.60314238992777e-06,33,196,2.74951197870453,"Path:nle04814 Motor proteins-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04814"," KIF5A  DNAH2  TNNC1  DNAI1    MYL11  DNAH11  DCTN1  KIF12  MYH14  KIF2C  KIF26A  MYO1G  MYL5  TUBB4A  KLC2  KIFC2  MYH13  DNAH1  MYO15A  MYO7B  MYH3  MYH11  ACTR10  DYNC1H1  TUBG1  TUBG2  CENPE  TUBB1  MYO1C"
0.00442047964181641,18,115,2.55606805293006,"Path:nle04935 Growth hormone synthesis secretion and action-Nomascus leucogenys (northern white-chee","https://www.genome.jp/kegg-bin/show_pathway?nle04935"," MAPK11    ITPR3  AKT1  ADCY6  CACNA1S  CACNA1F  PLCG1  MAPK13  CREB3  PLCB4  PLCB3  PRKCG  ADCY10  ADCY4  GHRHR  SHC1"
0.000312505100698582,27,174,2.53403298350825,"Path:nle04360 Axon guidance-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04360"," SEMA6B    SEMA7A  EFNA3  ROCK2  SSH3  LIMK2  PLXNB3  ROBO3  PLXNB2  PLXNB1  PLXNA3  UNC5A  PLCG1  CAMK2B  SEMA4B  MYL5  EPHB6  FES  ILK  SEMA4C  EPHA1  EPHA8  EPHB3"
0.00114805759830287,23,149,2.52080536912752,"Path:nle04261 Adrenergic signaling in cardiomyocytes-Nomascus leucogenys (northern white-cheeked gib","https://www.genome.jp/kegg-bin/show_pathway?nle04261"," MAPK11  TNNC1    ATP2B3  ATP1A2  PIK3R6  ATP2A3  AKT1  ADCY6  CACNA1S  CACNA1F  CAMK2B  RAPGEF3  CACNA2D2  MAPK13  ATP2A2  CREB3  PPP2R5D  PLCB4  PLCB3  ADCY4  ATP1A3"
7.60314238992777e-06,44,306,2.34816709292413,"Path:nle05165 Human papillomavirus infection-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05165"," LAMA5  TNFRSF1A  LAMC2    DVL3  ATP6V0D1  COL4A2  STAT2  AKT1  JAK1  COL4A5  ITGA2  CHD4  NOTCH3  LAMB2  LAMB3  DVL1  TYK2  IRF1  TNXB  CREB3  UBR4  PPP2R5D  ITGA2B  LAMC3  APC2  TUBG1  IRF9  COL6A2  TUBG2  COL4A1  COL1A1  COL9A2  ITGA5  ITGB4  SCRIB  TSC2"
0.00529908634653069,21,148,2.3171562867215,"Path:nle04921 Oxytocin signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04921"," ROCK2  ITPR3  PIK3R6  ADCY6  CACNA1S  CACNA1F  EEF2K  PLA2G4B  CAMK2B  NOS3  RYR1  PLA2G4F  CACNA2D2  NPR2    PLCB4  PLCB3  PRKCG  ADCY4  OXT"
0.00115778848997403,30,223,2.19691947748099,"Path:nle04810 Reg. of actin cytoskeleton-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04810"," PAK6    FGFR4  GIT1  MYL11  DIAPH1  ROCK2  SSH3  ITGAE  LIMK2  AKT1  BAIAP2  ITGA2  ACTN4  MYH14  MYL5  ITGAX  ITGAL  ITGA2B  MYH11  APC2  FGFR1  ITGAD  C8G  ITGA5  ITGB4"
0.00780664044483306,21,157,2.18432567155913,"Path:nle04022 cGMP-PKG signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04022"," PDE3A    ATP2B3  ROCK2  ATP1A2  ITPR3  PIK3R6  ATP2A3  AKT1  PDE2A  ADCY6  CACNA1S  CACNA1F  NOS3  NPR2  ATP2A2  CREB3  PLCB4  PLCB3  ADCY4  ATP1A3"
0.00205376647769026,31,242,2.09191519942508,"Path:nle04020 Calcium signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04020"," TNNC1  FGFR4  MST1  FLT4    ATP2B3  ITPR3  ATP2A3  P2RX6  NOS2  CACNA1S  PHKA2  TPCN2  CACNA1F  ITPKA  PLCG1  CAMK2B  NOS3  RYR1  HRC  P2RX1  ATP2A2  PTK2B  GRIN3B  PLCB4  PLCB3  PRKCG  ERBB2  FGFR1  ADCY4  GRIN1"
0.00780664044483306,25,201,2.03114860480208,"Path:nle04015 Rap1 signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04015"," SIPA1  MAPK11  FGFR4  FLT4  EFNA3  RGS14  AKT1  ADCY6  PLCG1  RAPGEF3  TLN1  MAPK13  TLN2  ARAP3    ITGAL  PLCB4  PLCB3  ITGA2B  PRKCG  FGFR1  RAPGEF1  ADCY4  LAT  GRIN1"
0.00780664044483306,122,1484,1.34252900503926,"Path:nle01100 Metabolic pathways-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle01100"," RRM2  PKLR  MTMR4  CKB    IVD  PNLIPRP1  TM7SF2  MIOX  ASPDH  AGXT  PDE3A  ATP6V0D1  PCK1  HAL  SETD1B  GDPD3  AMPD2  INPP5J  PTGS1  ALDH3A1  GUCY2D  LPIN3  ACADS  GSTM4  GALE  KMT2D  LPIN1  PIP5KL1  PDE2A  PFKM  LPCAT4  SGSH  NOS2  TREH  ABHD16A  ADCY6  IDH3B  POMGNT1  ITPKA  HK3  PLCG1  ADSL  PLA2G4B  AMDHD2  ALDH18A1  NOS3  SIRT7  UQCRC1  CYP2W1  PLA2G4F  DGKA  DGKZ  KMT2B  SAT1  PAFAH1B3  NPR2  HYI  IDUA  INPPL1  B4GALNT1  SYNJ2  PLOD3  PYCR2  PLCH2  ACO2  ENTPD8  MARS1  IMPDH2  GPT  DDOST  PPT2  CA9  CA14  AANAT  GCDH  XYLT2  ENO2  COASY  PLCB4  TKT  PLCB3  NAGLU  PLD2  ADCY10  LARGE2  PDE9A  HSD11B2  ADCY4  SIRT3  COQ6  CAD  SMPD2  PIGT  CYP11B1  GANAB  MGAM2  CYP27A1  HMBS  EHMT2  AGL  PNPLA2  MGAT4B"
