"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.48955955059377e-09,25,88,5.30967138921684,"ECM-receptor interaction, and Cell-extracellular matrix interactions","","ITGA5 ITGA7 FLNA ITGAD LAMB3 G3QZL1_GORGO ITGB4 CD151 COL4A5 VTN FERMT3 COL4A1 ITGA2B ITGA3 LAMC2 TNS2 LAMB2 LAMC3 G3RPD3_GORGO FLNB ITGAX STARD8 G3SAE6_GORGO ILK ENSGGOP00000042710"
5.83995286173971e-09,56,381,2.74709297701424,"Extracellular matrix organization","https://reactome.org/content/detail/MAP-1474244","OGFOD2 ITGA5 G3QGJ0_GORGO COL9A2 CAPN14 ITGA7 G3QM74_GORGO G3QNE8_GORGO FBN3 CERCAM ICAM5 COL1A2 ITGAD HTRA2 MYT1 G3QUY9_GORGO G3QVJ2_GORGO G3QW83_GORGO FURIN LAMB3 G3QZL1_GORGO ITGB4 PDIA2 COL11A2 CD151 EFEMP2 COL4A5 VTN G3R7U1_GORGO COL4A1 ITGA2B COL1A1 HSPG2 ITGA3 TPSG1 G3REV4_GORGO LAMC2 ADAMTS16 LAMB2 COL16A1 PLOD3 G3RLH9_GORGO LAMC3 CAPN15 G3RT38_GORGO P3H3 COL27A1 ITGAX LTBP4 CAPN1 LTBP3 G3SAE6_GORGO G3SFI2_GORGO ENSGGOP00000035197 ENSGGOP00000042710 ENSGGOP00000047962"
1.74919055403536e-11,78,540,2.69967291967292,"Protein kinase-like domain superfamily","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR011009","MAP3K6 MINK1 CDC42BPG TTBK1 SCYL1 GAK FLT3 KNDC1 ULK1 G3QGN8_GORGO STK38L TNK1 BMPR1A ERBB2 COQ8B G3QR05_GORGO G3QSH5_GORGO TYK2 G3QTD2_GORGO G3QTR5_GORGO FLT4 G3QVS9_GORGO PDGFRB G3QXJ9_GORGO MAPK15 G3QY69_GORGO TNK2 G3R0C3_GORGO COQ8A RPS6KB2 EPHA8 STK16 NPR2 PAK6 PKN3 MAP3K11 MYLK2 CAMKV G3R9L0_GORGO NEK3 AATK GUCY2D MAPK12 ADCK5 MAST3 G3RRQ8_GORGO G3RUC7_GORGO PLK3 G3RWX5_GORGO G3RX40_GORGO MAPK11 MAP3K12 SRPK2 ACAD10 NRBP2 G3SH03_GORGO STK39 CDK3 CDK16 TTN CDC42BPB ENSGGOP00000032073 GRK2 CAMK2B ENSGGOP00000035197 DYRK1B EPHB3 ENSGGOP00000037890 FES ILK MAP2K7 ENSGGOP00000041668 GRK6 ENSGGOP00000043662 ENSGGOP00000045400 ENSGGOP00000046684 ENSGGOP00000046735 SRPK3"
1.54017349754388e-10,71,493,2.69166952047277,"Protein kinase domain","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000719","MAP3K6 MINK1 CDC42BPG TTBK1 SCYL1 GAK FLT3 ULK1 G3QGN8_GORGO STK38L TNK1 BMPR1A ERBB2 G3QR05_GORGO G3QSH5_GORGO TYK2 G3QTR5_GORGO FLT4 G3QVS9_GORGO PDGFRB G3QXJ9_GORGO MAPK15 G3QY69_GORGO TNK2 G3R0C3_GORGO RPS6KB2 EPHA8 STK16 NPR2 PAK6 PKN3 MAP3K11 MYLK2 CAMKV NEK3 AATK GUCY2D MAPK12 MAST3 G3RRQ8_GORGO G3RUC7_GORGO PLK3 G3RWX5_GORGO G3RX40_GORGO MAPK11 MAP3K12 SRPK2 NRBP2 G3SH03_GORGO STK39 CDK3 CDK16 TTN CDC42BPB ENSGGOP00000032073 GRK2 CAMK2B ENSGGOP00000035197 DYRK1B EPHB3 ENSGGOP00000037890 FES ILK MAP2K7 ENSGGOP00000041668 GRK6 ENSGGOP00000043662 ENSGGOP00000045400 ENSGGOP00000046684 ENSGGOP00000046735 SRPK3"
6.22283594858636e-10,80,624,2.3961593961594,"Protein kinase activity","https://amigo.geneontology.org/amigo/term/GO:0004672","MAP3K6 MINK1 TTBK1 SCYL1 GAK FLT3 ULK1 G3QGN8_GORGO STK38L TNK1 BMPR1A ERBB2 G3QR05_GORGO G3QSH5_GORGO TYK2 G3QTD2_GORGO G3QTR5_GORGO FLT4 G3QVS9_GORGO PDGFRB G3QXJ9_GORGO MAPK15 G3QY69_GORGO TNK2 G3R0C3_GORGO RPS6KB2 EPHA8 BRD4 STK16 NPR2 PAK6 PKN3 MAP3K11 MYLK2 CAMKV NEK3 TRIM28 CIITA AATK GUCY2D MAPK12 ADCK5 MAST3 G3RRQ8_GORGO G3RSG3_GORGO G3RUC7_GORGO PLK3 G3RWX5_GORGO G3RX40_GORGO PHKA2 LTBP4 MAPK11 MAP3K12 SRPK2 NRBP2 G3SH03_GORGO STK39 CDK3 CDK16 TTN ENSGGOP00000031377 CDC42BPB ENSGGOP00000032073 GRK2 CAMK2B ENSGGOP00000035197 DYRK1B EPHB3 ENSGGOP00000037890 FES ILK MAP2K7 ENSGGOP00000041668 GRK6 ENSGGOP00000043662 ENSGGOP00000045400 CAD ENSGGOP00000046684 ENSGGOP00000046735 SRPK3"
2.41107513692448e-10,92,754,2.28048273565515,"Phosphotransferase activity, alcohol group as acceptor","https://amigo.geneontology.org/amigo/term/GO:0016773","MAP3K6 MINK1 TTBK1 SCYL1 GAK FLT3 ULK1 G3QGN8_GORGO STK38L PKLR TNK1 HK3 BMPR1A ERBB2 G3QQ97_GORGO G3QR05_GORGO G3QSH5_GORGO FCSK TYK2 G3QTD2_GORGO G3QTR5_GORGO FLT4 G3QVS9_GORGO PDGFRB G3QXJ9_GORGO MAPK15 G3QY69_GORGO TNK2 G3R0C3_GORGO RPS6KB2 EPHA8 PNKP G3R470_GORGO BRD4 STK16 NPR2 PAK6 PKN3 MAP3K11 MYLK2 CAMKV G3R9L0_GORGO NEK3 TRIM28 DGKA CIITA AATK GUCY2D MAPK12 ADCK5 MAST3 G3RRQ8_GORGO G3RSG3_GORGO G3RUC7_GORGO PLK3 G3RWX5_GORGO G3RX40_GORGO PHKA2 LTBP4 MAPK11 MAP3K12 SRPK2 TRPT1 TKFC NRBP2 G3SH03_GORGO STK39 CDK3 CDK16 TTN IP6K2 ENSGGOP00000031377 CDC42BPB ENSGGOP00000032073 GRK2 CAMK2B ENSGGOP00000035197 DYRK1B EPHB3 ENSGGOP00000037890 FES ILK MAP2K7 ENSGGOP00000041668 GRK6 DGKZ ENSGGOP00000043662 ENSGGOP00000045400 CAD ENSGGOP00000046684 ENSGGOP00000046735 SRPK3"
1.56568055942696e-10,98,815,2.247391708496,"ATP-binding","","MAP3K6 CDC42BPG MYH3 FLT3 FPGS G3QGN8_GORGO STK38L ATP2A3 G3QI51_GORGO HK3 ADCY6 ABCD4 G3QLY6_GORGO BMPR1A ERBB2 G3QSH5_GORGO TYK2 ATP13A1 G3QTD2_GORGO FLT4 PSMC5 ATP2B3 PDGFRB ABCF3 UBA1 MAPK15 MYO19 G3QY69_GORGO DDX31 G3R0C3_GORGO G3R0V2_GORGO G3R104_GORGO KIF1C MCM5 ADCY10 P2RX2 RPS6KB2 EPHA8 G3R470_GORGO DDX54 G3R4K9_GORGO G3R6K5_GORGO PAK6 PKN3 MAP3K11 ALDH18A1 MYO1A MYH13 DGKA CIITA MYH11 MAPK12 PC LIG1 MAST3 G3RJD1_GORGO ATP2C2 ABCA3 RTEL1 G3RRQ8_GORGO G3RUC7_GORGO DHX16 G3RUJ2_GORGO PLK3 G3RWX5_GORGO KIF26A MYO1F P2RX1 MAPK11 MAP3K12 UBE2C ABCC10 PIF1 G3S8R0_GORGO EIF4A1 G3SH03_GORGO CDK3 KIF5A CDC42BPB ENSGGOP00000032073 GRK2 RTEL1-2 EPHB3 ENSGGOP00000037890 FES MYO18A ENSGGOP00000041668 DHX38 GRK6 DGKZ ENSGGOP00000043662 ENSGGOP00000045400 CAD ENSGGOP00000046735 VARS2 ATP4A ABCA2 CENPE"
1.77755969928464e-09,99,875,2.11464489795918,"Kinase activity","https://amigo.geneontology.org/amigo/term/GO:0016301","MAP3K6 MINK1 TTBK1 SCYL1 GAK FLT3 ULK1 G3QGN8_GORGO STK38L PKLR TNK1 G3QI51_GORGO HK3 BMPR1A ERBB2 G3QQ97_GORGO COQ8B G3QR05_GORGO G3QSH5_GORGO FCSK TYK2 G3QTD2_GORGO G3QTR5_GORGO FLT4 G3QVS9_GORGO PDGFRB G3QXJ9_GORGO MAPK15 G3QY69_GORGO CCNE1 TNK2 G3R0C3_GORGO HGS COQ8A RPS6KB2 EPHA8 PNKP G3R470_GORGO BRD4 STK16 NPR2 PAK6 PKN3 MAP3K11 MYLK2 CAMKV G3R9L0_GORGO ALDH18A1 NEK3 TRIM28 WDR83 DGKA CIITA AATK GUCY2D MAPK12 ADCK5 MAST3 G3RRQ8_GORGO G3RSG3_GORGO G3RUC7_GORGO PLK3 EPS8L1 G3RWX5_GORGO G3RX40_GORGO PHKA2 LTBP4 MAPK11 MAP3K12 SRPK2 TKFC NRBP2 G3SH03_GORGO STK39 CDK3 CDK16 TTN IP6K2 ENSGGOP00000031377 CDC42BPB ENSGGOP00000032073 GRK2 CAMK2B ENSGGOP00000035197 DYRK1B EPHB3 ENSGGOP00000037890 FES ILK MAP2K7 ENSGGOP00000041668 GRK6 DGKZ ENSGGOP00000043662 ENSGGOP00000045400 CAD ENSGGOP00000046684 ENSGGOP00000046735 SRPK3"
3.48955955059377e-09,110,1033,1.9902272622505,"Transferase activity, transferring phosphorus-containing groups","https://amigo.geneontology.org/amigo/term/GO:0016772","MAP3K6 TEP1 MINK1 TTBK1 SCYL1 GAK FLT3 ULK1 G3QGN8_GORGO STK38L PKLR TNK1 G3QI51_GORGO HK3 G3QJT2_GORGO BMPR1A ERBB2 G3QQ97_GORGO COQ8B G3QR05_GORGO G3QSH5_GORGO FCSK TYK2 G3QTD2_GORGO G3QTR5_GORGO FLT4 PNPT1 G3QVS9_GORGO PDGFRB G3QXJ9_GORGO MAPK15 G3QY69_GORGO CCNE1 TNK2 G3R0C3_GORGO HGS COQ8A RPS6KB2 EPHA8 POLE PNKP G3R470_GORGO BRD4 STK16 NPR2 PAK6 PKN3 MAP3K11 MYLK2 CAMKV G3R9L0_GORGO ALDH18A1 CTU2 NEK3 TRIM28 WDR83 DGKA CIITA AATK GUCY2D MAPK12 POLR2A ADCK5 MAST3 GNPTG UAP1L1 G3RRQ8_GORGO G3RSG3_GORGO G3RUC7_GORGO PLK3 EPS8L1 G3RWX5_GORGO G3RX40_GORGO PHKA2 LTBP4 MAPK11 MAP3K12 SRPK2 TRPT1 TKFC NRBP2 G3SH03_GORGO STK39 CDK3 CDK16 TTN IP6K2 ENSGGOP00000031377 CDC42BPB ENSGGOP00000032073 GRK2 CAMK2B ENSGGOP00000035197 DYRK1B EPHB3 ENSGGOP00000037574 ENSGGOP00000037890 FES ILK MAP2K7 ENSGGOP00000041668 GRK6 DGKZ ENSGGOP00000043662 ENSGGOP00000045400 CAD ENSGGOP00000046684 ENSGGOP00000046735 SRPK3 PCYT2"
1.41491593844669e-08,110,1061,1.93770477088102,"Phosphorylation","https://amigo.geneontology.org/amigo/term/GO:0016310","MAP3K6 MINK1 TTBK1 SCYL1 GAK FLT3 ULK1 G3QGN8_GORGO STK38L PKLR TNK1 G3QI51_GORGO HK3 IQGAP3 BMPR1A ERBB2 G3QQ97_GORGO COQ8B G3QR05_GORGO G3QSH5_GORGO FCSK TYK2 G3QTD2_GORGO G3QTR5_GORGO SEMA7A FLT4 G3QVQ4_GORGO G3QVS9_GORGO PKD1 PDGFRB G3QXJ9_GORGO MAPK15 G3QY69_GORGO CCNE1 TNK2 G3R0C3_GORGO HGS COQ8A ALDOC RPS6KB2 EPHA8 SLC12A3 PNKP G3R470_GORGO MST1 STK16 NPR2 PAK6 PKN3 MAP3K11 MYLK2 CAMKV G3R9L0_GORGO ALDH18A1 NEK3 TRIM28 WDR83 DGKA CIITA AATK GUCY2D MAPK12 ADCK5 MAST3 GNPTG G3RRQ8_GORGO G3RUC7_GORGO PLK3 EPS8L1 G3RWX5_GORGO G3RX40_GORGO STAT3 MAPK11 FNIP2 MAP3K12 SRPK2 RB1CC1 CRY1 TKFC NRBP2 G3SH03_GORGO STK39 G3SJH8_GORGO CDK3 CDK16 TTN IP6K2 ENSGGOP00000031377 ENO3 CDC42BPB ENSGGOP00000032073 GRK2 CAMK2B ENSGGOP00000035197 DYRK1B EPHB3 ENSGGOP00000037890 FES ILK MAP2K7 ENSGGOP00000041668 GRK6 DGKZ ENSGGOP00000043662 ENSGGOP00000045400 CAD ENSGGOP00000046684 ENSGGOP00000046735 SRPK3 OGDHL"
