"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.61221866691848e-13,53,224,3.49720286133529,"Path:pon04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?pon04820"," TRIM54  ATP1A2  AMPD2  MYOM2  ACTB  MYL3  COL6A5  MYH4  MYH3  COL5A3  COL11A2  TTN  FBN3  PDLIM7  COL1A1  ACTN3  ITGA7  ATP1A3  JUP  TLN1    NEB  COL4A1  COL4A2  COL9A2  FMNL2  FLNC  SPTBN5  EMD  PDLIM4  MYH6  MYH7B  MYL11  OBSCN  ITGA2B  MYBPC3  SUN2  ITGB4  ITGA5  LMNB2  PLEC  COL4A5  MYBPC2  ITGA3  COL6A1  AGRN  ENO3  TNNC1  COL6A2  MYH8  MYL7  HSPG2"
0.00070244500426368,18,84,3.16727806309611,"Path:pon04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?pon04512"," VTN  COL6A5  LAMB3  COL1A1  ITGA7  LAMC3  COL4A1  COL4A2  COL9A2  LAMC2  ITGA2B  ITGB4  ITGA5  COL4A5  ITGA3  COL6A1  AGRN  COL6A2"
0.00070244500426368,20,101,2.92685761606241,"Path:pon05414 Dilated cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05414"," ACTB  MYL3  CACNA1F  CACNA1S  TTN  ADCY6  ITGA7    CACNA1C  ATP2A3  EMD  MYH6  CACNA2D2  ITGA2B  MYBPC3  ITGB4  ITGA5  ITGA3  ADCY4  TNNC1"
0.00144356560476133,18,93,2.86076728279649,"Path:pon04912 GnRH signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pon04912"," CAMK2A    CACNA1F  CACNA1S  ITPR3  MAPK12  HBEGF  ADCY6  MAPK11  CACNA1C  PLA2G4F  MAPK13  PLA2G4D  PLD2  PLCB2  PLCB3  ADCY4  CAMK2G"
0.00349807429524172,16,84,2.81535827830765,"Path:pon05412 Arrhythmogenic right ventricular cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05412"," ACTB  CACNA1F  CACNA1S  TCF7L2  ACTN3  ITGA7  JUP  CACNA1C  ATP2A3  EMD  CACNA2D2  ITGA2B  ITGB4  ITGA5  ITGA3  "
1.09094997777334e-06,38,201,2.79434814190237,"Path:pon04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?pon04510"," PAK6  SHC1  ILK  ACTB  VTN  EMP1  COL6A5  LAMB3  PIP5K1C  FLNB  COL1A1  ITGA7  LAMC3  TLN1  AKT1  RAC1  COL4A1  RAPGEF1  PPP1R12C  COL4A2  COL9A2  FLNA  LAMC2  MYL11  ERBB2  ITGA2B  ITGB4  ITGA5  COL4A5  BIRC2  ITGA3  PDGFRB  COL6A1  COL6A2  FLT4  VASP  PIK3CD  MYL7"
0.0020317614937484,18,96,2.7713683052091,"Path:pon05410 Hypertrophic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05410"," ACTB  MYL3  CACNA1F  CACNA1S  TTN  ITGA7    CACNA1C  ATP2A3  EMD  MYH6  CACNA2D2  ITGA2B  MYBPC3  ITGB4  ITGA5  ITGA3  TNNC1"
1.20576481566173e-05,34,187,2.68738744747549,"Path:pon04814 Motor proteins","https://www.genome.jp/kegg-bin/show_pathway?pon04814"," KIF1C  KLC2  KIF5A  KLC3  KIFC3  ACTB  MYL3  DNAH1  MYH4  MYH3  KIF21B  CENPE  KIF26A  DNAH9  KIF7  MYO15A    MYO1F  TUBA1A  MYH6  MYH7B  MYL11  DNAH17  MYO1C  MYO18A  DNAH10  KIFC2  DNAH11  KIF19  KIF2C  TNNC1  MYH8  MYL7"
0.000773308191248651,22,121,2.68738744747549,"Path:pon04611 Platelet activation","https://www.genome.jp/kegg-bin/show_pathway?pon04611"," ACTB  ITPR3  MAPK12  COL1A1  ADCY6  MAPK11  ARHGEF1  TLN1  AKT1  NOS3  PLA2G4F  MAPK13  ITGA2B  PLA2G4D  PIK3R6  FERMT3  PLCB2  ADAMTS13  PLCB3  ADCY4  VASP  PIK3CD"
0.00425365487635524,17,95,2.6449550140943,"Path:pon01522 Endocrine resistance","https://www.genome.jp/kegg-bin/show_pathway?pon01522"," SHC1  DLL1  MAPK12  HBEGF  ADCY6  MAPK11  AKT1  CARM1  JAG2  NOTCH1  MAPK13  ERBB2  MED1  NOTCH3  RPS6KB2  ADCY4  PIK3CD"
0.00800992203600025,15,84,2.63939838591343,"Path:pon04911 Insulin secretion","https://www.genome.jp/kegg-bin/show_pathway?pon04911"," ATP1A2  CAMK2A  CACNA1F  ABCC8  CACNA1S  ITPR3  ADCY6  CREB3  ATP1A3  CACNA1C  PLCB2  PLCB3  ADCY4  TRPM4  CAMK2G"
