species	seq_type	N	min	max	mean	q1	median	q3
bonobo	upstream	550	0.001333	0.498885	0.2397563054113423	0.09766720293899223	0.28167854918792	0.333333
borangutan	upstream	524	0.001344	0.497638	0.2367112329575589	0.08358446540644746	0.2799741001823418	0.33375299999999997
chimpanzee	upstream	543	0.001571	0.497453	0.23670800804275294	0.09374826061940815	0.2630652181042201	0.333333
gibbon	upstream	737	0.001366	0.4980888894120239	0.24379174400546266	0.1092236714869715	0.3025	0.333333
gorilla	upstream	497	0.001356	0.498993	0.23284318132504628	0.110656	0.2557240079507342	0.333333
human	upstream	603	0.0015649999999999	0.498003	0.23129071242280622	0.10714845966246081	0.2459285511627691	0.333333
sorangutan	upstream	500	0.001582	0.498562	0.2394537278247901	0.10466292744405793	0.2747729784648164	0.33349378641269983
bonobo	downstream	521	0.000627	0.49815	0.2515121161818068	0.155303	0.255583	0.333333
borangutan	downstream	553	0.002463	0.49899	0.2592074379111456	0.152985	0.2872054311667733	0.333333
chimpanzee	downstream	532	0.000627	0.497902	0.24675747914942414	0.14475675	0.26735011678756937	0.333333
gibbon	downstream	768	0.0010599999999999	0.4987170000000001	0.26700488660182564	0.2050074617658495	0.3324465	0.333333
gorilla	downstream	486	0.002281	0.498618	0.24879702081205599	0.13858975	0.26114606376748145	0.333333
human	downstream	610	0.001751	0.497521	0.24722812032764477	0.14416125000000002	0.2555585	0.333333
sorangutan	downstream	540	0.002463	0.498316	0.26203604775649936	0.15343987123710806	0.29892968827840055	0.3334634999999999
bonobo	exitron	39	0.004785	0.429003	0.2416164007399396	0.1522104737612341	0.2827156638625964	0.332661
borangutan	exitron	66	0.0073799999999999	0.496333	0.2584767456555341	0.1877745906382865	0.26144556854211953	0.33166375000000003
chimpanzee	exitron	35	0.004751	0.42711	0.1993495229762402	0.11670232411509296	0.2370806912635583	0.2850358435790038
gibbon	exitron	84	0.004785	0.497191	0.2468366419333298	0.19429658992427798	0.28180346838592235	0.330189
gorilla	exitron	49	0.004751	0.4192332739740314	0.2435768627062572	0.191388	0.2556423275668313	0.330986
human	exitron	37	0.004082	0.496762	0.22592822533342272	0.1606064796140825	0.2325023102429513	0.31018
sorangutan	exitron	84	0.009756	0.477064	0.2672470939819669	0.20626727452064814	0.328947	0.32898875
bonobo	SCFR	1470	-0.0912862604858954	0.4882275458284641	0.2263469902967165	0.1802107295294878	0.22936889536166266	0.3164622839259401
borangutan	SCFR	1528	-0.0338673238767835	0.4996851830993162	0.25592766036453046	0.2136807950831587	0.25490510356223917	0.31791556926726267
chimpanzee	SCFR	942	-0.101327348104014	0.4882176198657759	0.20527032853141255	0.1737142876247907	0.2323778464807073	0.3028005784173135
gibbon	SCFR	922	-0.1010348687225873	0.4998840207790025	0.21057430864471946	0.2021047811594359	0.21762824905244849	0.23838309023198437
gorilla	SCFR	3265	-0.1335596199286521	0.4995137898585039	0.26025578160165774	0.2089925141034237	0.2297294101733495	0.306422403904333
human	SCFR	553	0.0325951306586484	0.499212168246008	0.2626043083502081	0.2206134390793644	0.3004178203759711	0.333333
sorangutan	SCFR	1570	-0.0965740320294388	0.4994172669940999	0.26438366118051687	0.2163080167838332	0.2561245773855626	0.333333
