bonobo,chimpanzee,gorilla,borangutan,human,sorangutan
Oxidative phosphorylation,Olfactory transduction,Oxidative phosphorylation,Oxidative phosphorylation,Olfactory transduction,Oxidative phosphorylation
Retrograde endocannabinoid signaling,,Diabetic cardiomyopathy,Diabetic cardiomyopathy,Glutathione metabolism,Thermogenesis
Chemical carcinogenesis-reactive oxygen species,,Chemical carcinogenesis-reactive oxygen species,Thermogenesis,Selenocompound metabolism,Huntington disease
Thermogenesis,,Thermogenesis,Chemical carcinogenesis-reactive oxygen species,Thyroid hormone synthesis,Amyotrophic lateral sclerosis
Diabetic cardiomyopathy,,Retrograde endocannabinoid signaling,Parkinson disease,,
Amyotrophic lateral sclerosis,,Prion disease,Huntington disease,,
Huntington disease,,Parkinson disease,Amyotrophic lateral sclerosis,,
Parkinson disease,,Huntington disease,Prion disease,,
Alzheimer disease,,Alzheimer disease,Alzheimer disease,,
Pathways of neurodegeneration-multiple diseases,,Amyotrophic lateral sclerosis,Pathways of neurodegeneration-multiple diseases,,
,,Pathways of neurodegeneration-multiple diseases,,,
,,Cardiac muscle contraction,,,
,,Olfactory transduction,,,
,,Metabolic pathways,,,
