bonobo,borangutan,chimpanzee,gibbon,gorillla,human,sorangutan
ECM-receptor interaction,ABC transporters,ECM-receptor interaction,ECM,Gastric acid secretion,Focal adhesion,ABC transporters
ABC transporters,ECM-receptor interaction,ABC transporters,ABC transporters,ECM-receptor interaction,ECM-receptor interaction,Aminoacyl-tRNA biosynthesis
Nucleocytoplasmic transport,Aminoacyl-tRNA biosynthesis,Inositol phosphate metabolism,Lysine degradation,Focal adhesion,Cytoskeleton in muscle cells,ECM-receptor interaction
Inositol phosphate metabolism,Nucleocytoplasmic transport,Aminoacyl-tRNA biosynthesis,Nucleocytoplasmic transport,Protein processing in endoplasmic reticulum,Metabolic pathways,Nucleocytoplasmic transport
Ribosome biogenesis in eukaryotes,Inositol phosphate metabolism,Phosphatidylinositol signaling system,Inositol phosphate metabolism,Nucleocytoplasmic transport,Human papillomavirus infection,Ribosome biogenesis in eukaryotes
Protein digestion and absorption,Protein digestion and absorption,Fanconi anemia pathway,Phosphatidylinositol signaling system,Aldosterone synthesis and secretion,Cell cycle,Inositol phosphate metabolism
Phosphatidylinositol signaling system,Ribosome biogenesis in eukaryotes,Lysine degradation,mRNA surveillance pathway,Glutamatergic synapse,Nucleocytoplasmic transport,Cell cycle
Cell cycle,Spinocerebellar ataxia,Nucleocytoplasmic transport,Cell cycle,Glucagon signaling pathway,Motor proteins,Purine metabolism
Purine metabolism,Cell cycle,Focal adhesion,Polycomb repressive complex,JAK-STAT signaling pathway,ABC transporters,Spinocerebellar ataxia
Glucagon signaling pathway,Purine metabolism,Purine metabolism,Spinocerebellar ataxia,Kaposi sarcoma-associated herpesvirus infection,Phosphatidylinositol signaling system,Cytoskeleton in muscle cells
Focal adhesion,Aldosterone synthesis and secretion,Protein digestion and absorption,Purine metabolism,Efferocytosis,Purine metabolism,Phosphatidylinositol signaling system
Spliceosome,Phosphatidylinositol signaling system,Cell cycle,Glucagon signaling pathway,Herpes simplex virus 1 infection,Inositol phosphate metabolism,Insulin resistance
Alcoholic liver disease,Choline metabolism in cancer,Cytoskeleton in muscle cells,Focal adhesion,Lysosome,Spinocerebellar ataxia,Glucagon signaling pathway
Spinocerebellar ataxia,Glucagon signaling pathway,Aldosterone synthesis and secretion,Ubiquitin mediated proteolysis,Adrenergic signaling in cardiomyocytes,PI3K-Akt signaling pathway,Motor proteins
Human papillomavirus infection,Focal adhesion,T cell receptor signaling pathway,Human papillomavirus infection,Hepatitis B,Starch and sucrose metabolism,Focal adhesion
Hepatitis B,Cytoskeleton in muscle cells,Spinocerebellar ataxia,Spliceosome,Cytoskeleton in muscle cells,Lysine degradation,Protein processing in endoplasmic reticulum
Viral carcinogenesis,Motor proteins,Human papillomavirus infection,Cytoskeleton in muscle cells,cGMP-PKG signaling pathway,Ubiquitin mediated proteolysis,Ubiquitin mediated proteolysis
Motor proteins,Protein processing in endoplasmic reticulum,Motor proteins,Hepatitis B,Human papillomavirus infection,Glucagon signaling pathway,Human papillomavirus infection
Cytoskeleton in muscle cells,Human papillomavirus infection,PI3K-Akt signaling pathway,Motor proteins,Motor proteins,Polycomb repressive complex,PI3K-Akt signaling pathway
Metabolic pathways,Metabolic pathways,Metabolic pathways,Metabolic pathways,PI3K-Akt signaling pathway,Aminoacyl-tRNA biosynthesis,Metabolic pathways
