bonobo,borangutan,chimpanzee,gibbon,gorillla,human,sorangutan
ECM-receptor interaction,ECM-receptor interaction,ECM-receptor interaction,ECM,ECM-receptor interaction,Metabolic pathways,Aminoacyl-tRNA biosynthesis
Inositol phosphate metabolism,Aminoacyl-tRNA biosynthesis,Inositol phosphate metabolism,Phosphatidylinositol signaling system,RNA degradation,Focal adhesion,ECM-receptor interaction
Phosphatidylinositol signaling system,Inositol phosphate metabolism,Phosphatidylinositol signaling system,Cell cycle,Focal adhesion,Cytoskeleton in muscle cells,ABC transporters
Glucagon signaling pathway,Cell cycle,Nucleocytoplasmic transport,Focal adhesion,Nucleocytoplasmic transport,Human papillomavirus infection,Inositol phosphate metabolism
Cell cycle,Nucleocytoplasmic transport,Focal adhesion,Glucagon signaling pathway,Carbon metabolism,ECM-receptor interaction,Nucleocytoplasmic transport
Nucleocytoplasmic transport,Spinocerebellar ataxia,Purine metabolism,Nucleocytoplasmic transport,Efferocytosis,Cell cycle,Cell cycle
Spinocerebellar ataxia,Purine metabolism,Cytoskeleton in muscle cells,Spinocerebellar ataxia,Glutamatergic synapse,PI3K-Akt signaling pathway,Purine metabolism
Purine metabolism,Choline metabolism in cancer,Protein digestion and absorption,Human papillomavirus infection,Protein processing in endoplasmic reticulum,Motor proteins,Spinocerebellar ataxia
Insulin resistance,Cytoskeleton in muscle cells,Cell cycle,Insulin resistance,Cytoskeleton in muscle cells,Nucleocytoplasmic transport,Cytoskeleton in muscle cells
Focal adhesion,Focal adhesion,T cell receptor signaling pathway,Purine metabolism,Growth hormone synthesis secretion and action,Purine metabolism,Insulin resistance
Cytoskeleton in muscle cells,Phosphatidylinositol signaling system,Spinocerebellar ataxia,AMPK signaling pathway,AMPK signaling pathway,Phosphatidylinositol signaling system,Phosphatidylinositol signaling system
Human papillomavirus infection,Insulin resistance,Human papillomavirus infection,Cytoskeleton in muscle cells,Human papillomavirus infection,Spinocerebellar ataxia,Focal adhesion
cGMP-PKG signaling pathway,Glucagon signaling pathway,Hepatitis B,Ubiquitin mediated proteolysis,JAK-STAT signaling pathway,Pathways in cancer,Glucagon signaling pathway
Protein processing in endoplasmic reticulum,Ubiquitin mediated proteolysis,Motor proteins,Hepatitis B,Human T-cell leukemia virus 1 infection,Inositol phosphate metabolism,Motor proteins
Motor proteins,Protein processing in endoplasmic reticulum,Protein processing in endoplasmic reticulum,Protein processing in endoplasmic reticulum,Hepatitis B,Ubiquitin mediated proteolysis,Ubiquitin mediated proteolysis
Reg. of actin cytoskeleton,Motor proteins,PI3K-Akt signaling pathway,PI3K,Reg. of actin cytoskeleton,ABC transporters,Protein processing in endoplasmic reticulum
MAPK signaling pathway,Human papillomavirus infection,Reg. of actin cytoskeleton,Endocytosis,cAMP signaling pathway,Protein processing in endoplasmic reticulum,Human papillomavirus infection
PI3K-Akt signaling pathway,Endocytosis,MAPK signaling pathway,Reg. of actin cytoskeleton,PI3K-Akt signaling pathway,Hepatitis B,Endocytosis
Pathways in cancer,PI3K-Akt signaling pathway,Metabolic pathways,Pathways in cancer,Pathways in cancer,Reg. of actin cytoskeleton,PI3K-Akt signaling pathway
Metabolic pathways,Metabolic pathways,Pathways in cancer,Metabolic pathways,Metabolic pathways,Lysine degradation,Metabolic pathways
