property,n_species,species,n_Genes_per_species,total_pathway_genes_per_species,genes_common_in_all_species,genes_common_in_all_species_count,genes_unique_to_one_species
Oxidative phosphorylation,4,bonobo; borangutan; gorilla; sorangutan,bonobo:6; borangutan:9; gorilla:11; sorangutan:9,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6; borangutan:ATP8|COX3|CYTB|ND2; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2; sorangutan:ATP8|COX3|CYTB|ND2
Retrograde endocannabinoid signaling,2,bonobo; gorilla,bonobo:5; gorilla:6,bonobo:ND3|ND4|ND4L|ND5|ND6; gorilla:ND1|ND2|ND3|ND4L|ND5|ND6,ND3|ND4L|ND5|ND6,4,bonobo:ND4; gorilla:ND1|ND2
Chemical carcinogenesis-reactive oxygen species,3,bonobo; borangutan; gorilla,bonobo:7; borangutan:9; gorilla:11,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6|SOS2; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|SOS2; borangutan:ATP8|COX3|CYTB|ND2; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2
Thermogenesis,4,bonobo; borangutan; gorilla; sorangutan,bonobo:7; borangutan:10; gorilla:11; sorangutan:10,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6|SOS2; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|SLC25A29; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|SLC25A29,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|SOS2; borangutan:ATP8|COX3|CYTB|ND2|SLC25A29; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2; sorangutan:ATP8|COX3|CYTB|ND2|SLC25A29
Diabetic cardiomyopathy,3,bonobo; borangutan; gorilla,bonobo:6; borangutan:9; gorilla:11,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6; borangutan:ATP8|COX3|CYTB|ND2; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2
Amyotrophic lateral sclerosis,4,bonobo; borangutan; gorilla; sorangutan,bonobo:10; borangutan:13; gorilla:11; sorangutan:13,bonobo:ATP6|GPX1|GPX5|HNRNPA1L2|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|GPX1|GPX5|HNRNPA1L2|XBP1; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2; sorangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|XBP1
Huntington disease,4,bonobo; borangutan; gorilla; sorangutan,bonobo:8; borangutan:12; gorilla:11; sorangutan:12,bonobo:ATP6|GPX1|GPX5|ND3|ND4|ND4L|ND5|ND6; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|GPX1|GPX5; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2; sorangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2
Parkinson disease,3,bonobo; borangutan; gorilla,bonobo:7; borangutan:10; gorilla:11,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|XBP1; borangutan:ATP8|COX3|CYTB|ND2|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2
Alzheimer disease,3,bonobo; borangutan; gorilla,bonobo:8; borangutan:11; gorilla:11,bonobo:APOE|ATP6|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:APOE|ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:APOE|ATP6|XBP1; borangutan:APOE|ATP8|COX3|CYTB|ND2|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2
Pathways of neurodegeneration-multiple diseases,3,bonobo; borangutan; gorilla,bonobo:9; borangutan:13; gorilla:11,bonobo:ATP6|GPX1|GPX5|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|GPX1|GPX5|XBP1; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2
