species	seq_type	N	min	max	mean	q1	median	q3
human	intron	217292	0	100	45.8	37.8	43.6	52.9
human	downstream	205741	0	100	56	39	52.8	66.7
human	exitron	2566	17	89.3	63.2	59.1	64.1	69.3
human	exon	89905	11.1	83.3	51.9	45	51.4	58.7
human	upstream	213772	0	100	47.9	35	48.1	60.3
bonobo	downstream	194010	0	100	56.1	39	52.9	66.7
bonobo	intron	205919	0	100	45.9	37.8	43.7	53.1
bonobo	upstream	197542	0	100	48.1	34.9	48.3	60.7
bonobo	exon	60254	26.9	81.2	52.7	45.6	52.4	59.5
bonobo	exitron	2331	20.7	93.4	63.4	59	64.6	69.5
chimpanzee	upstream	202823	0	100	48	34.9	48.1	60.4
chimpanzee	intron	211926	0	100	45.8	37.8	43.6	53
chimpanzee	exitron	2357	18.1	89.8	63.3	59	64.5	69.4
chimpanzee	exon	74244	26.9	80.6	52	44.9	51.4	58.9
chimpanzee	downstream	198674	0	100	56	38.9	52.8	66.7
gorilla	downstream	194182	0	100	56	39	52.9	66.7
gorilla	exon	59557	25.6	83.8	52.5	45.4	52	59.3
gorilla	intron	206573	0	100	45.9	37.9	43.7	53.1
gorilla	exitron	2367	18.1	89.9	63.1	59.1	64.3	69.1
gorilla	upstream	197026	0	100	48	34.9	48.3	60.6
borangutan	exon	58777	27.7	80.9	52.3	45.4	51.9	59.2
borangutan	exitron	2396	19.4	89.4	62.3	58	63.7	68.4
borangutan	downstream	193675	0	100	55.9	38.9	52.8	66.7
borangutan	upstream	195908	0	100	47.9	34.8	48.1	60.5
borangutan	intron	206612	0	100	45.8	37.8	43.6	53
sorangutan	intron	206242	0	100	45.7	37.7	43.5	52.9
sorangutan	exon	60106	27.7	81.7	52.2	45.2	51.7	59
sorangutan	downstream	193201	0	100	55.8	38.9	52.6	66.7
sorangutan	exitron	2399	19.4	89	62.3	58	63.7	68.3
sorangutan	upstream	195861	0	100	47.8	34.8	48	60.4
gibbon	upstream	200087	0	100	48.1	35.1	48.4	60.6
gibbon	intron	213838	0	100	46	38.1	43.9	53.2
gibbon	exon	68038	28.4	82.9	52.3	45.3	51.8	59
gibbon	exitron	2663	20	87.6	62.6	57.9	63.6	69
gibbon	downstream	195680	0	100	56	39.2	53	66.7
