species,region,min,q1,median,q3,max,mean,count
Gibbon,Upstream,0.0,39.394,51.562,64.935,100.0,51.88073123691194,200087
Gibbon,Downstream,0.0,33.333,47.0285,60.784,100.0,43.993341966475874,195680
Gorilla,Upstream,0.0,39.362,51.724,65.116,100.0,51.95879752418463,197026
Gorilla,Downstream,0.0,33.333,47.059,60.959,100.0,43.973936904553454,194182
Human,Upstream,0.0,39.344,51.667,65.0,100.0,51.9174707962652,181535
Human,Downstream,0.0,33.333,45.833,60.0,100.0,43.267785578538586,181535
Bonobo,Upstream,0.0,39.344,51.656,65.152,100.0,51.94207991211995,197542
Bonobo,Downstream,0.0,33.333,47.059,60.976,100.0,43.915418586670796,194010
Chimpanzee,Upstream,0.0,39.565,51.877,65.116,100.0,52.043841176789606,202823
Chimpanzee,Downstream,0.0,33.333,47.222,61.111,100.0,44.037344071192,198674
Bornean Orangutan,Upstream,0.0,39.535,51.923,65.217,100.0,52.10872035343122,195908
Bornean Orangutan,Downstream,0.0,33.333,47.253,61.111,100.0,44.119769304246795,193675
Sumatran Orangutan,Upstream,0.0,39.623,52.0,65.217,100.0,52.17020081077907,195861
Sumatran Orangutan,Downstream,0.0,33.333,47.368,61.111,100.0,44.16045260117701,193201
