,index,sum_sq,df,F,PR(>F),species,n_total
0,C(last_exon_splicing),198572870817.3893,2.0,41.58116085475022,8.829575745139435e-19,bonobo,170277
1,C(last_exon_order),1812666672615.6729,1.0,759.1448336302811,9.60190689802107e-167,bonobo,170277
2,C(last_exon_splicing):C(last_exon_order),460153764382.1164,2.0,96.35620221398365,1.502091499322467e-42,bonobo,170277
3,Residual,406568751231546.1,170271.0,,,bonobo,170277
4,C(last_exon_splicing),149147200110.1034,2.0,31.42534232509747,2.2629416217397303e-14,borangutan,169746
5,C(last_exon_order),1895204012724.9468,1.0,798.6396637927279,2.72614699986785e-175,borangutan,169746
6,C(last_exon_splicing):C(last_exon_order),394732245556.5925,2.0,83.1701562899809,7.89490587563628e-37,borangutan,169746
7,Residual,402799840408905.2,169740.0,,,borangutan,169746
8,C(last_exon_splicing),49762782316.17883,2.0,9.878504237456841,5.129353838724342e-05,chimpanzee,174730
9,C(last_exon_order),1474390171897.988,1.0,585.3679751352532,4.1650846626662213e-129,chimpanzee,174730
10,C(last_exon_splicing):C(last_exon_order),533196654642.9775,2.0,105.84587852870119,1.1469477397036502e-46,chimpanzee,174730
11,Residual,440084458558193.6,174724.0,,,chimpanzee,174730
12,C(last_exon_splicing),480610572872.1458,2.0,98.82136509911432,1.2796039671823605e-43,gibbon,171936
13,C(last_exon_order),1676448590329.9634,1.0,689.410294179961,1.1987858931267096e-151,gibbon,171936
14,C(last_exon_splicing):C(last_exon_order),651059646813.4352,2.0,133.8684720865817,8.07015949922705e-59,gibbon,171936
15,Residual,418084569622326.6,171930.0,,,gibbon,171936
16,C(last_exon_splicing),104468601087.00394,2.0,21.803142777749226,3.4058545499879757e-10,gorilla,170502
17,C(last_exon_order),1742006779439.4185,1.0,727.1318297886096,8.175826737451261e-160,gorilla,170502
18,C(last_exon_splicing):C(last_exon_order),410776204918.70245,2.0,85.73113980999418,6.111506785067661e-38,gorilla,170502
19,Residual,408461266169090.56,170496.0,,,gorilla,170502
20,C(last_exon_splicing),20816968601.97025,2.0,3.827527615599488,0.021765112948265945,human,181535
21,C(last_exon_order),1520913337416.377,1.0,559.2877532940888,1.848971054120374e-123,human,181535
22,C(last_exon_splicing):C(last_exon_order),941024792571.8185,2.0,173.02223245854915,8.490428193112946e-76,human,181535
23,Residual,493645490361169.9,181529.0,,,human,181535
24,C(last_exon_splicing),70187184166.99965,2.0,14.85418493453082,3.543850162893607e-07,sorangutan,169319
25,C(last_exon_order),1803789507384.0618,1.0,763.4961636841649,1.1029298498197348e-167,sorangutan,169319
26,C(last_exon_splicing):C(last_exon_order),385747555299.3689,2.0,81.6383445562712,3.6475561616646126e-36,sorangutan,169319
27,Residual,400008575537590.2,169313.0,,,sorangutan,169319
