,index,sum_sq,df,F,PR(>F),species,n_total
0,C(first_exon_splicing),359268820811.2643,2.0,75.01719868367992,2.7213843647242473e-33,bonobo,170277
1,C(first_exon_order),2382923096936.1025,1.0,995.1334769720753,8.756912189830824e-218,bonobo,170277
2,C(first_exon_splicing):C(first_exon_order),29786135688.36297,2.0,6.2195000777059235,0.0019906921062030117,bonobo,170277
3,Residual,407726911040088.3,170271.0,,,bonobo,170277
4,C(first_exon_splicing),281607927023.7953,2.0,59.202886360817,1.983703555293407e-26,borangutan,169746
5,C(first_exon_order),2650750614439.909,1.0,1114.5431100332012,1.4144058606817144e-243,borangutan,169746
6,C(first_exon_splicing):C(first_exon_order),29706899411.291283,2.0,6.245329130348982,0.0019399378275854096,borangutan,169746
7,Residual,403697627525261.9,169740.0,,,borangutan,169746
8,C(first_exon_splicing),254223492854.72742,2.0,50.41444188970398,1.2930076597909608e-22,chimpanzee,174730
9,C(first_exon_order),2651180406517.174,1.0,1051.4982627499244,5.575529705579815e-230,chimpanzee,174730
10,C(first_exon_splicing):C(first_exon_order),37439100782.84764,2.0,7.424456920266661,0.0005966729276459267,chimpanzee,174730
11,Residual,440537908390700.3,174724.0,,,chimpanzee,174730
12,C(first_exon_splicing),342445992495.04486,2.0,70.09524281624346,3.719008572263828e-31,gibbon,171936
13,C(first_exon_order),2126410185939.299,1.0,870.5094617949445,7.600749310457676e-191,gibbon,171936
14,C(first_exon_splicing):C(first_exon_order),269507307493.64426,2.0,55.165429216673736,1.1210949214703448e-24,gibbon,171936
15,Residual,419976713997696.0,171930.0,,,gibbon,171936
16,C(first_exon_splicing),406113980084.61786,2.0,84.67270903007208,1.759381341809195e-37,gorilla,170502
17,C(first_exon_order),2645406683345.544,1.0,1103.1078039640693,4.1342464378863975e-241,gorilla,170502
18,C(first_exon_splicing):C(first_exon_order),15808998274.724974,2.0,3.296096112460326,0.03702979601205331,gorilla,170502
19,Residual,408873236380778.06,170496.0,,,gorilla,170502
20,C(first_exon_splicing),194905579337.20575,2.0,35.929849575449076,2.505833953784496e-16,human,181535
21,C(first_exon_order),4479610293542.181,1.0,1651.5866251847165,0.0,human,181535
22,C(first_exon_splicing):C(first_exon_order),195990923176.0938,2.0,36.12992717713446,2.05160699169699e-16,human,181535
23,Residual,492362413558217.75,181529.0,,,human,181535
24,C(first_exon_splicing),232251327893.0672,2.0,49.05243261631678,5.0462487410205815e-22,sorangutan,169319
25,C(first_exon_order),2487996009409.122,1.0,1050.9499145459915,7.70117388881274e-230,sorangutan,169319
26,C(first_exon_splicing):C(first_exon_order),78269355779.80855,2.0,16.53080882310076,6.629210318462264e-08,sorangutan,169319
27,Residual,400827920066072.8,169313.0,,,sorangutan,169319
