SCFR_NC_072423_2_100002170_100002745_frame_1_fft	2	2	0.333913;0.100870	175.380;125.377	3;10
SCFR_NC_072423_2_101038935_101039184_frame_2_fft	1	1	0.397590	80.994	3
SCFR_NC_072423_2_101914845_101915640_frame_2_fft	1	1	0.392453	127.013	3
SCFR_NC_072423_2_103438886_103440592_frame3_fft	1	1	0.333529	193.450	3
SCFR_NC_072423_2_149851204_149851778_frame2_fft	1	1	0.332753	136.386	3
SCFR_NC_072423_2_149851204_149851661_frame2_fft	1	1	0.332604	104.251	3
SCFR_NC_072423_2_39705351_39705496_frame1_fft	1	1	0.337931	51.337	3
SCFR_NC_072423_2_78459510_78459929_frame1_fft	1	1	0.334129	113.050	3
SCFR_NC_072423_2_118276155_118278301_frame_1_fft	1	1	0.333644	271.992	3
SCFR_NC_072423_2_90734945_90735182_frame3_fft	1	1	0.333333	71.400	3
SCFR_NC_072423_2_93401533_93401791_frame_1_fft	1	1	0.337209	69.951	3
SCFR_NC_072423_2_96788053_96788370_frame_2_fft	1	1	0.334385	85.358	3
SCFR_NC_072423_2_96918011_96918380_frame3_fft	2	2	0.311653;0.186992	125.898;98.125	3;5
SCFR_NC_072423_2_96787188_96788370_frame_2_fft	1	1	0.333333	269.212	3
SCFR_NC_072423_2_112311284_112313943_frame3_fft	1	1	0.333208	276.798	3
SCFR_NC_072423_2_8000369_8003496_frame_2_fft	1	1	0.333227	543.970	3
SCFR_NC_072424_2_10315458_10318546_frame1_fft	3	3	0.303109;0.333225;0.011010	317.026;276.686;264.080	3;3;91
SCFR_NC_072424_2_113863209_113863459_frame1_fft	1	1	0.336000	74.184	3
SCFR_NC_072423_2_91337577_91338382_frame1_fft	1	1	0.332919	125.418	3
SCFR_NC_072424_2_147449777_147450166_frame_3_fft	1	1	0.334190	93.044	3
SCFR_NC_072424_2_24153488_24154132_frame3_fft	5	3	0.332298;0.276398;0.166149	243.295;146.090;137.975	3;4;6
SCFR_NC_072424_2_52479901_52481471_frame_2_fft	1	1	0.333121	195.139	3
SCFR_NC_072424_2_85302793_85303007_frame2_fft	1	1	0.331776	66.815	3
