chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_060925.1	1059696	1060245	1	1	+	NC_060925.1	1059791	1059933	1060063	1060158	MIB2	NM_001170686.4	+	1	1059933	1060063	129	4
NC_060925.1	1059696	1060245	1	1	+	NC_060925.1	1059791	1059933	1060051	1060158	MIB2	NM_001170687.4	+	1	1059933	1060051	117	21
NC_060925.1	1063725	1064214	1	1	+	NC_060925.1	1063890	1064071	1064144	1064209	MIB2	NM_001170686.4	+	1	1064071	1064144	72	28
NC_060925.1	1066611	1068417	1	1	+	NC_060925.1	1066723	1066878	1067287	1067417	MMP23B	NM_006983.2	+	1	1066878	1067287	408	3
NC_060925.1	1068350	1068830	3	1	+	NC_060925.1	1068493	1068603	1068706	1068829	MMP23B	XM_054339291.1	+	3	1068603	1068706	102	1
NC_060925.1	1068350	1068830	3	1	+	NC_060925.1	1068493	1068603	1068706	1068830	MMP23B	XM_054339292.1	+	3	1068603	1068706	102	1
NC_060925.1	109302947	109303934	3	1	+	NC_060925.1	109303236	109303410	109303723	109303835	CELSR2	NM_001408.3	+	3	109303410	109303723	312	1
NC_060925.1	109304077	109304548	2	1	+	NC_060925.1	109304182	109304308	109304396	109304518	CELSR2	NM_001408.3	+	2	109304308	109304396	87	1
NC_060925.1	109305609	109306467	1	1	+	NC_060925.1	109305629	109305823	109305962	109306132	CELSR2	NM_001408.3	+	1	109305823	109305962	138	1
NC_060925.1	109305609	109306467	1	1	+	NC_060925.1	109305962	109306132	109306232	109306466	CELSR2	NM_001408.3	+	1	109306132	109306232	99	1
NC_060925.1	109662545	109663664	3	1	+	NC_060925.1	109662954	109663127	109663404	109663514	AMPD2	NM_001257361.2	+	3	109663127	109663404	276	5
NC_060925.1	109687129	109687717	2	1	+	NC_060925.1	109687259	109687354	109687445	109687555	GSTM4	NM_000850.5	+	2	109687354	109687445	90	4
