chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_071985.2	100111936	100112749	-2	1	-	NC_071985.2	100112570	100112742	100112311	100112422	ADAMTSL4	XM_063717774.1	-	2	100112422	100112570	147	9
NC_071985.2	100111936	100112749	-2	1	-	NC_071985.2	100112311	100112422	100112026	100112211	ADAMTSL4	XM_063717774.1	-	2	100112211	100112311	99	9
NC_071985.2	100158379	100158877	-2	1	-	NC_071985.2	100158670	100158750	100158490	100158570	ECM1	XM_002810279.6	-	2	100158570	100158670	99	2
NC_071985.2	100399571	100400219	3	1	+	NC_071985.2	100399606	100399728	100399879	100400006	APH1A	XM_009244839.4	+	3	100399728	100399879	150	2
NC_071985.2	100744921	100745575	2	1	+	NC_071985.2	100745106	100745279	100745391	100745575	SF3B4	XM_024250558.3	+	2	100745279	100745391	111	1
NC_071985.2	111716	112169	3	1	+	NC_071985.2	111891	111924	112054	112147	ZNF692	XM_054560493.2	+	3	111924	112054	129	1
NC_071985.2	111820246	111820846	2	1	+	NC_071985.2	111820366	111820499	111820683	111820720	PIAS3	XM_002810321.5	+	2	111820499	111820683	183	1
NC_071985.2	111824401	111825538	-2	1	-	NC_071985.2	111825158	111825349	111824794	111824977	NUDT17	XM_002810322.6	-	2	111824977	111825158	180	1
NC_071985.2	111824401	111825538	-2	1	-	NC_071985.2	111824794	111824977	111824531	111824556	NUDT17	XM_002810322.6	-	2	111824556	111824794	237	1
NC_071985.2	111824401	111825538	-2	1	-	NC_071985.2	111824794	111825349	111824531	111824556	NUDT17	XM_054553618.2	-	2	111824556	111824794	237	1
NC_071985.2	120022786	120023437	2	1	+	NC_071985.2	120022813	120022876	120023033	120023140	PPM1J	XM_002810421.6	+	2	120022876	120023033	156	1
NC_071985.2	120022786	120023437	2	1	+	NC_071985.2	120023033	120023140	120023285	120023436	PPM1J	XM_002810421.6	+	2	120023140	120023285	144	1
NC_071985.2	123030110	123030488	-1	1	-	NC_071985.2	123030393	123030466	123030123	123030164	GSTM5	XM_054548038.2	-	1	123030164	123030393	228	1
NC_071985.2	123065513	123065882	-1	1	-	NC_071985.2	123065769	123065864	123065568	123065678	GSTM2	NM_001134015.1	-	1	123065678	123065769	90	1
NC_071985.2	123077954	123078587	-1	1	-	NC_071985.2	123078363	123078458	123078162	123078272	GSTM4	NM_001367596.1	-	1	123078272	123078363	90	3
NC_071985.2	123106155	123107292	-3	1	-	NC_071985.2	123106711	123106884	123106303	123106413	AMPD2	NM_001132278.3	-	3	123106413	123106711	297	5
NC_071985.2	123463531	123464164	-2	1	-	NC_071985.2	123463951	123464145	123463642	123463812	CELSR2	XM_024252814.3	-	2	123463812	123463951	138	4
NC_071985.2	123465226	123465697	-2	1	-	NC_071985.2	123465467	123465593	123465257	123465379	CELSR2	XM_024252814.3	-	2	123465379	123465467	87	4
