frame,chromosome,shadow_start,shadow_end,strand,sequence_length,GC_percent,AT_percent
-1,NC_060925.1,100000473,100000500,-,27,25.926,74.074
-1,NC_060925.1,100003164,100003166,-,2,100.0,0.0
-2,NC_060925.1,100004285,100004287,-,2,100.0,0.0
-3,NC_060925.1,100006333,100006346,-,13,38.462,61.538
-2,NC_060925.1,100008497,100008579,-,82,31.707,68.293
-3,NC_060925.1,100016491,100016517,-,26,15.385,84.615
-2,NC_060925.1,100058729,100058745,-,16,56.25,43.75
-3,NC_060925.1,100062541,100062869,-,328,49.695,50.305
-1,NC_060925.1,10006650,10006672,-,22,68.182,31.818
-2,NC_060925.1,100066658,100066677,-,19,21.053,78.947
-2,NC_060925.1,100066658,100066677,-,19,21.053,78.947
-2,NC_060925.1,100078700,100078769,-,69,31.884,68.116
-2,NC_060925.1,100083467,100083469,-,2,100.0,0.0
-3,NC_060925.1,100097716,100097738,-,22,54.545,45.455
-1,NC_060925.1,10010733,10010800,-,67,59.701,40.299
2,NC_060925.1,100114393,100114627,+,234,63.248,36.752
3,NC_060925.1,100114597,100114598,+,1,100.0,0.0
2,NC_060925.1,100115511,100115725,+,214,39.72,60.28
1,NC_060925.1,100116269,100116297,+,28,28.571,71.429
3,NC_060925.1,100118651,100118681,+,30,36.667,63.333
1,NC_060925.1,100121423,100121424,+,1,100.0,0.0
1,NC_060925.1,100122936,100122999,+,63,23.81,76.19
2,NC_060925.1,100125287,100125310,+,23,43.478,56.522
-3,NC_060925.1,10012774,10012786,-,12,41.667,58.333
1,NC_060925.1,100133277,100133295,+,18,33.333,66.667
-2,NC_060925.1,10015769,10015931,-,162,66.667,33.333
3,NC_060925.1,10018688,10018739,+,51,70.588,29.412
3,NC_060925.1,10018610,10018739,+,129,72.868,27.132
3,NC_060925.1,100200981,100201208,+,227,64.758,35.242
2,NC_060925.1,100201830,100201831,+,1,100.0,0.0
3,NC_060925.1,100225601,100225634,+,33,24.242,75.758
3,NC_060925.1,100225601,100225634,+,33,24.242,75.758
1,NC_060925.1,10028721,10028781,+,60,36.667,63.333
3,NC_060925.1,100288025,100288064,+,39,35.897,64.103
3,NC_060925.1,100303518,100303556,+,38,26.316,73.684
2,NC_060925.1,100310909,100311013,+,104,47.115,52.885
