SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_072398_2_128165040_128165104_frame1_fft	1	1	0.328125	41.263	3
SCFR_NC_072398_2_13102961_13103301_frame3_fft	1	1	0.011765	81.688	85
SCFR_NC_072398_2_15991313_15991540_frame3_fft	1	1	0.008811	66.584	114
SCFR_NC_072398_2_171083958_171084181_frame1_fft	1	1	0.493274	67.403	2
SCFR_NC_072398_2_196133579_196133865_frame3_fft	1	1	0.006993	77.590	144
SCFR_NC_072398_2_196133579_196133860_frame3_fft	1	1	0.007117	77.321	141
SCFR_NC_072398_2_199545537_199545740_frame_2_fft	1	1	0.152709	63.692	7
SCFR_NC_072398_2_20954538_20954794_frame1_fft	1	1	0.171875	70.568	6
SCFR_NC_072398_2_21015645_21016214_frame_2_fft	1	1	0.490334	124.329	2
SCFR_NC_072398_2_21015642_21016214_frame_2_fft	1	1	0.489510	110.570	2
SCFR_NC_072398_2_211525174_211525432_frame_3_fft	1	1	0.166667	107.645	6
SCFR_NC_072398_2_21515651_21515940_frame_1_fft	1	1	0.044983	94.040	22
SCFR_NC_072398_2_215075400_215076071_frame1_fft	1	1	0.093890	158.552	11
SCFR_NC_072398_2_21612613_21612925_frame_3_fft	1	1	0.310897	78.314	3
SCFR_NC_072398_2_21612658_21612925_frame_3_fft	1	1	0.310861	71.219	3
SCFR_NC_072398_2_225898042_225898815_frame2_fft	5	3	0.262613;0.248383;0.269082	147.335;135.970;134.725	4;4;4
SCFR_NC_072398_2_228359221_228359333_frame_2_fft	1	1	0.410714	47.124	2
SCFR_NC_072398_2_228586407_228587378_frame1_fft	5	3	0.156540;0.117405;0.293512	169.294;163.974;155.118	6;9;3
SCFR_NC_072398_2_228674661_228675127_frame_3_fft	1	1	0.495708	119.103	2
SCFR_NC_072398_2_229831877_229832537_frame_2_fft	7	3	0.443939;0.333333;0.389394	155.699;139.617;122.164	2;3;3
SCFR_NC_072398_2_230093669_230094455_frame3_fft	1	1	0.063613	126.016	16
SCFR_NC_072398_2_230436005_230436297_frame_1_fft	2	2	0.178082;0.236301	89.985;77.499	6;4
SCFR_NC_072398_2_230415927_230416426_frame1_fft	1	1	0.050100	105.384	20
SCFR_NC_072398_2_230474723_230474964_frame_1_fft	1	1	0.178423	72.049	6
SCFR_NC_072398_2_230686124_230687042_frame_2_fft	1	1	0.446623	201.330	2
SCFR_NC_072398_2_230978346_230978775_frame_1_fft	1	1	0.004662	108.861	215
SCFR_NC_072398_2_23775351_23776166_frame1_fft	1	1	0.333742	162.721	3
SCFR_NC_072398_2_2338599_2338947_frame_1_fft	2	2	0.074713;0.112069	114.768;97.508	13;9
SCFR_NC_072398_2_25375911_25376227_frame_3_fft	1	1	0.300633	106.715	3
SCFR_NC_072398_2_257060_257391_frame3_fft	1	1	0.006042	80.907	166
