frame,chromosome,shadow_start,shadow_end,strand,sequence_length,GC_percent,AT_percent
3,NC_073224.2,100010826,100010900,+,74,59.459,40.541
1,NC_073224.2,100011495,100011675,+,180,58.889,41.111
2,NC_073224.2,100012461,100012462,+,1,100.0,0.0
3,NC_073224.2,100013293,100013294,+,1,100.0,0.0
2,NC_073224.2,100013650,100013830,+,180,65.0,35.0
1,NC_073224.2,100017834,100017852,+,18,66.667,33.333
3,NC_073224.2,100018292,100018355,+,63,55.556,44.444
-3,NC_073224.2,100030160,100030173,-,13,61.538,38.462
-2,NC_073224.2,100032648,100032709,-,61,44.262,55.738
-2,NC_073224.2,100035699,100035706,-,7,28.571,71.429
-1,NC_073224.2,100039888,100039967,-,79,43.038,56.962
-3,NC_073224.2,100040210,100040310,-,100,56.0,44.0
-2,NC_073224.2,100045164,100045180,-,16,37.5,62.5
-3,NC_073224.2,100059215,100059258,-,43,58.14,41.86
3,NC_073224.2,100075289,100075364,+,75,74.667,25.333
2,NC_073224.2,100075480,100076146,+,666,75.375,24.625
1,NC_073224.2,100076175,100076337,+,162,69.136,30.864
3,NC_073224.2,100082206,100082207,+,1,100.0,0.0
3,NC_073224.2,100082206,100082207,+,1,100.0,0.0
3,NC_073224.2,100082495,100082615,+,120,61.667,38.333
2,NC_073224.2,100083340,100083856,+,516,60.853,39.147
1,NC_073224.2,100083851,100083852,+,1,100.0,0.0
2,NC_073224.2,100088980,100089001,+,21,61.905,38.095
1,NC_073224.2,100089159,100089165,+,6,33.333,66.667
2,NC_073224.2,100089471,100089586,+,115,55.652,44.348
1,NC_073224.2,100089859,100089963,+,104,59.615,40.385
-2,NC_073224.2,100091502,100091595,-,93,60.215,39.785
-1,NC_073224.2,100091593,100091595,-,2,100.0,0.0
-2,NC_073224.2,100093437,100093439,-,2,50.0,50.0
-3,NC_073224.2,100094342,100094400,-,58,63.793,36.207
-2,NC_073224.2,100094844,100094875,-,31,41.935,58.065
-1,NC_073224.2,100095316,100095449,-,133,53.383,46.617
-1,NC_073224.2,100095703,100095807,-,104,55.769,44.231
-1,NC_073224.2,100095703,100095807,-,104,55.769,44.231
-1,NC_073224.2,100098664,100098713,-,49,67.347,32.653
2,NC_073224.2,100101034,100101196,+,162,50.617,49.383
2,NC_073224.2,100103785,100103833,+,48,62.5,37.5
2,NC_073224.2,100122191,100122286,+,95,61.053,38.947
2,NC_073224.2,100126726,100126795,+,69,60.87,39.13
1,NC_073224.2,100127058,100127187,+,129,56.589,43.411
1,NC_073224.2,100151103,100151208,+,105,57.143,42.857
1,NC_073224.2,100152368,100152603,+,235,59.149,40.851
3,NC_073224.2,100154130,100154447,+,317,57.729,42.271
-3,NC_073224.2,100168751,100168800,-,49,61.224,38.776
-2,NC_073224.2,100169196,100169262,-,66,66.667,33.333
-2,NC_073224.2,100169697,100169776,-,79,63.291,36.709
-1,NC_073224.2,100170379,100170442,-,63,68.254,31.746
-3,NC_073224.2,100171142,100171151,-,9,55.556,44.444
-2,NC_073224.2,100174578,100174650,-,72,55.556,44.444
-1,NC_073224.2,100175833,100175854,-,21,52.381,47.619
-2,NC_073224.2,100178613,100178664,-,51,58.824,41.176
-1,NC_073224.2,100179409,100179415,-,6,50.0,50.0
-1,NC_073224.2,100179730,100179843,-,113,65.487,34.513
-3,NC_073224.2,100180250,100180346,-,96,65.625,34.375
-3,NC_073224.2,100181309,100181375,-,66,56.061,43.939
-2,NC_073224.2,100203042,100203117,-,75,66.667,33.333
-1,NC_073224.2,100203274,100203433,-,159,70.44,29.56
-1,NC_073224.2,100203274,100203433,-,159,70.44,29.56
-2,NC_073224.2,100203552,100203741,-,189,73.545,26.455
-1,NC_073224.2,100203739,100203741,-,2,100.0,0.0
-2,NC_073224.2,100204155,100204326,-,171,59.649,40.351
3,NC_073224.2,100228965,100229054,+,89,62.921,37.079
2,NC_073224.2,100229509,100229560,+,51,54.902,45.098
1,NC_073224.2,100229703,100229706,+,3,33.333,66.667
1,NC_073224.2,100229895,100230117,+,222,50.45,49.55
3,NC_073224.2,100231537,100231538,+,1,100.0,0.0
3,NC_073224.2,100231843,100231844,+,1,100.0,0.0
-3,NC_073224.2,100234289,100234361,-,72,65.278,34.722
-3,NC_073224.2,100235234,100235250,-,16,62.5,37.5
-3,NC_073224.2,100235366,100235445,-,79,59.494,40.506
-1,NC_073224.2,100235644,100235711,-,67,65.672,34.328
-2,NC_073224.2,100235931,100235933,-,2,100.0,0.0
-1,NC_073224.2,100241350,100241673,-,323,53.56,46.44
-2,NC_073224.2,100241874,100241892,-,18,61.111,38.889
-1,NC_073224.2,100242475,100242487,-,12,50.0,50.0
-1,NC_073224.2,100242742,100242744,-,2,100.0,0.0
-3,NC_073224.2,100243814,100243821,-,7,57.143,42.857
-2,NC_073224.2,100244115,100244266,-,151,55.629,44.371
-1,NC_073224.2,100244524,100244548,-,24,58.333,41.667
-3,NC_073224.2,100245173,100245284,-,111,59.459,40.541
-2,NC_073224.2,100245552,100245648,-,96,61.458,38.542
2,NC_073224.2,100255169,100255345,+,176,70.455,29.545
2,NC_073224.2,100255184,100255345,+,161,71.429,28.571
3,NC_073224.2,100258303,100258304,+,1,100.0,0.0
3,NC_073224.2,100261304,100261379,+,75,54.667,45.333
3,NC_073224.2,100261667,100261781,+,114,45.614,54.386
2,NC_073224.2,100263081,100263082,+,1,100.0,0.0
2,NC_073224.2,100264558,100264594,+,36,50.0,50.0
2,NC_073224.2,100265105,100265176,+,71,60.563,39.437
1,NC_073224.2,100265856,100265892,+,36,52.778,47.222
1,NC_073224.2,100266757,100266897,+,140,52.857,47.143
1,NC_073224.2,100266757,100266897,+,140,52.857,47.143
2,NC_073224.2,100268929,100269076,+,147,57.143,42.857
1,NC_073224.2,100271231,100271232,+,1,100.0,0.0
1,NC_073224.2,100273498,100273536,+,38,52.632,47.368
1,NC_073224.2,100273767,100274127,+,360,52.5,47.5
1,NC_073224.2,100275211,100275252,+,41,63.415,36.585
2,NC_073224.2,100276883,100276897,+,14,57.143,42.857
1,NC_073224.2,100277115,100277151,+,36,61.111,38.889
1,NC_073224.2,100277115,100277151,+,36,61.111,38.889
3,NC_073224.2,100277390,100277480,+,90,56.667,43.333
