Region	Window_Size	Chromosome	SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods	Metric
without_coding_region	5000	NC_072410.2	SCFR_NC_072410_2_122843980_122852263_frame_1_fft	2	2	0.166727;0.333333	4314.188;2632.054	6;3	0.2298569613120303
without_coding_region	5000	NC_072410.2	SCFR_NC_072410_2_120862939_120874378_frame_1_fft	22	3	0.250022;0.062505;0.312527	5487.194;4830.183;2919.240	4;16;3	0.19538006774412225
without_coding_region	5000	NC_072410.2	SCFR_NC_072410_2_120862920_120874362_frame_2_fft	23	3	0.062489;0.249956;0.437511	4768.526;3922.636;3463.112	16;4;2	0.22984642434932764
without_coding_region	5000	NC_072410.2	SCFR_NC_072410_2_120862925_120874493_frame_3_fft	24	3	0.250000;0.062500;0.437500	6122.817;4868.410;3561.575	4;16;2	0.2331625852876992
without_coding_region	5000	NC_072410.2	SCFR_NC_072410_2_122843981_122852264_frame3_fft	2	2	0.166727;0.333333	4314.731;2633.530	6;3	0.22987400889618279
without_coding_region	5000	NC_072410.2	SCFR_NC_072410_2_122843993_122852018_frame_3_fft	2	2	0.166604;0.333333	4029.986;2674.000	6;3	0.23310672628850956
without_coding_region	5000	NC_072410.2	SCFR_NC_072410_2_122843994_122852019_frame1_fft	2	2	0.166729;0.333333	4030.364;2674.000	6;3	0.23317812119926662
without_coding_region	5000	NC_072418.2	SCFR_NC_072418_2_61477835_61484528_frame3_fft	38	3	0.051845;0.025848;0.461527	1587.793;958.903;932.035	19;39;2	0.15444257410935194
without_coding_region	5000	NC_072418.2	SCFR_NC_072418_2_25823253_25828371_frame1_fft	9	3	0.348574;0.349551;0.354631	408.352;377.589;365.426	3;3;3	0.35081680332422244
without_coding_region	5000	NC_072418.2	SCFR_NC_072418_2_68077786_68085172_frame_3_fft	3	3	0.166667;0.333469;0.333198	5065.694;1310.604;1308.634	6;3;3	0.2234716011418188
without_coding_region	5000	NC_072418.2	SCFR_NC_072418_2_68077787_68085173_frame3_fft	3	3	0.166667;0.333469;0.333198	5064.202;1311.608;1308.612	6;3;3	0.22349668772251183
without_coding_region	5000	NC_072418.2	SCFR_NC_072418_2_61478466_61488516_frame1_fft	58	3	0.051841;0.051542;0.436020	1699.328;1695.564;1643.067	19;19;2	0.1770355209075739
without_coding_region	5000	NC_086015.1	SCFR_NC_086015_1_199385001_199390068_frame1_fft	20	3	0.333333;0.147622;0.185711	2251.014;1308.240;1294.257	3;7;5	0.24391003062916716
without_coding_region	5000	NC_086015.1	SCFR_NC_086015_1_199385013_199390059_frame_2_fft	26	3	0.333333;0.147642;0.185692	2256.205;1314.928;1296.072	3;7;5	0.24385173479748642
without_coding_region	5000	NC_086015.1	SCFR_NC_086015_1_201573193_201579334_frame_1_fft	3	3	0.166748;0.333333;0.165771	3414.145;1731.992;368.292	6;3;6	0.21900437432923703
without_coding_region	5000	NC_086015.1	SCFR_NC_086015_1_199385036_199390094_frame_3_fft	25	3	0.333333;0.147687;0.185647	2258.440;1163.102;1135.738	3;7;5	0.24914729357862583
without_coding_region	5000	NC_086015.1	SCFR_NC_086015_1_201573261_201578799_frame1_fft	2	2	0.166667;0.333333	4283.350;1806.504	6;3	0.21610706796616147
without_coding_region	5000	NC_086015.1	SCFR_NC_086015_1_201573341_201578798_frame_3_fft	2	2	0.166758;0.333333	2746.803;1809.146	6;3	0.2329041519762403
without_coding_region	5000	NC_086015.1	SCFR_NC_086015_1_201573194_201579334_frame3_fft	3	3	0.166612;0.333388;0.165961	3520.821;1651.037;407.098	6;3;6	0.21592020854546978
without_coding_region	5000	NC_072422.2	SCFR_NC_072422_2_1289_6854_frame3_fft	3	3	0.166757;0.333333;0.499191	3152.138;1453.920;391.400	6;3;2	0.24125544411298705
without_coding_region	5000	NC_072422.2	SCFR_NC_072422_2_33985409_33994241_frame3_fft	37	3	0.140285;0.474072;0.281476	1913.981;1511.144;975.098	7;2;4	0.28620380548917634
without_coding_region	5000	NC_072422.2	SCFR_NC_072422_2_1288_6709_frame_3_fft	3	3	0.166759;0.333333;0.166021	3167.293;1490.915;504.749	6;3;6	0.2147886795902038
without_coding_region	5000	NC_072422.2	SCFR_NC_072422_2_33985464_33994323_frame1_fft	41	3	0.140309;0.474094;0.473868	1748.339;1512.788;1032.839	7;2;2	0.3381351324335125
without_coding_region	5000	NC_072422.2	SCFR_NC_072422_2_33988072_33994087_frame2_fft	33	3	0.140316;0.473815;0.141147	1147.041;993.041;767.223	7;2;7	0.2544477277588695
without_coding_region	5000	NC_072422.2	SCFR_NC_072422_2_35287088_35295107_frame_2_fft	14	3	0.213618;0.213119;0.213867	1459.258;1438.962;1276.964	5;5;5	0.21352217715674326
