SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_072423_2_100910520_100910998_frame1_fft	1	1	0.121339	103.896	8
SCFR_NC_072423_2_100002170_100002745_frame_1_fft	2	2	0.333913;0.100870	175.380;125.377	3;10
SCFR_NC_072423_2_101038935_101039184_frame_2_fft	1	1	0.397590	80.994	3
SCFR_NC_072423_2_101914845_101915640_frame_2_fft	1	1	0.392453	127.013	3
SCFR_NC_072423_2_102050442_102051196_frame_1_fft	5	3	0.099469;0.449602;0.299735	195.478;187.975;145.251	10;2;3
SCFR_NC_072423_2_101554335_101554776_frame1_fft	2	2	0.224490;0.111111	103.606;97.135	4;9
SCFR_NC_072423_2_106634127_106634199_frame_2_fft	1	1	0.416667	36.709	2
SCFR_NC_072423_2_112412911_112413443_frame2_fft	1	1	0.496241	112.796	2
SCFR_NC_072423_2_103438886_103440592_frame3_fft	1	1	0.333529	193.450	3
SCFR_NC_072423_2_122951158_122951343_frame_2_fft	1	1	0.491892	64.158	2
SCFR_NC_072423_2_124141955_124142104_frame3_fft	1	1	0.248322	64.516	4
SCFR_NC_072423_2_124494671_124495010_frame_3_fft	1	1	0.005900	81.409	170
SCFR_NC_072423_2_149851204_149851778_frame2_fft	1	1	0.332753	136.386	3
SCFR_NC_072423_2_149851204_149851661_frame2_fft	1	1	0.332604	104.251	3
SCFR_NC_072423_2_150488526_150488673_frame_2_fft	2	2	0.428571;0.095238	58.807;54.458	2;11
SCFR_NC_072423_2_156670224_156670481_frame1_fft	1	1	0.490272	93.816	2
SCFR_NC_072423_2_158999779_159000146_frame2_fft	1	1	0.430518	88.337	2
SCFR_NC_072423_2_39705351_39705496_frame1_fft	1	1	0.337931	51.337	3
SCFR_NC_072423_2_49457184_49457963_frame1_fft	1	1	0.002567	126.676	390
SCFR_NC_072423_2_66412725_66413029_frame1_fft	1	1	0.253289	74.748	4
SCFR_NC_072423_2_78459510_78459929_frame1_fft	1	1	0.334129	113.050	3
SCFR_NC_072423_2_118276155_118278301_frame_1_fft	1	1	0.333644	271.992	3
SCFR_NC_072423_2_87142252_87142453_frame2_fft	1	1	0.492537	61.831	2
SCFR_NC_072423_2_89775785_89776116_frame_2_fft	1	1	0.492447	126.711	2
SCFR_NC_072423_2_90741418_90741921_frame2_fft	1	1	0.453280	101.572	2
SCFR_NC_072423_2_90734945_90735182_frame3_fft	1	1	0.333333	71.400	3
SCFR_NC_072423_2_93075673_93075931_frame2_fft	1	1	0.437984	73.078	2
SCFR_NC_072423_2_93401533_93401791_frame_1_fft	1	1	0.337209	69.951	3
SCFR_NC_072423_2_94407591_94408131_frame1_fft	1	1	0.003704	109.287	270
SCFR_NC_072423_2_94471628_94471863_frame_2_fft	1	1	0.165957	72.305	6
SCFR_NC_072423_2_95131417_95131781_frame_3_fft	1	1	0.483516	121.944	2
SCFR_NC_072423_2_96788053_96788370_frame_2_fft	1	1	0.334385	85.358	3
SCFR_NC_072423_2_96918011_96918380_frame3_fft	2	2	0.311653;0.186992	125.898;98.125	3;5
SCFR_NC_072423_2_96787188_96788370_frame_2_fft	1	1	0.333333	269.212	3
SCFR_NC_072423_2_112311284_112313943_frame3_fft	1	1	0.333208	276.798	3
SCFR_NC_072423_2_94397097_94399201_frame1_fft	2	2	0.133080;0.333175	307.399;300.375	8;3
SCFR_NC_072423_2_8000369_8003496_frame_2_fft	1	1	0.333227	543.970	3
SCFR_NC_072424_2_10315458_10318546_frame1_fft	3	3	0.303109;0.333225;0.011010	317.026;276.686;264.080	3;3;91
SCFR_NC_072424_2_112994176_112994846_frame2_fft	1	1	0.004478	123.972	224
SCFR_NC_072424_2_113863209_113863459_frame1_fft	1	1	0.336000	74.184	3
SCFR_NC_072423_2_91337577_91338382_frame1_fft	1	1	0.332919	125.418	3
SCFR_NC_072424_2_109514575_109514667_frame2_fft	1	1	0.032609	43.955	31
SCFR_NC_072424_2_147449777_147450166_frame_3_fft	1	1	0.334190	93.044	3
SCFR_NC_072424_2_24153488_24154132_frame3_fft	5	3	0.332298;0.276398;0.166149	243.295;146.090;137.975	3;4;6
SCFR_NC_072424_2_49502375_49502907_frame3_fft	1	1	0.048872	107.497	20
SCFR_NC_072424_2_5154369_5154708_frame_1_fft	1	1	0.091445	96.609	11
SCFR_NC_072424_2_52479901_52481471_frame_2_fft	1	1	0.333121	195.139	3
SCFR_NC_072424_2_5277833_5278332_frame3_fft	1	1	0.098196	137.906	10
SCFR_NC_072424_2_6301043_6301343_frame_2_fft	1	1	0.256667	84.382	4
SCFR_NC_072424_2_6385056_6385242_frame_1_fft	1	1	0.021505	62.939	47
SCFR_NC_072424_2_85302793_85303007_frame2_fft	1	1	0.331776	66.815	3
SCFR_NC_072424_2_96141298_96141404_frame2_fft	1	1	0.254717	44.151	4
SCFR_NC_072425_2_10947225_10947997_frame1_fft	2	2	0.489637;0.444301	222.135;123.252	2;2
SCFR_NC_072425_2_11644397_11645552_frame_1_fft	10	3	0.090909;0.454545;0.181818	362.368;239.481;216.927	11;2;6
SCFR_NC_072425_2_125380767_125382825_frame_3_fft	1	1	0.333333	222.419	3
SCFR_NC_072425_2_133852089_133852458_frame_3_fft	1	1	0.333333	87.239	3
SCFR_NC_072425_2_136422213_136422788_frame_1_fft	1	1	0.005217	126.145	192
SCFR_NC_072425_2_135581565_135582376_frame1_fft	1	1	0.483354	165.632	2
SCFR_NC_072425_2_135581565_135582070_frame1_fft	1	1	0.483168	130.286	2
SCFR_NC_072425_2_135520585_135523116_frame2_fft	1	1	0.333465	255.924	3
SCFR_NC_072425_2_140496721_140497307_frame2_fft	1	1	0.003413	118.934	294
SCFR_NC_072425_2_140496721_140497439_frame2_fft	1	1	0.002786	132.223	360
SCFR_NC_072425_2_15971122_15971508_frame2_fft	1	1	0.248705	109.829	4
SCFR_NC_072425_2_16646133_16646668_frame1_fft	1	1	0.332710	173.393	3
SCFR_NC_072425_2_17633245_17634102_frame_3_fft	1	1	0.249708	160.227	4
SCFR_NC_072425_2_22715170_22715496_frame_3_fft	1	1	0.447853	83.583	2
SCFR_NC_072425_2_31706342_31706484_frame3_fft	1	1	0.014085	52.097	72
SCFR_NC_072425_2_32549457_32549890_frame_2_fft	2	2	0.496536;0.004619	133.668;103.904	2;217
SCFR_NC_072425_2_45733317_45733449_frame_3_fft	1	1	0.477273	50.606	2
SCFR_NC_072425_2_49569149_49569335_frame_1_fft	1	1	0.446237	69.017	2
SCFR_NC_072425_2_51538465_51539442_frame2_fft	11	3	0.466735;0.432958;0.033777	323.587;271.783;261.657	2;2;30
SCFR_NC_072425_2_53856260_53857071_frame_3_fft	1	1	0.332922	129.711	3
