SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_072398_2_105803695_105803952_frame1_fft	1	1	0.147860	81.409	7
SCFR_NC_072398_2_106763753_106763919_frame_2_fft	1	1	0.012048	56.430	84
SCFR_NC_072398_2_186849502_186849749_frame_3_fft	1	1	0.210526	69.444	5
SCFR_NC_072398_2_187377172_187377803_frame_3_fft	1	1	0.109350	118.948	9
SCFR_NC_072398_2_203323086_203323364_frame3_fft	3	3	0.165468;0.248201;0.334532	95.230;83.831;81.088	6;4;3
SCFR_NC_072398_2_203323098_203323364_frame3_fft	3	3	0.165414;0.248120;0.334586	92.502;79.919;76.759	6;4;3
SCFR_NC_072398_2_207040703_207040896_frame1_fft	1	1	0.165803	71.894	6
SCFR_NC_072398_2_207583730_207584180_frame3_fft	1	1	0.106667	102.693	9
SCFR_NC_072398_2_206667890_206669530_frame_2_fft	5	3	0.120732;0.119512;0.060366	381.533;318.076;314.951	8;8;17
SCFR_NC_072398_2_21016258_21016569_frame_3_fft	1	1	0.495177	99.915	2
SCFR_NC_072398_2_21035951_21036303_frame_2_fft	1	1	0.255682	114.136	4
SCFR_NC_072398_2_215073942_215075657_frame3_fft	8	3	0.092128;0.046064;0.389504	400.097;347.950;271.451	11;22;3
SCFR_NC_072398_2_215760103_215760440_frame_3_fft	1	1	0.249258	163.267	4
SCFR_NC_072398_2_2206080_2206319_frame3_fft	1	1	0.012552	77.415	80
SCFR_NC_072398_2_222169820_222170251_frame2_fft	1	1	0.153132	89.606	7
SCFR_NC_072398_2_221579354_221579634_frame_2_fft	3	3	0.160714;0.032143;0.353571	92.738;82.251;78.864	6;31;3
SCFR_NC_072398_2_228177432_228177909_frame1_fft	3	3	0.163522;0.129979;0.033543	107.779;100.189;97.368	6;8;30
SCFR_NC_072398_2_228431697_228432042_frame1_fft	1	1	0.168116	83.112	6
SCFR_NC_072398_2_228572095_228572736_frame1_fft	9	3	0.444618;0.277691;0.388456	173.233;159.345;155.815	2;4;3
SCFR_NC_072398_2_228609668_228610680_frame_2_fft	11	3	0.200593;0.116601;0.016798	259.993;237.350;198.544	5;9;60
SCFR_NC_072398_2_229392431_229392893_frame3_fft	3	3	0.043290;0.348485;0.391775	115.202;114.101;111.747	23;3;3
SCFR_NC_072398_2_229828445_229828788_frame_2_fft	1	1	0.174927	84.141	6
SCFR_NC_072398_2_229831894_229832384_frame_3_fft	8	3	0.444898;0.222449;0.416327	126.268;123.502;114.826	2;5;2
SCFR_NC_072398_2_230062003_230062456_frame2_fft	1	1	0.487859	121.166	2
SCFR_NC_072398_2_230662236_230662485_frame1_fft	1	1	0.333333	81.821	3
SCFR_NC_072398_2_230637049_230638132_frame_3_fft	1	1	0.333333	200.401	3
SCFR_NC_072398_2_230677396_230677720_frame2_fft	1	1	0.478395	85.010	2
SCFR_NC_072398_2_230686096_230686769_frame_3_fft	1	1	0.445765	186.110	2
SCFR_NC_072398_2_230949178_230949267_frame_3_fft	1	1	0.022472	39.894	45
SCFR_NC_072398_2_225547231_225547529_frame_3_fft	1	1	0.006711	77.012	150
SCFR_NC_072398_2_231056182_231056602_frame_3_fft	2	2	0.333333;0.228571	100.794;93.370	3;4
SCFR_NC_072398_2_230415923_230416412_frame3_fft	1	1	0.427403	100.869	2
SCFR_NC_072398_2_368772_369338_frame3_fft	1	1	0.452297	135.973	2
SCFR_NC_072398_2_41749464_41750142_frame_1_fft	1	1	0.333333	160.286	3
SCFR_NC_072398_2_48472987_48473949_frame1_fft	1	1	0.333680	153.993	3
SCFR_NC_072398_2_5102632_5103525_frame_3_fft	1	1	0.333707	192.752	3
SCFR_NC_072398_2_45593239_45595313_frame_3_fft	4	3	0.311475;0.312922;0.315333	320.586;311.605;307.593	3;3;3
SCFR_NC_072398_2_86754884_86755145_frame_2_fft	1	1	0.333333	70.686	3
SCFR_NC_072398_2_92783564_92783977_frame2_fft	1	1	0.004843	90.780	207
SCFR_NC_072398_2_95493911_95494163_frame_2_fft	1	1	0.007937	72.354	126
SCFR_NC_072398_2_97374403_97374783_frame1_fft	1	1	0.005263	90.891	190
SCFR_NC_072401_2_110321491_110322050_frame_3_fft	1	1	0.248658	103.299	4
SCFR_NC_072401_2_1251591_1252000_frame_1_fft	1	1	0.024450	107.242	41
SCFR_NC_072401_2_148418466_148418667_frame1_fft	1	1	0.333333	62.358	3
SCFR_NC_072401_2_154313612_154313852_frame3_fft	1	1	0.333333	81.007	3
SCFR_NC_072401_2_1692238_1692676_frame2_fft	1	1	0.047945	107.003	21
SCFR_NC_072401_2_1718555_1718723_frame3_fft	1	1	0.220238	60.597	5
SCFR_NC_072401_2_1614275_1614723_frame_2_fft	2	2	0.029018;0.341518	107.721;107.138	35;3
SCFR_NC_072401_2_18136559_18136874_frame_2_fft	1	1	0.133333	95.525	8
SCFR_NC_072398_2_94003507_94004809_frame2_fft	7	3	0.166667;0.333333;0.116743	291.534;274.025;262.090	6;3;9
SCFR_NC_072401_2_3621401_3621770_frame3_fft	2	2	0.463415;0.471545	95.183;93.835	2;2
SCFR_NC_072401_2_3648617_3648722_frame3_fft	1	1	0.333333	51.767	3
SCFR_NC_072401_2_3810140_3810227_frame3_fft	1	1	0.459770	41.061	2
SCFR_NC_072401_2_47162402_47163092_frame3_fft	1	1	0.333333	135.950	3
SCFR_NC_072401_2_49957711_49958009_frame_3_fft	1	1	0.006711	76.275	150
SCFR_NC_072401_2_795374_796055_frame3_fft	2	2	0.239354;0.261380	131.595;130.584	4;4
SCFR_NC_072401_2_824117_824540_frame3_fft	3	3	0.108747;0.087470;0.260047	130.526;104.477;99.685	9;11;4
SCFR_NC_072401_2_8740162_8740772_frame_3_fft	2	2	0.432787;0.429508	126.311;112.681	2;2
SCFR_NC_072401_2_993444_993867_frame1_fft	3	3	0.108747;0.087470;0.260047	130.526;104.477;99.685	9;11;4
SCFR_NC_072401_2_964701_965382_frame1_fft	2	2	0.239354;0.261380	131.595;130.584	4;4
SCFR_NC_072402_2_15252933_15253064_frame3_fft	1	1	0.015267	51.178	66
SCFR_NC_072402_2_1531605_1531863_frame_1_fft	1	1	0.147287	70.846	7
SCFR_NC_072402_2_158042407_158043001_frame_3_fft	1	1	0.333333	125.301	3
SCFR_NC_072402_2_166107020_166107119_frame3_fft	1	1	0.252525	46.792	4
SCFR_NC_072402_2_1717851_1718250_frame_1_fft	3	3	0.453634;0.360902;0.092732	139.784;97.813;87.606	2;3;11
SCFR_NC_072402_2_169750918_169751811_frame_3_fft	2	2	0.249720;0.247480	234.284;154.335	4;4
SCFR_NC_072402_2_177806669_177807099_frame_2_fft	1	1	0.004651	109.729	216
SCFR_NC_072402_2_178521613_178522830_frame1_fft	3	3	0.100247;0.334429;0.133936	203.469;194.825;187.901	10;3;7
SCFR_NC_072402_2_71955550_71955898_frame_3_fft	1	1	0.198276	92.181	5
SCFR_NC_072402_2_871001_871969_frame2_fft	2	2	0.091942;0.183884	135.656;134.449	11;5
SCFR_NC_072402_2_1883073_1884617_frame3_fft	9	3	0.040803;0.188472;0.431995	305.921;301.957;283.271	25;5;2
SCFR_NC_072403_2_13531873_13533685_frame2_fft	1	1	0.333333	408.198	3
SCFR_NC_072403_2_172100918_172101262_frame2_fft	2	2	0.066860;0.482558	103.675;95.283	15;2
SCFR_NC_072403_2_179038670_179038833_frame_2_fft	1	1	0.478528	60.859	2
SCFR_NC_072403_2_180129484_180130129_frame_3_fft	1	1	0.480620	151.605	2
SCFR_NC_072403_2_180121715_180122688_frame_2_fft	8	3	0.443988;0.405961;0.389517	184.744;166.106;152.124	2;2;3
SCFR_NC_072403_2_34214870_34215314_frame3_fft	1	1	0.333333	113.456	3
SCFR_NC_072403_2_37939404_37939976_frame3_fft	1	1	0.005245	113.270	191
SCFR_NC_072403_2_41014293_41014968_frame_1_fft	1	1	0.002963	122.990	338
SCFR_NC_072403_2_49394639_49395087_frame1_fft	2	2	0.491071;0.006696	132.037;123.540	2;150
SCFR_NC_072403_2_69358023_69358199_frame3_fft	1	1	0.017045	57.326	59
SCFR_NC_072404_2_10181955_10182971_frame3_fft	10	3	0.017717;0.035433;0.473425	294.777;221.546;189.812	56;28;2
SCFR_NC_072404_2_10729647_10730503_frame_2_fft	2	2	0.026869;0.081776	155.082;147.294	37;12
SCFR_NC_072404_2_110141123_110141414_frame3_fft	1	1	0.333333	76.562	3
SCFR_NC_072404_2_112040654_112040910_frame_3_fft	3	3	0.449219;0.199219;0.148438	91.133;77.170;76.922	2;5;7
SCFR_NC_072404_2_137713073_137713302_frame_3_fft	1	1	0.248908	99.765	4
SCFR_NC_072404_2_143030201_143030999_frame_3_fft	2	2	0.250627;0.253133	285.251;150.246	4;4
SCFR_NC_072404_2_137713073_137713674_frame_3_fft	1	1	0.251248	125.456	4
SCFR_NC_072404_2_147555243_147555756_frame_2_fft	2	2	0.495127;0.009747	186.089;110.836	2;103
SCFR_NC_072404_2_150302020_150302671_frame2_fft	1	1	0.333333	144.310	3
SCFR_NC_072404_2_153210404_153210831_frame_3_fft	1	1	0.007026	105.207	143
SCFR_NC_072404_2_157692232_157692450_frame1_fft	1	1	0.486239	71.705	2
SCFR_NC_072404_2_166017664_166017902_frame3_fft	1	1	0.071429	68.169	14
SCFR_NC_072404_2_11955760_11957511_frame1_fft	12	3	0.071388;0.428327;0.464306	350.215;295.106;264.604	14;2;2
SCFR_NC_072404_2_110482352_110484883_frame2_fft	4	3	0.333465;0.019755;0.254840	612.854;307.415;254.705	3;51;4
SCFR_NC_072404_2_169803325_169803485_frame3_fft	1	1	0.012500	56.855	80
SCFR_NC_072404_2_110480529_110484883_frame2_fft	24	3	0.333257;0.392283;0.411805	889.962;585.703;569.433	3;3;2
SCFR_NC_072404_2_173366099_173366198_frame_3_fft	1	1	0.474747	43.294	2
SCFR_NC_072404_2_110586478_110591907_frame1_fft	38	3	0.333395;0.401179;0.265611	1493.768;1002.909;867.329	3;2;4
SCFR_NC_072404_2_174052427_174052761_frame1_fft	1	1	0.470060	86.549	2
