SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_072402_2_174149379_174149563_frame6_fft	1	1	0.250000	70.086	4
SCFR_NC_072403_2_36908140_36908471_frame3_fft	3	3	0.332326;0.099698;0.432024	127.416;110.496;91.638	3;10;2
SCFR_NC_072403_2_36908590_36909164_frame4_fft	4	3	0.332753;0.099303;0.398955	194.753;157.636;119.221	3;10;3
SCFR_NC_072404_2_110461626_110461933_frame2_fft	1	1	0.332248	80.206	3
SCFR_NC_072404_2_110583115_110583647_frame2_fft	2	2	0.265038;0.332707	130.550;128.551	4;3
SCFR_NC_072404_2_27250907_27251328_frame2_fft	1	1	0.004751	143.727	211
SCFR_NC_072407_2_5346033_5346241_frame31_fft	1	1	0.331731	67.556	3
SCFR_NC_072407_2_5870856_5871082_frame2_fft	2	2	0.331858;0.265487	97.039;75.223	3;4
SCFR_NC_072407_2_5893058_5893296_frame2_fft	2	2	0.331933;0.138655	106.648;75.630	3;7
SCFR_NC_072407_2_5350474_5350889_frame33_fft	2	2	0.332530;0.159036	133.086;107.535	3;6
SCFR_NC_072407_2_5507638_5508158_frame32_fft	3	3	0.100000;0.450000;0.200000	121.816;112.773;103.629	10;2;5
SCFR_NC_072407_2_73540439_73540635_frame2_fft	3	3	0.066327;0.102041;0.331633	78.188;66.135;62.585	15;10;3
SCFR_NC_072408_2_139519999_139520330_frame2_fft	1	1	0.154079	78.995	7
SCFR_NC_072408_2_138762752_138763509_frame23_fft	7	3	0.187583;0.093791;0.154557	162.552;156.792;150.077	5;11;6
SCFR_NC_072408_2_18496399_18496961_frame4_fft	8	3	0.332740;0.268683;0.032028	151.381;128.497;121.055	3;4;31
SCFR_NC_072408_2_55385512_55385813_frame58_fft	3	3	0.332226;0.232558;0.132890	99.626;89.014;87.113	3;4;8
SCFR_NC_072410_2_114195295_114195686_frame3_fft	1	1	0.427110	88.592	2
SCFR_NC_072410_2_79501548_79502062_frame2_fft	1	1	0.007782	101.234	129
SCFR_NC_072414_2_65846458_65846747_frame11_fft	1	1	0.332180	129.597	3
SCFR_NC_072415_2_16210598_16210995_frame2_fft	1	1	0.052897	112.914	19
SCFR_NC_072416_2_18329884_18330497_frame17_fft	1	1	0.156607	106.702	6
SCFR_NC_072416_2_65334409_65334608_frame20_fft	1	1	0.180905	62.621	6
SCFR_NC_072417_2_14459777_14460327_frame14_fft	7	3	0.314545;0.170909;0.370909	210.607;151.690;142.398	3;6;3
SCFR_NC_072417_2_22918208_22918413_frame3_fft	1	1	0.009756	65.423	103
SCFR_NC_072417_2_70377916_70378241_frame3_fft	1	1	0.015385	85.740	65
SCFR_NC_072415_2_16210598_16210995_frame3_fft	1	1	0.052897	112.914	19
SCFR_NC_072418_2_11739024_11739898_frame4_fft	1	1	0.332952	139.531	3
SCFR_NC_072418_2_54193079_54193476_frame7_fft	2	2	0.136020;0.027708	107.408;91.468	7;36
SCFR_NC_072418_2_6282585_6283528_frame4_fft	7	3	0.065748;0.088017;0.153765	217.346;209.056;179.073	15;11;7
SCFR_NC_072419_2_39292792_39293183_frame3_fft	1	1	0.332481	99.236	3
SCFR_NC_072420_2_31449667_31449839_frame2_fft	2	2	0.331395;0.168605	72.804;65.183	3;6
SCFR_NC_072420_2_44019878_44020473_frame5_fft	10	3	0.255462;0.139496;0.465546	147.198;142.950;134.105	4;7;2
SCFR_NC_072421_2_70815255_70815484_frame4_fft	1	1	0.026201	77.636	38
SCFR_NC_072418_2_3913457_3914492_frame10_fft	2	2	0.038647;0.230918	150.965;148.330	26;4
SCFR_NC_086015_1_198969008_198975873_frame3_fft	23	3	0.333285;0.104151;0.041661	1722.169;1667.991;1656.075	3;10;24
