Region	Window_Size	Chromosome	SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods	Metric
without_coding_region	5000	NC_073235.2	SCFR_NC_073235_2_4143_10227_frame_1_fft	8	3	0.166667;0.333498;0.333169	4152.773;1119.678;1115.900	6;3;3	0.22499137544806166
without_coding_region	5000	NC_073235.2	SCFR_NC_073235_2_4144_10228_frame2_fft	8	3	0.166667;0.333498;0.333169	4154.108;1118.385;1115.619	6;3;3	0.22495246567013852
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_1344_7659_frame1_fft	2	2	0.166746;0.333333	3395.819;1924.490	6;3	0.22700472099346108
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_145892002_145897231_frame_1_fft	7	3	0.166762;0.333333;0.167145	2739.292;1109.786;963.054	6;3;6	0.205253673438717
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_145892003_145897232_frame3_fft	7	3	0.166762;0.333333;0.167145	2740.480;1110.663;963.447	6;3;6	0.20526439517258996
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_1343_7652_frame_3_fft	2	2	0.166746;0.333333	3393.846;1923.685	6;3	0.22701098258214195
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18521804_18540476_frame3_fft	8	3	0.176467;0.352935;0.470598	12491.250;7024.552;5562.266	6;3;2	0.2911346651160688
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18533254_18539218_frame2_fft	8	3	0.176392;0.352951;0.058853	2697.654;2283.779;1580.823	6;3;17	0.20952289002684443
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18541138_18553663_frame2_fft	8	3	0.176447;0.470579;0.352974	7024.712;3674.694;3613.477	6;2;3	0.29652912112032215
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18541485_18554649_frame1_fft	8	3	0.176466;0.352932;0.470602	8797.616;4961.356;3939.718	6;3;2	0.29140804043033697
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18556250_18567926_frame3_fft	8	3	0.176430;0.352946;0.058839	5269.255;4467.188;3140.398	6;3;17	0.2089882660988048
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18561393_18566553_frame1_fft	8	3	0.176550;0.352907;0.470543	2575.910;1883.608;1466.220	6;3;2	0.30535182561496976
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18566688_18573552_frame1_fft	14	3	0.176428;0.352855;0.058712	4381.600;2099.309;1591.142	6;3;17	0.19910772752786127
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18569653_18579052_frame2_fft	17	3	0.176402;0.352910;0.470688	5055.635;2628.471;1956.212	6;3;2	0.2842440819624415
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18461034_18586215_frame_2_fft	119	3	0.176472;0.352937;0.176449	62188.702;25779.636;21809.810	6;3;6	0.2179074033473948
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18571505_18577094_frame3_fft	15	3	0.176418;0.352836;0.058687	3608.139;1785.566;1316.506	6;3;17	0.20026410777544848
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18573687_18581553_frame1_fft	21	3	0.176456;0.352784;0.470633	3297.079;2515.287;1470.739	6;3;2	0.29675813939507945
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18577229_18582389_frame3_fft	15	3	0.176357;0.352713;0.470930	3281.893;1594.244;982.569	6;3;2	0.2737492898505233
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18581556_18597183_frame1_fft	53	3	0.176361;0.352787;0.470852	8807.629;4096.769;3812.834	6;3;2	0.28676335997729774
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18586219_18594598_frame2_fft	28	3	0.176393;0.352787;0.470820	5409.954;2727.571;1809.132	6;3;2	0.2783151298510646
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18592775_18616097_frame3_fft	64	3	0.176400;0.352757;0.470843	10493.242;7459.076;4084.400	6;3;2	0.29066761713482014
without_coding_region	5000	NC_073236.2	SCFR_NC_073236_2_18599545_18604894_frame2_fft	18	3	0.176295;0.352776;0.470929	2334.205;1856.950;957.078	6;3;2	0.2947247821023252
