frame,chromosome,shadow_start,shadow_end,strand,sequence_length,GC_percent,AT_percent,GC_stretch
-2,NC_072373.2,100003031,100003037,-,6,50.0,50.0,3.72727272727273
-3,NC_072373.2,100005778,100005796,-,18,38.889,61.111,3.63636363636364
-3,NC_072373.2,100016893,100016906,-,13,15.385,84.615,4.28571428571429
-1,NC_072373.2,100018902,100018926,-,24,37.5,62.5,3.0
-3,NC_072373.2,100019971,100019996,-,25,20.0,80.0,3.75
-1,NC_072373.2,100021296,100021317,-,21,33.333,66.667,3.0
-3,NC_072373.2,100022191,100022245,-,54,27.778,72.222,3.88888888888889
-2,NC_072373.2,100045562,100045564,-,2,50.0,50.0,3.0
-2,NC_072373.2,100098248,100098263,-,15,60.0,40.0,4.0
-3,NC_072373.2,100113922,100113938,-,16,50.0,50.0,3.0
-1,NC_072373.2,100116543,100116651,-,108,51.852,48.148,3.76470588235294
-1,NC_072373.2,100116543,100116641,-,98,51.02,48.98,4.3
-3,NC_072373.2,100116952,100117006,-,54,51.852,48.148,3.66666666666667
-3,NC_072373.2,100118602,100118604,-,2,100.0,0.0,5.0
-2,NC_072373.2,100118888,100118890,-,2,50.0,50.0,3.0
-3,NC_072373.2,100119673,100119700,-,27,55.556,44.444,3.9
-3,NC_072373.2,100122634,100122643,-,9,33.333,66.667,3.53333333333333
-3,NC_072373.2,100124788,100124790,-,2,50.0,50.0,3.46666666666667
-2,NC_072373.2,100127882,100127922,-,40,35.0,65.0,3.60869565217391
-2,NC_072373.2,100129943,100129945,-,2,100.0,0.0,3.81818181818182
-1,NC_072373.2,100130301,100130377,-,76,38.158,61.842,4.0
-3,NC_072373.2,100133590,100133600,-,10,30.0,70.0,3.53333333333333
-3,NC_072373.2,100133590,100133600,-,10,30.0,70.0,3.66666666666667
-2,NC_072373.2,100136060,100136184,-,124,39.516,60.484,3.0
-1,NC_072373.2,100136883,100136976,-,93,43.011,56.989,3.0
-2,NC_072373.2,100167728,100167730,-,2,100.0,0.0,3.25
-3,NC_072373.2,100177453,100177463,-,10,40.0,60.0,3.2
-1,NC_072373.2,100177665,100177667,-,2,100.0,0.0,5.0
-1,NC_072373.2,100178235,100178295,-,60,40.0,60.0,4.33333333333333
-1,NC_072373.2,100178526,100178542,-,16,43.75,56.25,3.91666666666667
-1,NC_072373.2,100178526,100178542,-,16,43.75,56.25,3.0
2,NC_072373.2,100180506,100180507,+,1,100.0,0.0,3.53846153846154
3,NC_072373.2,100184770,100184777,+,7,42.857,57.143,5.25
-1,NC_072373.2,100185567,100185574,-,7,42.857,57.143,3.66666666666667
-1,NC_072373.2,100186398,100186417,-,19,47.368,52.632,3.0
