SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_073249_2_11670227_11670443_frame_2_fft	1	1	0.245370	84.544	4
SCFR_NC_073249_2_124017631_124017686_frame2_fft	1	1	0.327273	33.436	3
SCFR_NC_073249_2_13114495_13114835_frame2_fft	1	1	0.011765	81.688	85
SCFR_NC_073249_2_133670789_133670943_frame3_fft	1	1	0.324675	52.789	3
SCFR_NC_073249_2_16010790_16010993_frame1_fft	1	1	0.009852	64.915	102
SCFR_NC_073249_2_189145_189476_frame2_fft	1	1	0.006042	80.875	166
SCFR_NC_073249_2_191989956_191990242_frame1_fft	1	1	0.006993	76.095	144
SCFR_NC_073249_2_195399852_195400055_frame_2_fft	1	1	0.152709	63.692	7
SCFR_NC_073249_2_205045983_205046591_frame1_fft	1	1	0.493421	128.313	2
SCFR_NC_073249_2_210789936_210790439_frame1_fft	1	1	0.093439	107.131	11
SCFR_NC_073249_2_21205107_21205363_frame1_fft	1	1	0.035156	71.793	29
SCFR_NC_073249_2_21205107_21205360_frame1_fft	1	1	0.035573	69.521	28
SCFR_NC_073249_2_21266210_21266782_frame_3_fft	1	1	0.489510	108.574	2
SCFR_NC_073249_2_21760404_21760795_frame_3_fft	1	1	0.046036	117.447	22
SCFR_NC_073249_2_21858427_21858694_frame_3_fft	1	1	0.310861	71.219	3
SCFR_NC_073249_2_21858382_21858694_frame_3_fft	1	1	0.310897	78.314	3
SCFR_NC_073249_2_221741368_221741843_frame2_fft	1	1	0.029474	94.821	34
SCFR_NC_073249_2_224587351_224587463_frame_2_fft	1	1	0.410714	47.124	2
SCFR_NC_073249_2_224902238_224902704_frame_1_fft	1	1	0.495708	119.864	2
SCFR_NC_073249_2_224815179_224816048_frame1_fft	2	2	0.156502;0.039125	139.953;135.554	6;26
SCFR_NC_073249_2_227232337_227232766_frame_3_fft	1	1	0.004662	109.657	215
SCFR_NC_073249_2_227298091_227298771_frame_1_fft	4	3	0.154412;0.394118;0.366176	153.519;140.351;118.562	6;3;3
SCFR_NC_073249_2_227298091_227299144_frame_3_fft	6	3	0.394112;0.364672;0.029440	251.386;199.198;178.505	3;3;34
SCFR_NC_073249_2_24013960_24014775_frame2_fft	1	1	0.333742	161.662	3
SCFR_NC_073249_2_226355803_226356604_frame2_fft	1	1	0.063670	130.517	16
SCFR_NC_073249_2_25612638_25612954_frame_3_fft	1	1	0.300633	107.602	3
SCFR_NC_073249_2_226797002_226798853_frame_2_fft	7	3	0.183144;0.256078;0.402485	335.007;289.689;262.564	5;4;2
SCFR_NC_073249_2_222114864_222118022_frame1_fft	11	3	0.263141;0.260608;0.256175	530.803;406.448;346.415	4;4;4
SCFR_NC_073249_2_42038606_42039270_frame_1_fft	1	1	0.332831	156.432	3
SCFR_NC_073249_2_43384137_43384795_frame1_fft	3	3	0.221884;0.110942;0.332827	246.853;202.532;193.443	5;9;3
SCFR_NC_073249_2_5084960_5085345_frame_1_fft	1	1	0.332468	91.065	3
SCFR_NC_073249_2_76255133_76255559_frame_2_fft	1	1	0.183099	89.104	5
SCFR_NC_073249_2_93414393_93414529_frame1_fft	1	1	0.014706	56.790	68
SCFR_NC_073249_2_93710041_93710301_frame_1_fft	1	1	0.334615	73.553	3
SCFR_NC_073249_2_94651947_94653097_frame1_fft	6	3	0.116522;0.166957;0.333043	244.876;230.320;212.010	9;6;3
SCFR_NC_073249_2_94651799_94653024_frame3_fft	5	3	0.166531;0.333061;0.116735	283.437;254.377;239.831	6;3;9
SCFR_NC_073249_2_96225637_96225854_frame2_fft	1	1	0.009217	72.649	109
SCFR_NC_073249_2_96842523_96842935_frame_3_fft	3	3	0.291262;0.208738;0.126214	115.531;109.079;99.676	3;5;8
