chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_073249.2	103242122	103242722	-2	1	-	NC_073249.2	103242470	103242603	103242249	103242286	PIAS3	XM_003806201.7	-	2	103242286	103242470	183	1
NC_073249.2	113385288	113386134	-1	1	-	NC_073249.2	113385635	113385811	113385324	113385496	LOC134730803	XM_063606285.1	-	1	113385496	113385635	138	1
NC_073249.2	113390318	113391164	-2	1	-	NC_073249.2	113390665	113390841	113390354	113390526	LOC134730803	XM_063606285.1	-	2	113390526	113390665	138	1
NC_073249.2	113853442	113854288	-3	1	-	NC_073249.2	113853789	113853965	113853478	113853650	LOC129394614	XM_063606287.1	-	3	113853650	113853789	138	1
NC_073249.2	113858472	113859318	-1	1	-	NC_073249.2	113858819	113858995	113858508	113858680	LOC129394614	XM_063606287.1	-	1	113858680	113858819	138	1
NC_073249.2	114325482	114325914	1	1	+	NC_073249.2	114325522	114325629	114325762	114325913	PPM1J	XM_008963061.5	+	1	114325629	114325762	132	1
NC_073249.2	117130146	117130506	-1	1	-	NC_073249.2	117130489	117130503	117130246	117130368	CSF1	XM_063599449.1	-	1	117130368	117130489	120	1
NC_073249.2	117374324	117374816	-2	1	-	NC_073249.2	117374580	117374675	117374379	117374489	LOC129398196	XM_055114800.2	-	2	117374489	117374580	90	1
NC_073249.2	117578767	117579613	2	1	+	NC_073249.2	117579091	117579267	117579406	117579578	LOC117974945	XM_063606467.1	+	2	117579267	117579406	138	1
NC_073249.2	117583797	117584637	1	1	+	NC_073249.2	117584115	117584291	117584430	117584602	LOC117974945	XM_063606467.1	+	1	117584291	117584430	138	1
NC_073249.2	117588821	117589661	3	1	+	NC_073249.2	117589139	117589315	117589454	117589626	LOC117974945	XM_063606467.1	+	3	117589315	117589454	138	1
NC_073249.2	117636069	117636621	-1	1	-	NC_073249.2	117636553	117636588	117636204	117636279	LOC129398196	XM_055114800.2	-	1	117636279	117636553	273	1
NC_073249.2	117645383	117645971	-2	1	-	NC_073249.2	117645747	117645842	117645546	117645656	GSTM4	NM_001367587.1	-	2	117645656	117645747	90	2
NC_073249.2	118030357	118031215	-3	1	-	NC_073249.2	118031002	118031196	118030693	118030863	CELSR2	XM_034932778.3	-	3	118030863	118031002	138	4
NC_073249.2	118030357	118031215	-3	1	-	NC_073249.2	118030693	118030863	118030359	118030611	CELSR2	XM_034932778.3	-	3	118030611	118030693	81	2
NC_073249.2	118030357	118031215	-3	1	-	NC_073249.2	118030693	118030863	118030359	118030593	CELSR2	XM_034932786.4	-	3	118030593	118030693	99	2
NC_073249.2	118032276	118032747	-1	1	-	NC_073249.2	118032517	118032643	118032307	118032429	CELSR2	XM_034932778.3	-	1	118032429	118032517	87	4
NC_073249.2	155806923	155807196	1	1	+	NC_073249.2	155806935	155806987	155807078	155807186	ZRANB2	XM_003830602.5	+	1	155806987	155807078	90	1
NC_073249.2	172026353	172027229	-2	1	-	NC_073249.2	172026867	172027031	172026546	172026668	CIMAP2	XM_003814987.4	-	2	172026668	172026867	198	2
NC_073249.2	172605142	172605829	2	1	+	NC_073249.2	172605344	172605422	172605693	172605721	SSBP3	XM_034965692.3	+	2	172605422	172605693	270	9
NC_073249.2	174497340	174497970	1	1	+	NC_073249.2	174497401	174497459	174497541	174497657	CC2D1B	XM_008967916.4	+	1	174497459	174497541	81	11
NC_073249.2	174499139	174499505	3	1	+	NC_073249.2	174499148	174499238	174499392	174499481	CC2D1B	XM_008967916.4	+	3	174499238	174499392	153	5
NC_073249.2	178595660	178596137	-2	1	-	NC_073249.2	178596024	178596098	178595742	178595906	SLC5A9	XM_063601241.1	-	2	178595906	178596024	117	1
NC_073249.2	180402254	180402845	-2	1	-	NC_073249.2	180402566	180402606	180402276	180402400	FAAH	XM_008965209.4	-	2	180402400	180402566	165	1
NC_073249.2	180612658	180613009	2	1	+	NC_073249.2	180612709	180612781	180612863	180612991	POMGNT1	XM_034964100.3	+	2	180612781	180612863	81	5
NC_073249.2	181187889	181188555	1	1	+	NC_073249.2	181188197	181188315	181188457	181188554	CCDC17	XM_003812760.7	+	1	181188315	181188457	141	3
