SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_060925_1_10827326_10827722_frame3_fft	1	1	0.333333	107.858	3
SCFR_NC_060925_1_11067760_11068039_frame2_fft	1	1	0.100358	85.769	10
SCFR_NC_060925_1_114689117_114689373_frame_2_fft	1	1	0.250000	81.682	4
SCFR_NC_060925_1_14504321_14504537_frame3_fft	1	1	0.018519	64.275	54
SCFR_NC_060925_1_14828503_14828730_frame1_fft	1	1	0.493392	73.444	2
SCFR_NC_060925_1_14890463_14890846_frame2_fft	1	1	0.250653	187.879	4
SCFR_NC_060925_1_14890463_14890859_frame3_fft	1	1	0.250000	203.889	4
SCFR_NC_060925_1_150954097_150954433_frame_3_fft	1	1	0.005952	90.345	168
SCFR_NC_060925_1_1510286_1510624_frame2_fft	1	1	0.005917	91.973	170
SCFR_NC_060925_1_151941675_151941986_frame_1_fft	1	1	0.334405	89.594	3
SCFR_NC_060925_1_155620829_155621010_frame_2_fft	1	1	0.491713	66.998	2
SCFR_NC_060925_1_15574069_15574588_frame_3_fft	3	3	0.092486;0.138728;0.394990	128.749;107.749;101.376	11;7;3
SCFR_NC_060925_1_159330924_159331140_frame1_fft	1	1	0.467593	67.918	2
SCFR_NC_060925_1_160185224_160186496_frame_2_fft	1	1	0.333333	207.145	3
SCFR_NC_060925_1_154327745_154330746_frame_2_fft	25	3	0.116628;0.166611;0.333222	809.216;795.832;595.946	9;6;3
SCFR_NC_060925_1_166786192_166786823_frame_3_fft	5	3	0.244057;0.080824;0.270998	184.133;183.322;159.481	4;12;4
SCFR_NC_060925_1_16756849_16757401_frame2_fft	1	1	0.333333	107.538	3
SCFR_NC_060925_1_171140513_171141137_frame3_fft	1	1	0.333333	114.780	3
SCFR_NC_060925_1_1716647_1716806_frame3_fft	1	1	0.069182	57.429	15
SCFR_NC_060925_1_1716429_1716806_frame3_fft	1	1	0.421751	94.331	2
SCFR_NC_060925_1_1717229_1717519_frame2_fft	2	2	0.068966;0.372414	84.837;79.586	15;3
SCFR_NC_060925_1_1717769_1717974_frame1_fft	1	1	0.068293	65.943	15
SCFR_NC_060925_1_171946023_171947026_frame2_fft	1	1	0.333001	147.270	3
SCFR_NC_060925_1_1718071_1718385_frame1_fft	1	1	0.070064	94.888	14
SCFR_NC_060925_1_1717229_1718090_frame3_fft	5	3	0.046458;0.419280;0.487805	223.886;197.428;191.860	22;2;2
SCFR_NC_060925_1_154327745_154330471_frame_2_fft	26	3	0.116654;0.166544;0.383346	763.708;645.274;569.084	9;6;3
SCFR_NC_060925_1_199874512_199875475_frame_3_fft	1	1	0.333333	165.774	3
SCFR_NC_060925_1_200463068_200470914_frame1_fft	18	3	0.333291;0.092531;0.166709	938.928;789.821;768.762	3;11;6
SCFR_NC_060925_1_202762704_202763763_frame1_fft	4	3	0.315392;0.312559;0.318225	213.507;180.751;156.865	3;3;3
SCFR_NC_060925_1_2033836_2034299_frame_3_fft	3	3	0.347732;0.043197;0.390929	123.341;110.948;106.298	3;23;3
SCFR_NC_060925_1_206602114_206602827_frame1_fft	1	1	0.333801	130.404	3
SCFR_NC_060925_1_227468248_227468541_frame1_fft	1	1	0.177474	81.292	6
SCFR_NC_060925_1_227508060_227508411_frame1_fft	2	2	0.253561;0.259259	137.127;96.962	4;4
SCFR_NC_060925_1_228022035_228023374_frame_1_fft	1	1	0.495146	182.153	2
SCFR_NC_060925_1_230545954_230546958_frame1_fft	1	1	0.328685	150.560	3
