frame,chromosome,shadow_start,shadow_end,strand,sequence_length,GC_percent,AT_percent
-2,NC_073249.2,100006877,100006988,-,111,57.658,42.342
2,NC_073249.2,100027204,100027232,+,28,39.286,60.714
3,NC_073249.2,100035590,100035602,+,12,41.667,58.333
2,NC_073249.2,100045414,100045450,+,36,44.444,55.556
-3,NC_073249.2,100048299,100048426,-,127,47.244,52.756
-1,NC_073249.2,100049480,100049598,-,118,49.153,50.847
-3,NC_073249.2,100051149,100051330,-,181,44.199,55.801
-1,NC_073249.2,100055501,100055532,-,31,29.032,70.968
-1,NC_073249.2,100055498,100055532,-,34,29.412,70.588
2,NC_073249.2,100056157,100056241,+,84,33.333,66.667
-2,NC_073249.2,100056331,100056341,-,10,50.0,50.0
-3,NC_073249.2,100056757,100056877,-,120,44.167,55.833
2,NC_073249.2,100083148,100083196,+,48,27.083,72.917
2,NC_073249.2,100109899,100110005,+,106,38.679,61.321
3,NC_073249.2,100111265,100111279,+,14,28.571,71.429
1,NC_073249.2,100112457,100112490,+,33,33.333,66.667
1,NC_073249.2,100116417,100116458,+,41,46.341,53.659
2,NC_073249.2,100119352,100119444,+,92,42.391,57.609
-1,NC_073249.2,100135032,100135137,-,105,58.095,41.905
-3,NC_073249.2,100174440,100174453,-,13,38.462,61.538
-1,NC_073249.2,100179280,100179507,-,227,44.053,55.947
-2,NC_073249.2,100182007,100182032,-,25,52.0,48.0
-1,NC_073249.2,100184424,100184487,-,63,39.683,60.317
-3,NC_073249.2,1004401,1004410,-,9,66.667,33.333
2,NC_073249.2,10069864,10069871,+,7,42.857,57.143
1,NC_073249.2,10112385,10112491,+,106,45.283,54.717
1,NC_073249.2,101223615,101224189,+,574,76.307,23.693
2,NC_073249.2,101224960,101224983,+,23,52.174,47.826
3,NC_073249.2,101225048,101225085,+,37,51.351,48.649
1,NC_073249.2,101225259,101225547,+,288,63.194,36.806
3,NC_073249.2,101225450,101225547,+,97,60.825,39.175
3,NC_073249.2,101225450,101225547,+,97,60.825,39.175
1,NC_073249.2,101227119,101227187,+,68,32.353,67.647
1,NC_073249.2,101227119,101227135,+,16,43.75,56.25
2,NC_073249.2,101227138,101227187,+,49,28.571,71.429
2,NC_073249.2,101227651,101227669,+,18,38.889,61.111
2,NC_073249.2,101227651,101227674,+,23,34.783,65.217
3,NC_073249.2,101229251,101229366,+,115,39.13,60.87
2,NC_073249.2,101230069,101230130,+,61,49.18,50.82
2,NC_073249.2,101230069,101230133,+,64,50.0,50.0
2,NC_073249.2,101230612,101230699,+,87,56.322,43.678
1,NC_073249.2,101232612,101232756,+,144,59.722,40.278
3,NC_073249.2,101235080,101235201,+,121,60.331,39.669
3,NC_073249.2,101235773,101235855,+,82,56.098,43.902
2,NC_073249.2,101237026,101237148,+,122,59.836,40.164
3,NC_073249.2,101238251,101238529,+,278,56.115,43.885
1,NC_073249.2,101240733,101240823,+,90,67.778,32.222
1,NC_073249.2,101245377,101245402,+,25,32.0,68.0
3,NC_073249.2,101246306,101246391,+,85,40.0,60.0
3,NC_073249.2,101251352,101251402,+,50,64.0,36.0
3,NC_073249.2,101252327,101252416,+,89,57.303,42.697
1,NC_073249.2,101256216,101256332,+,116,62.069,37.931
3,NC_073249.2,101256572,101256600,+,28,60.714,39.286
