SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_060925_1_102854838_102854886_frame_1_fft	1	1	0.333333	30.840	3
SCFR_NC_060925_1_152745411_152745627_frame_1_fft	1	1	0.009259	70.837	108
SCFR_NC_060925_1_152795456_152796009_frame3_fft	1	1	0.003617	118.104	277
SCFR_NC_060925_1_152907123_152907452_frame1_fft	1	1	0.483283	79.480	2
SCFR_NC_060925_1_154334689_154335048_frame_1_fft	1	1	0.008357	104.079	120
SCFR_NC_060925_1_154328232_154330883_frame_2_fft	24	3	0.166730;0.116560;0.383252	745.178;725.699;556.603	6;9;3
SCFR_NC_060925_1_154327828_154330735_frame_3_fft	25	3	0.116615;0.333333;0.166495	800.524;695.200;584.516	9;3;6
SCFR_NC_060925_1_155192167_155192857_frame_3_fft	1	1	0.002899	125.170	346
SCFR_NC_060925_1_155274401_155274662_frame3_fft	1	1	0.333333	71.461	3
SCFR_NC_060925_1_15573847_15574523_frame_2_fft	2	2	0.093195;0.139053	189.174;134.593	11;7
SCFR_NC_060925_1_155273217_155273635_frame1_fft	1	1	0.332536	91.352	3
SCFR_NC_060925_1_160185862_160186862_frame_2_fft	1	1	0.333000	198.986	3
SCFR_NC_060925_1_154327847_154330883_frame_2_fft	24	3	0.166667;0.116601;0.333333	823.977;801.896;716.419	6;9;3
SCFR_NC_060925_1_1716809_1717557_frame3_fft	5	3	0.046791;0.069519;0.300802	177.503;171.739;157.375	21;14;3
SCFR_NC_060925_1_1717371_1717597_frame1_fft	1	1	0.420354	68.164	2
SCFR_NC_060925_1_1716809_1717597_frame3_fft	4	3	0.069797;0.045685;0.300761	175.044;160.427;143.053	14;22;3
SCFR_NC_060925_1_1716809_1717041_frame3_fft	1	1	0.487069	81.109	2
SCFR_NC_060925_1_19501684_19501943_frame2_fft	1	1	0.166023	103.386	6
SCFR_NC_060925_1_1971393_1971673_frame_3_fft	1	1	0.332143	73.355	3
SCFR_NC_060925_1_199666402_199666931_frame_2_fft	1	1	0.003781	111.892	265
