without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_131622648_131629353_frame1_fft   28   3  0.470694;0.470395;0.470097  2205.699;1650.204;1505.773   2;2;2
without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_131623112_131629325_frame3_fft   32   3  0.470626;0.470143;0.177853  1936.680;1334.700;1034.984   2;2;6
without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_131622820_131629414_frame2_fft   29   3  0.470428;0.470731;0.470124  1883.384;1713.373;1428.576   2;2;2
without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_132290033_132296255_frame3_fft   27   3  0.022179;0.177756;0.155416  1342.693;1210.905;1140.810   45;6;6
without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_133004969_133010465_frame3_fft   8    3  0.053311;0.052766;0.105895  495.587;491.817;443.944      19;19;9
without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_133005018_133011888_frame_1_fft  11   3  0.053275;0.052693;0.105968  556.760;436.894;433.868      19;19;9
without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_133005142_133011970_frame_3_fft  10   3  0.053310;0.052724;0.105888  486.448;452.451;448.947      19;19;9
without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_133005175_133011940_frame2_fft   10   3  0.053215;0.052772;0.106282  555.852;429.558;412.493      19;19;9
without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_133005159_133010910_frame1_fft   9    3  0.053208;0.052686;0.105895  480.039;448.185;425.300      19;19;9
without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_133005146_133011884_frame_2_fft  8    3  0.053280;0.052686;0.105966  544.773;435.943;434.160      19;19;9
without_coding_region  5000   NC_060936.1  SCFR_NC_060936_1_2251543_2257381_frame2_fft       14   3  0.233299;0.166667;0.366735  1949.466;1901.511;1881.848   4;6;3
without_coding_region  5000   NC_060938.1  SCFR_NC_060938_1_9180175_9185392_frame_1_fft      9    3  0.400422;0.199348;0.200498  1359.879;1196.313;1080.027   2;5;5
without_coding_region  5000   NC_060938.1  SCFR_NC_060938_1_9191928_9197229_frame_2_fft      11   3  0.399925;0.200528;0.199585  1236.826;1230.044;1132.211   3;5;5
without_coding_region  5000   NC_060938.1  SCFR_NC_060938_1_1281710_1287200_frame3_fft       19   3  0.428597;0.452459;0.166667  1946.013;1235.559;1221.734   2;2;6
without_coding_region  5000   NC_060938.1  SCFR_NC_060938_1_99472982_99484097_frame3_fft     49   3  0.264687;0.362753;0.343140  2660.607;2487.754;2438.692   4;3;3
without_coding_region  5000   NC_060941.1  SCFR_NC_060941_1_6088040_6094049_frame_2_fft      10   3  0.333333;0.066733;0.400067  3637.430;437.780;429.826     3;15;2
without_coding_region  5000   NC_060941.1  SCFR_NC_060941_1_6087991_6094060_frame_3_fft      10   3  0.333333;0.066733;0.400560  3645.046;439.756;434.499     3;15;2
without_coding_region  5000   NC_060941.1  SCFR_NC_060941_1_6087832_6094120_frame2_fft       7    3  0.333333;0.400127;0.400604  3655.871;432.538;432.227     3;2;2
without_coding_region  5000   NC_060941.1  SCFR_NC_060941_1_6087888_6094167_frame_1_fft      10   3  0.333333;0.400541;0.066730  3655.062;449.750;443.253     3;2;15
without_coding_region  5000   NC_060941.1  SCFR_NC_060941_1_6088041_6094404_frame1_fft       8    3  0.333333;0.400440;0.066792  3649.318;434.630;432.355     3;2;15
without_coding_region  5000   NC_060941.1  SCFR_NC_060941_1_81645697_81650701_frame_3_fft    8    3  0.277778;0.333333;0.166667  2116.219;2087.492;1877.766   4;3;6
without_coding_region  5000   NC_060932.1  SCFR_NC_060932_1_144819682_144825631_frame2_fft   18   3  0.157842;0.342074;0.079005  1841.688;1719.588;1634.697   6;3;13
without_coding_region  5000   NC_060932.1  SCFR_NC_060932_1_145286249_145291868_frame3_fft   26   3  0.033458;0.067094;0.100552  2072.150;1259.151;872.922    30;15;10
without_coding_region  5000   NC_060932.1  SCFR_NC_060932_1_1969750_1975381_frame2_fft       15   3  0.266205;0.266738;0.265495  551.253;420.938;415.823      4;4;4
without_coding_region  5000   NC_060932.1  SCFR_NC_060932_1_1969757_1975385_frame3_fft       14   3  0.266169;0.265103;0.265636  539.554;457.782;427.302      4;4;4
without_coding_region  5000   NC_060932.1  SCFR_NC_060932_1_1969824_1975374_frame1_fft       16   3  0.265586;0.265045;0.266126  572.707;453.425;441.911      4;4;4
without_coding_region  5000   NC_060932.1  SCFR_NC_060932_1_1969802_1975421_frame_3_fft      15   3  0.265528;0.266240;0.266773  532.980;507.566;443.350      4;4;4
without_coding_region  5000   NC_060932.1  SCFR_NC_060932_1_1969830_1975482_frame_2_fft      13   3  0.265570;0.266277;0.265039  583.312;455.919;443.654      4;4;4
without_coding_region  5000   NC_060932.1  SCFR_NC_060932_1_1970125_1975417_frame_1_fft      15   3  0.266251;0.265117;0.263983  535.120;407.580;396.715      4;4;4
without_coding_region  5000   NC_060934.1  SCFR_NC_060934_1_1232284_1239049_frame2_fft       39   3  0.083222;0.041685;0.124908  2425.146;1797.988;1038.186   12;24;8
without_coding_region  5000   NC_060934.1  SCFR_NC_060934_1_1232409_1239024_frame1_fft       37   3  0.041572;0.083296;0.124868  2138.384;2003.338;1186.921   24;12;8
without_coding_region  5000   NC_060934.1  SCFR_NC_060934_1_131972550_131978775_frame_1_fft  28   3  0.042088;0.126908;0.084498  923.089;564.610;518.766      24;8;12
without_coding_region  5000   NC_060934.1  SCFR_NC_060934_1_1232489_1239410_frame3_fft       33   3  0.041612;0.083225;0.124837  2499.518;2447.355;1125.881   24;12;8
without_coding_region  5000   NC_060934.1  SCFR_NC_060934_1_131972693_131978090_frame_2_fft  30   3  0.042246;0.042616;0.126922  898.201;543.241;535.332      24;23;8
without_coding_region  5000   NC_060934.1  SCFR_NC_060934_1_134060783_134067989_frame_2_fft  20   3  0.285734;0.238135;0.380933  2182.163;1759.793;1688.918   4;4;3
