chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_073224.2	100263826	100264147	2	1	+	NC_073224.2	100263868	100263935	100264026	100264139	IQGAP3	XM_004026975.5	+	2	100263935	100264026	90	4
NC_073224.2	101203838	101204234	-3	1	-	NC_073224.2	101204061	101204203	101203861	101203970	LOC101134978	XM_031010757.3	-	3	101203970	101204061	90	2
NC_073224.2	101205300	101205687	-2	1	-	NC_073224.2	101205529	101205646	101205313	101205447	LOC101134978	XM_004026931.5	-	2	101205447	101205529	81	9
NC_073224.2	101499612	101500221	-2	1	-	NC_073224.2	101500144	101500221	101499904	101500038	FDPS	XM_004026919.5	-	2	101500038	101500144	105	6
NC_073224.2	101524215	101524761	1	1	+	NC_073224.2	101524283	101524374	101524471	101524602	PKLR	XM_004026915.4	+	1	101524374	101524471	96	1
NC_073224.2	101588295	101589084	-2	1	-	NC_073224.2	101588671	101588763	101588323	101588505	LOC115936258	XM_063694452.1	-	2	101588505	101588671	165	2
NC_073224.2	101588295	101589084	-2	1	-	NC_073224.2	101588671	101588706	101588323	101588505	LOC115936258	XM_063694454.1	-	2	101588505	101588671	165	2
NC_073224.2	101608915	101609704	-1	1	-	NC_073224.2	101609291	101609383	101608943	101609125	LOC101151730	XM_019023756.4	-	1	101609125	101609291	165	1
NC_073224.2	101729196	101729655	-2	1	-	NC_073224.2	101729538	101729615	101729197	101729324	EFNA3	XM_031010586.3	-	2	101729324	101729538	213	2
NC_073224.2	101769551	101769980	-3	1	-	NC_073224.2	101769831	101769930	101769603	101769698	DCST1	XM_004026857.4	-	3	101769698	101769831	132	3
NC_073224.2	101783962	101784622	2	1	+	NC_073224.2	101784015	101784212	101784552	101784617	DCST2	XM_004026859.3	+	2	101784212	101784552	339	1
NC_073224.2	101849984	101850746	3	1	+	NC_073224.2	101850077	101850275	101850363	101850432	SHC1	XM_004026832.4	+	3	101850275	101850363	87	17
NC_073224.2	101849984	101850746	3	1	+	NC_073224.2	101850363	101850432	101850517	101850648	SHC1	XM_004026832.4	+	3	101850432	101850517	84	9
NC_073224.2	101849984	101850746	3	1	+	NC_073224.2	101850363	101850432	101850514	101850648	SHC1	XM_019023254.3	+	3	101850432	101850514	81	8
NC_073224.2	101868760	101869423	2	1	+	NC_073224.2	101868960	101869030	101869124	101869255	PBXIP1	XM_004026845.5	+	2	101869030	101869124	93	4
NC_073224.2	102839248	102839698	-1	1	-	NC_073224.2	102839534	102839618	102839281	102839377	CREB3L4	XM_019023008.3	-	1	102839377	102839534	156	11
NC_073224.2	102872231	102872879	3	1	+	NC_073224.2	102872261	102872405	102872703	102872878	DENND4B	XM_019022962.3	+	3	102872405	102872703	297	7
NC_073224.2	102882211	102882577	2	1	+	NC_073224.2	102882239	102882280	102882446	102882577	DENND4B	XM_055359943.1	+	2	102882280	102882446	165	1
NC_073224.2	103039119	103039632	-2	1	-	NC_073224.2	103039306	103039462	103039120	103039194	INTS3	XM_004026758.5	-	2	103039194	103039306	111	2
NC_073224.2	104436844	104446375	2	1	+	NC_073224.2	104436878	104441061	104441287	104441771	FLG2	XM_063695066.1	+	2	104441061	104441287	225	1
NC_073224.2	104436844	104446375	2	1	+	NC_073224.2	104441287	104441771	104442444	104442668	FLG2	XM_063695066.1	+	2	104441771	104442444	672	1
NC_073224.2	104436844	104446375	2	1	+	NC_073224.2	104442444	104442668	104442894	104444543	FLG2	XM_063695066.1	+	2	104442668	104442894	225	1
NC_073224.2	104436844	104446375	2	1	+	NC_073224.2	104442894	104444543	104445672	104445824	FLG2	XM_063695066.1	+	2	104444543	104445672	1128	1
NC_073224.2	104436844	104446375	2	1	+	NC_073224.2	104445672	104445824	104446050	104446375	FLG2	XM_063695066.1	+	2	104445824	104446050	225	1
NC_073224.2	105118714	105119383	2	1	+	NC_073224.2	105118794	105118928	105119187	105119330	CELF3	XM_055359118.2	+	2	105118928	105119187	258	9
NC_073224.2	105118714	105119383	2	1	+	NC_073224.2	105118797	105118928	105119187	105119330	CELF3	XM_055359129.2	+	2	105118928	105119187	258	2
