SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_073249_2_226937112_226938409_frame10_fft	6	3	0.446415;0.339244;0.107170	477.910;220.702;219.299	2;3;9
SCFR_NC_073253_2_171609967_171610151_frame6_fft	1	1	0.250000	67.990	4
SCFR_NC_073255_2_26292122_26292540_frame2_fft	1	1	0.004785	141.104	210
SCFR_NC_073255_2_76816576_76816907_frame5_fft	1	1	0.429003	96.270	2
SCFR_NC_073256_2_15842659_15843008_frame2_fft	6	3	0.068768;0.343840;0.034384	122.124;114.302;112.066	15;3;29
SCFR_NC_073258_2_3661919_3662418_frame34_fft	1	1	0.332665	137.405	3
SCFR_NC_073258_2_3657587_3658044_frame32_fft	1	1	0.332604	134.245	3
SCFR_NC_073258_2_3665668_3666161_frame36_fft	1	1	0.332657	129.404	3
SCFR_NC_073258_2_3667373_3667950_frame37_fft	1	1	0.332756	146.123	3
SCFR_NC_073258_2_3663924_3665191_frame35_fft	2	2	0.333070;0.471981	321.095;164.967	3;2
SCFR_NC_073259_2_16820198_16820511_frame4_fft	1	1	0.332268	84.104	3
SCFR_NC_073259_2_140729109_140729722_frame2_fft	2	2	0.154976;0.189233	190.430;116.353	6;5
SCFR_NC_073260_2_88776933_88776976_frame3_fft	1	1	0.325581	29.852	3
SCFR_NC_073261_2_83192483_83192997_frame2_fft	1	1	0.007782	102.603	129
SCFR_NC_073265_2_63111556_63111821_frame11_fft	1	1	0.332075	115.829	3
SCFR_NC_073258_2_3605052_3605317_frame34_fft	1	1	0.332075	100.931	3
SCFR_NC_073258_2_3506402_3506901_frame32_fft	3	3	0.332665;0.290581;0.248497	175.529;130.816;119.792	3;3;4
SCFR_NC_073267_2_794796_795802_frame12_fft	3	3	0.048708;0.032803;0.146123	187.974;146.026;142.698	21;31;7
SCFR_NC_073267_2_98505925_98506187_frame19_fft	1	1	0.156489	75.832	6
SCFR_NC_073268_2_11552158_11552498_frame14_fft	2	2	0.314706;0.170588	119.461;94.739	3;6
SCFR_NC_073267_2_2692582_2693090_frame4_fft	2	2	0.019685;0.161417	130.601;113.826	51;6
SCFR_NC_073268_2_19918892_19919097_frame3_fft	1	1	0.009756	65.111	103
SCFR_NC_073269_2_13928151_13929025_frame4_fft	1	1	0.332952	140.965	3
SCFR_NC_073269_2_18859076_18859461_frame27_fft	2	2	0.166234;0.067532	99.386;96.229	6;15
SCFR_NC_073270_2_38772349_38772740_frame3_fft	1	1	0.332481	97.313	3
SCFR_NC_073258_2_3595259_3597399_frame32_fft	10	3	0.333178;0.041589;0.291589	841.670;474.849;462.460	3;24;3
SCFR_NC_073270_2_50941600_50942132_frame3_fft	1	1	0.167293	108.895	6
SCFR_NC_073258_2_3600419_3604605_frame33_fft	19	3	0.333254;0.374821;0.041567	952.301;852.646;586.648	3;3;24
SCFR_NC_073272_2_110049154_110049350_frame5_fft	1	1	0.025510	64.806	39
SCFR_NC_073272_2_154804_156008_frame5_fft	7	3	0.409468;0.436047;0.154485	331.039;313.996;271.662	2;2;6
SCFR_NC_073258_2_3420621_3429559_frame33_fft	50	3	0.333296;0.285858;0.361043	1658.085;892.878;760.534	3;3;3
SCFR_NC_073272_2_101090856_101091217_frame4_fft	2	2	0.166205;0.332410	213.137;155.229	6;3
SCFR_NC_073273_2_46830126_46831369_frame5_fft	8	3	0.409493;0.436042;0.154465	342.257;328.680;280.643	2;2;6
SCFR_NC_085926_1_185596094_185596464_frame7_fft	2	2	0.235135;0.467568	99.612;96.011	4;2
SCFR_NC_073269_2_8334825_8335633_frame4_fft	6	3	0.065594;0.153465;0.087871	192.847;177.605;177.041	15;7;11
SCFR_NC_073269_2_55280643_55282345_frame4_fft	5	3	0.133373;0.044653;0.132197	264.160;227.832;195.893	8;22;8
SCFR_NC_073271_2_39430972_39433631_frame5_fft	19	3	0.255735;0.139526;0.465212	761.894;697.631;660.013	4;7;2
SCFR_NC_073258_2_3429774_3431293_frame32_fft	1	1	0.333114	287.162	3
SCFR_NC_085926_1_193694288_193704102_frame2_fft	23	3	0.333299;0.041675;0.395863	2335.891;2238.749;2070.526	3;24;3
