Region	Window_Size	Chromosome	SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods	Metric
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_100272695_100277972_frame3_fft	17	3	0.468069;0.466932;0.465984	1519.312;870.890;825.850	2;2;2	0.46722569921381873
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_100272700_100277977_frame2_fft	18	3	0.468069;0.466932;0.465984	1521.485;871.568;824.735	2;2;2	0.4672266370814361
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_100272627_100278042_frame1_fft	18	3	0.467959;0.468329;0.467036	1773.732;911.996;728.125	2;2;2	0.46786098146932514
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_100272688_100277944_frame_1_fft	19	3	0.468037;0.466895;0.465944	1779.291;841.388;750.890	2;2;2	0.46728587259729815
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_111286591_111293272_frame_1_fft	5	3	0.166592;0.333333;0.167340	4529.096;1174.411;503.753	6;3;6	0.1982000318522182
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_14213300_14219129_frame3_fft	19	3	0.025733;0.381197;0.051467	1525.958;673.194;595.025	39;3;19	0.11685414421026298
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_111286592_111293273_frame3_fft	5	3	0.166592;0.333333;0.167340	4527.491;1174.391;505.403	6;3;6	0.19819956613801362
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_1950_7800_frame_2_fft	8	3	0.166667;0.333504;0.333162	3994.323;1077.052;1076.400	6;3;3	0.2250470387170969
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_14213353_14218849_frame2_fft	24	3	0.025655;0.026019;0.381186	1322.308;767.225;658.963	39;38;3	0.1109965992793877
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_1951_7801_frame2_fft	8	3	0.166667;0.333162;0.333504	3995.681;1076.146;1075.813	6;3;3	0.22500781724873287
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_4902_13503_frame1_fft	6	3	0.166725;0.333333;0.167074	5733.094;1878.174;966.294	6;3;6	0.2032454064276073
without_coding_region	5000	NC_072438.2	SCFR_NC_072438_2_4901_13502_frame_3_fft	6	3	0.166725;0.333333;0.167074	5734.476;1877.910;967.890	6;3;6	0.20322879345489583
