SCFR_NC_072423_2_100445698_100446334_frame2_fft	2	2	0.333333;0.165094	132.164;124.304	3;6
SCFR_NC_072423_2_101490967_101491349_frame_1_fft	1	1	0.332461	94.507	3
SCFR_NC_072423_2_111065544_111065993_frame3_fft	1	1	0.334076	128.030	3
SCFR_NC_072423_2_118275391_118276237_frame_1_fft	1	1	0.333333	128.872	3
SCFR_NC_072423_2_125541901_125542134_frame1_fft	1	1	0.334764	70.786	3
SCFR_NC_072423_2_149851660_149852086_frame2_fft	1	1	0.333333	117.239	3
SCFR_NC_072423_2_149851627_149852086_frame2_fft	1	1	0.333333	125.609	3
SCFR_NC_072423_2_62556457_62557396_frame_1_fft	1	1	0.333333	247.506	3
SCFR_NC_072423_2_65352387_65353185_frame_2_fft	1	1	0.333333	162.148	3
SCFR_NC_072423_2_78459682_78460620_frame1_fft	1	1	0.333689	229.081	3
SCFR_NC_072423_2_78459585_78460620_frame1_fft	1	1	0.333333	331.785	3
SCFR_NC_072423_2_93126267_93126765_frame1_fft	1	1	0.333333	99.190	3
SCFR_NC_072423_2_93537674_93538103_frame_3_fft	1	1	0.333333	89.934	3
SCFR_NC_072423_2_94423808_94424181_frame_3_fft	1	1	0.335121	95.223	3
SCFR_NC_072423_2_93323709_93323991_frame1_fft	1	1	0.336879	84.720	3
SCFR_NC_072423_2_96787110_96787314_frame_2_fft	1	1	0.333333	70.993	3
SCFR_NC_072423_2_96787110_96788176_frame_2_fft	1	1	0.333021	198.923	3
SCFR_NC_072423_2_96787110_96788090_frame_2_fft	1	1	0.333673	173.202	3
SCFR_NC_072423_2_94397574_94399428_frame1_fft	3	3	0.333333;0.132686;0.131607	345.468;303.494;222.023	3;8;8
SCFR_NC_072423_2_95406465_95407868_frame3_fft	1	1	0.333571	269.036	3
SCFR_NC_072424_2_10317087_10323864_frame1_fft	17	3	0.333333;0.316807;0.303084	735.161;726.055;575.683	3;3;3
SCFR_NC_072424_2_144596930_144598139_frame3_fft	1	1	0.333333	213.705	3
SCFR_NC_072424_2_52479065_52480574_frame_2_fft	1	1	0.333333	258.352	3
SCFR_NC_072425_2_108838953_108839376_frame1_fft	1	1	0.333333	106.432	3
SCFR_NC_072424_2_65957103_65958458_frame_1_fft	1	1	0.333579	299.487	3
SCFR_NC_072425_2_125377398_125380828_frame_3_fft	1	1	0.333236	319.372	3
SCFR_NC_072425_2_131871270_131872392_frame_3_fft	1	1	0.333333	266.742	3
SCFR_NC_072425_2_16646511_16646865_frame1_fft	1	1	0.333333	134.253	3
SCFR_NC_072425_2_32346128_32347088_frame_1_fft	1	1	0.333333	159.187	3
SCFR_NC_072425_2_38065562_38068263_frame_1_fft	1	1	0.333210	322.991	3
SCFR_NC_072425_2_13592074_13593679_frame_2_fft	1	1	0.333333	344.531	3
SCFR_NC_072425_2_59569619_59569936_frame2_fft	1	1	0.334385	86.448	3
SCFR_NC_072425_2_6672268_6672646_frame_2_fft	1	1	0.333333	97.459	3
SCFR_NC_072425_2_6672268_6673170_frame_2_fft	1	1	0.333703	140.563	3
SCFR_NC_072425_2_6672268_6673037_frame_2_fft	1	1	0.332900	146.422	3
SCFR_NC_072425_2_6672268_6673007_frame_2_fft	1	1	0.332882	148.713	3
SCFR_NC_072425_2_6672268_6672716_frame_2_fft	1	1	0.332589	98.729	3
SCFR_NC_072425_2_6672268_6673195_frame_2_fft	1	1	0.333333	201.521	3
SCFR_NC_072425_2_6672268_6673201_frame_2_fft	1	1	0.333333	203.210	3
SCFR_NC_072425_2_6672268_6673207_frame_2_fft	1	1	0.333333	203.613	3
SCFR_NC_072425_2_6672268_6673183_frame_2_fft	1	1	0.333333	198.553	3
SCFR_NC_072425_2_6672268_6673256_frame_2_fft	1	1	0.332996	192.923	3
SCFR_NC_072425_2_6672268_6673111_frame_2_fft	1	1	0.333333	186.837	3
SCFR_NC_072425_2_6672268_6673208_frame_2_fft	1	1	0.332979	187.577	3
SCFR_NC_072425_2_6672268_6673298_frame_2_fft	1	1	0.333010	199.031	3
SCFR_NC_072425_2_6672268_6673232_frame_2_fft	1	1	0.332988	189.262	3
SCFR_NC_072425_2_7593151_7594069_frame_2_fft	1	1	0.333333	234.740	3
SCFR_NC_072425_2_7593151_7593534_frame_2_fft	1	1	0.334204	94.035	3
SCFR_NC_072425_2_7593151_7593913_frame_2_fft	1	1	0.333333	201.765	3
SCFR_NC_072425_2_7593151_7593923_frame_2_fft	1	1	0.332902	167.108	3
SCFR_NC_072425_2_7593151_7594056_frame_2_fft	1	1	0.333702	185.154	3
SCFR_NC_072425_2_7593151_7594086_frame_2_fft	1	1	0.333690	189.055	3
SCFR_NC_072425_2_7593151_7594094_frame_2_fft	1	1	0.332980	206.607	3
SCFR_NC_072425_2_7593151_7593831_frame_2_fft	1	1	0.333824	150.089	3
SCFR_NC_072425_2_7593151_7594184_frame_2_fft	1	1	0.333011	215.803	3
SCFR_NC_072425_2_7593151_7593602_frame_2_fft	1	1	0.332594	121.993	3
SCFR_NC_072425_2_7593151_7593893_frame_2_fft	1	1	0.332884	171.222	3
SCFR_NC_072425_2_7593151_7593861_frame_2_fft	1	1	0.333803	149.608	3
SCFR_NC_072425_2_7593151_7594087_frame_2_fft	1	1	0.333333	239.651	3
SCFR_NC_072425_2_7593151_7593983_frame_2_fft	1	1	0.332933	178.645	3
SCFR_NC_072425_2_7593151_7594093_frame_2_fft	1	1	0.333333	240.044	3
SCFR_NC_072425_2_7593151_7594118_frame_2_fft	1	1	0.332989	207.282	3
SCFR_NC_072425_2_7593151_7594130_frame_2_fft	1	1	0.332993	209.543	3
SCFR_NC_072425_2_8352937_8354167_frame2_fft	1	1	0.333333	183.555	3
SCFR_NC_072425_2_8773364_8774114_frame3_fft	1	1	0.333333	120.621	3
SCFR_NC_072425_2_88940791_88941895_frame2_fft	1	1	0.333333	232.613	3
