SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods	Metric
SCFR_NC_072398_2_105803695_105803952_frame1_fft	1	1	0.147860	81.409	7	0.14786
SCFR_NC_072398_2_106763753_106763919_frame_2_fft	1	1	0.012048	56.430	84	0.012048
SCFR_NC_072398_2_186849502_186849749_frame_3_fft	1	1	0.210526	69.444	5	0.210526
SCFR_NC_072398_2_187377172_187377803_frame_3_fft	1	1	0.109350	118.948	9	0.10935
SCFR_NC_072398_2_203323086_203323364_frame3_fft	3	3	0.165468;0.248201;0.334532	95.230;83.831;81.088	6;4;3	0.24482502906795722
SCFR_NC_072398_2_203323098_203323364_frame3_fft	3	3	0.165414;0.248120;0.334586	92.502;79.919;76.759	6;4;3	0.24405295321454368
SCFR_NC_072398_2_207040703_207040896_frame1_fft	1	1	0.165803	71.894	6	0.165803
SCFR_NC_072398_2_207583730_207584180_frame3_fft	1	1	0.106667	102.693	9	0.106667
SCFR_NC_072398_2_206667890_206669530_frame_2_fft	5	3	0.120732;0.119512;0.060366	381.533;318.076;314.951	8;8;17	0.10161003108145403
SCFR_NC_072398_2_21016258_21016569_frame_3_fft	1	1	0.495177	99.915	2	0.495177
SCFR_NC_072398_2_21035951_21036303_frame_2_fft	1	1	0.255682	114.136	4	0.255682
SCFR_NC_072398_2_215073942_215075657_frame3_fft	8	3	0.092128;0.046064;0.389504	400.097;347.950;271.451	11;22;3	0.15558574467041622
SCFR_NC_072398_2_215760103_215760440_frame_3_fft	1	1	0.249258	163.267	4	0.24925800000000004
SCFR_NC_072398_2_2206080_2206319_frame3_fft	1	1	0.012552	77.415	80	0.012552
SCFR_NC_072398_2_222169820_222170251_frame2_fft	1	1	0.153132	89.606	7	0.153132
SCFR_NC_072398_2_221579354_221579634_frame_2_fft	3	3	0.160714;0.032143;0.353571	92.738;82.251;78.864	6;31;3	0.1789701605614273
SCFR_NC_072398_2_228177432_228177909_frame1_fft	3	3	0.163522;0.129979;0.033543	107.779;100.189;97.368	6;8;30	0.11106688530995362
SCFR_NC_072398_2_228431697_228432042_frame1_fft	1	1	0.168116	83.112	6	0.168116
SCFR_NC_072398_2_228572095_228572736_frame1_fft	9	3	0.444618;0.277691;0.388456	173.233;159.345;155.815	2;4;3	0.37223804196415594
SCFR_NC_072398_2_228609668_228610680_frame_2_fft	11	3	0.200593;0.116601;0.016798	259.993;237.350;198.544	5;9;60	0.11950670915105471
SCFR_NC_072398_2_229392431_229392893_frame3_fft	3	3	0.043290;0.348485;0.391775	115.202;114.101;111.747	23;3;3	0.2595785441724087
SCFR_NC_072398_2_229828445_229828788_frame_2_fft	1	1	0.174927	84.141	6	0.174927
SCFR_NC_072398_2_229831894_229832384_frame_3_fft	8	3	0.444898;0.222449;0.416327	126.268;123.502;114.826	2;5;2	0.3605482264314474
SCFR_NC_072398_2_230062003_230062456_frame2_fft	1	1	0.487859	121.166	2	0.487859
SCFR_NC_072398_2_230662236_230662485_frame1_fft	1	1	0.333333	81.821	3	0.333333
SCFR_NC_072398_2_230637049_230638132_frame_3_fft	1	1	0.333333	200.401	3	0.333333
SCFR_NC_072398_2_230677396_230677720_frame2_fft	1	1	0.478395	85.010	2	0.478395
SCFR_NC_072398_2_230686096_230686769_frame_3_fft	1	1	0.445765	186.110	2	0.445765
SCFR_NC_072398_2_230949178_230949267_frame_3_fft	1	1	0.022472	39.894	45	0.022472
SCFR_NC_072398_2_225547231_225547529_frame_3_fft	1	1	0.006711	77.012	150	0.006711
SCFR_NC_072398_2_231056182_231056602_frame_3_fft	2	2	0.333333;0.228571	100.794;93.370	3;4	0.28295482515811377
SCFR_NC_072398_2_230415923_230416412_frame3_fft	1	1	0.427403	100.869	2	0.42740300000000003
SCFR_NC_072398_2_368772_369338_frame3_fft	1	1	0.452297	135.973	2	0.452297
SCFR_NC_072398_2_41749464_41750142_frame_1_fft	1	1	0.333333	160.286	3	0.333333
SCFR_NC_072398_2_48472987_48473949_frame1_fft	1	1	0.333680	153.993	3	0.33368
SCFR_NC_072398_2_5102632_5103525_frame_3_fft	1	1	0.333707	192.752	3	0.33370700000000003
SCFR_NC_072398_2_45593239_45595313_frame_3_fft	4	3	0.311475;0.312922;0.315333	320.586;311.605;307.593	3;3;3	0.31321751341691273
SCFR_NC_072398_2_86754884_86755145_frame_2_fft	1	1	0.333333	70.686	3	0.333333
SCFR_NC_072398_2_92783564_92783977_frame2_fft	1	1	0.004843	90.780	207	0.004843
SCFR_NC_072398_2_95493911_95494163_frame_2_fft	1	1	0.007937	72.354	126	0.007937
SCFR_NC_072398_2_97374403_97374783_frame1_fft	1	1	0.005263	90.891	190	0.005263
SCFR_NC_072401_2_110321491_110322050_frame_3_fft	1	1	0.248658	103.299	4	0.248658
SCFR_NC_072401_2_1251591_1252000_frame_1_fft	1	1	0.024450	107.242	41	0.02445
SCFR_NC_072401_2_148418466_148418667_frame1_fft	1	1	0.333333	62.358	3	0.333333
SCFR_NC_072401_2_154313612_154313852_frame3_fft	1	1	0.333333	81.007	3	0.333333
SCFR_NC_072401_2_1692238_1692676_frame2_fft	1	1	0.047945	107.003	21	0.047945
SCFR_NC_072401_2_1718555_1718723_frame3_fft	1	1	0.220238	60.597	5	0.220238
SCFR_NC_072401_2_1614275_1614723_frame_2_fft	2	2	0.029018;0.341518	107.721;107.138	35;3	0.1848440300941548
SCFR_NC_072401_2_18136559_18136874_frame_2_fft	1	1	0.133333	95.525	8	0.133333
SCFR_NC_072398_2_94003507_94004809_frame2_fft	7	3	0.166667;0.333333;0.116743	291.534;274.025;262.090	6;3;9	0.20603884662822045
SCFR_NC_072401_2_3621401_3621770_frame3_fft	2	2	0.463415;0.471545	95.183;93.835	2;2	0.46745101006253376
SCFR_NC_072401_2_3648617_3648722_frame3_fft	1	1	0.333333	51.767	3	0.333333
SCFR_NC_072401_2_3810140_3810227_frame3_fft	1	1	0.459770	41.061	2	0.45977000000000007
SCFR_NC_072401_2_47162402_47163092_frame3_fft	1	1	0.333333	135.950	3	0.333333
SCFR_NC_072401_2_49957711_49958009_frame_3_fft	1	1	0.006711	76.275	150	0.006711
SCFR_NC_072401_2_795374_796055_frame3_fft	2	2	0.239354;0.261380	131.595;130.584	4;4	0.25032453228519447
SCFR_NC_072401_2_824117_824540_frame3_fft	3	3	0.108747;0.087470;0.260047	130.526;104.477;99.685	9;11;4	0.14716900309243236
SCFR_NC_072401_2_8740162_8740772_frame_3_fft	2	2	0.432787;0.429508	126.311;112.681	2;2	0.4312410026486242
SCFR_NC_072401_2_993444_993867_frame1_fft	3	3	0.108747;0.087470;0.260047	130.526;104.477;99.685	9;11;4	0.14716900309243236
SCFR_NC_072401_2_964701_965382_frame1_fft	2	2	0.239354;0.261380	131.595;130.584	4;4	0.25032453228519447
SCFR_NC_072402_2_15252933_15253064_frame3_fft	1	1	0.015267	51.178	66	0.015267000000000001
SCFR_NC_072402_2_1531605_1531863_frame_1_fft	1	1	0.147287	70.846	7	0.147287
SCFR_NC_072402_2_158042407_158043001_frame_3_fft	1	1	0.333333	125.301	3	0.333333
SCFR_NC_072402_2_166107020_166107119_frame3_fft	1	1	0.252525	46.792	4	0.252525
SCFR_NC_072402_2_1717851_1718250_frame_1_fft	3	3	0.453634;0.360902;0.092732	139.784;97.813;87.606	2;3;11	0.3285196076727459
SCFR_NC_072402_2_169750918_169751811_frame_3_fft	2	2	0.249720;0.247480	234.284;154.335	4;4	0.2488304130266405
SCFR_NC_072402_2_177806669_177807099_frame_2_fft	1	1	0.004651	109.729	216	0.004651
SCFR_NC_072402_2_178521613_178522830_frame1_fft	3	3	0.100247;0.334429;0.133936	203.469;194.825;187.901	10;3;7	0.18887741298373412
SCFR_NC_072402_2_71955550_71955898_frame_3_fft	1	1	0.198276	92.181	5	0.198276
SCFR_NC_072402_2_871001_871969_frame2_fft	2	2	0.091942;0.183884	135.656;134.449	11;5	0.13770757249217896
