frame,chromosome,shadow_start,shadow_end,strand,sequence_length,GC_percent,AT_percent,GC_stretch
2,NC_071985.2,100030939,100031119,+,180,68.889,31.111,3.0
3,NC_071985.2,100032896,100033028,+,132,43.939,56.061,3.0
3,NC_071985.2,100034722,100034723,+,1,100.0,0.0,3.42307692307692
3,NC_071985.2,100089429,100089443,+,14,50.0,50.0,4.0
2,NC_071985.2,100090027,100090039,+,12,41.667,58.333,3.0
-2,NC_071985.2,100109311,100109467,-,156,57.051,42.949,3.0
-3,NC_071985.2,100109757,100109896,-,139,61.871,38.129,3.66666666666667
-2,NC_071985.2,100110043,100110197,-,154,63.636,36.364,3.0
-2,NC_071985.2,100110595,100110710,-,115,53.043,46.957,3.0
-2,NC_071985.2,100111162,100111211,-,49,67.347,32.653,3.0
-3,NC_071985.2,100112895,100112997,-,102,62.745,37.255,3.0
-3,NC_071985.2,100113633,100113868,-,235,48.511,51.489,5.0
-2,NC_071985.2,100114573,100114972,-,399,61.153,38.847,3.0
-3,NC_071985.2,100115259,100115317,-,58,72.414,27.586,3.5
-2,NC_071985.2,100116184,100116186,-,2,100.0,0.0,3.0
-2,NC_071985.2,100116622,100116821,-,199,62.312,37.688,3.55555555555556
-2,NC_071985.2,100116622,100116836,-,214,61.215,38.785,4.0
-1,NC_071985.2,100117127,100117129,-,2,100.0,0.0,4.45
-1,NC_071985.2,100147070,100147244,-,174,39.08,60.92,4.25
-1,NC_071985.2,100150493,100150566,-,73,26.027,73.973,5.0
-2,NC_071985.2,100152559,100152625,-,66,48.485,51.515,3.0
-2,NC_071985.2,100155772,100155854,-,82,57.317,42.683,3.86666666666667
-2,NC_071985.2,100156093,100156095,-,2,50.0,50.0,3.85714285714286
-3,NC_071985.2,100156773,100156834,-,61,63.934,36.066,4.18181818181818
-2,NC_071985.2,100157452,100157468,-,16,50.0,50.0,4.57142857142857
-2,NC_071985.2,100158880,100158910,-,30,63.333,36.667,3.33333333333333
-1,NC_071985.2,100158953,100159091,-,138,62.319,37.681,3.4
-1,NC_071985.2,100160303,100160375,-,72,61.111,38.889,5.0
-3,NC_071985.2,100162863,100162953,-,90,46.667,53.333,3.0
-2,NC_071985.2,100163668,100163678,-,10,50.0,50.0,3.8125
-1,NC_071985.2,100163921,100163923,-,2,100.0,0.0,4.0
-2,NC_071985.2,100164187,100164219,-,32,43.75,56.25,5.0
-3,NC_071985.2,100166418,100166440,-,22,72.727,27.273,4.44444444444444
-2,NC_071985.2,100169455,100169507,-,52,34.615,65.385,4.33333333333333
-1,NC_071985.2,100169759,100169772,-,13,61.538,38.462,3.63636363636364
-3,NC_071985.2,100169958,100170142,-,184,46.196,53.804,3.83333333333333
-2,NC_071985.2,100171054,100171056,-,2,100.0,0.0,3.75
-1,NC_071985.2,100171844,100171896,-,52,61.538,38.462,3.0
-3,NC_071985.2,100172157,100172176,-,19,47.368,52.632,3.0
-2,NC_071985.2,100175971,100175996,-,25,52.0,48.0,4.0
-2,NC_071985.2,100176655,100176657,-,2,100.0,0.0,4.375
-3,NC_071985.2,100176699,100176808,-,109,46.789,53.211,3.66666666666667
-3,NC_071985.2,100177584,100177586,-,2,100.0,0.0,3.0
-2,NC_071985.2,100179091,100179239,-,148,37.162,62.838,4.08333333333333
-1,NC_071985.2,100180271,100180273,-,2,100.0,0.0,4.0
-1,NC_071985.2,100180610,100180812,-,202,57.921,42.079,3.0
-3,NC_071985.2,100194942,100196532,-,1590,56.415,43.585,4.37777777777778
-3,NC_071985.2,100194942,100197294,-,2352,54.592,45.408,3.0
-3,NC_071985.2,100203444,100203450,-,6,50.0,50.0,3.33333333333333
-1,NC_071985.2,100207880,100207886,-,6,50.0,50.0,3.5
-1,NC_071985.2,100210628,100210646,-,18,38.889,61.111,3.5
-1,NC_071985.2,100221743,100221756,-,13,15.385,84.615,3.33333333333333
-2,NC_071985.2,100223752,100223776,-,24,37.5,62.5,5.47058823529412
-1,NC_071985.2,100224821,100224846,-,25,20.0,80.0,4.44444444444444
-2,NC_071985.2,100226146,100226167,-,21,33.333,66.667,3.0
-1,NC_071985.2,100227041,100227095,-,54,27.778,72.222,4.0
-3,NC_071985.2,100250382,100250384,-,2,50.0,50.0,3.77777777777778
-3,NC_071985.2,100303092,100303107,-,15,60.0,40.0,3.5
-2,NC_071985.2,100318777,100318793,-,16,50.0,50.0,3.0
-1,NC_071985.2,100321397,100321505,-,108,51.852,48.148,3.83333333333333
-3,NC_071985.2,100321806,100321860,-,54,51.852,48.148,4.11111111111111
-2,NC_071985.2,100323454,100323456,-,2,100.0,0.0,3.54545454545455
-1,NC_071985.2,100323740,100323742,-,2,50.0,50.0,4.11111111111111
-2,NC_071985.2,100324525,100324552,-,27,55.556,44.444,3.0
-2,NC_071985.2,100327483,100327492,-,9,33.333,66.667,4.0
-1,NC_071985.2,100329644,100329646,-,2,50.0,50.0,9.0
-2,NC_071985.2,100332736,100332776,-,40,35.0,65.0,4.0
-1,NC_071985.2,100334798,100334800,-,2,100.0,0.0,3.0
-3,NC_071985.2,100335156,100335232,-,76,38.158,61.842,3.28571428571429
-3,NC_071985.2,100338444,100338454,-,10,30.0,70.0,4.0
-3,NC_071985.2,100338444,100338454,-,10,30.0,70.0,4.0
-2,NC_071985.2,100340914,100341038,-,124,39.516,60.484,4.0
-1,NC_071985.2,100341737,100341830,-,93,43.011,56.989,6.125
-1,NC_071985.2,100372571,100372573,-,2,100.0,0.0,3.0
-1,NC_071985.2,100382285,100382295,-,10,40.0,60.0,3.0
-2,NC_071985.2,100382497,100382499,-,2,100.0,0.0,3.5
-1,NC_071985.2,100383068,100383128,-,60,40.0,60.0,3.875
-1,NC_071985.2,100383359,100383375,-,16,43.75,56.25,3.0
-1,NC_071985.2,100383359,100383375,-,16,43.75,56.25,3.5
1,NC_071985.2,100385339,100385340,+,1,100.0,0.0,6.66666666666667
-1,NC_071985.2,100390400,100390407,-,7,42.857,57.143,6.16666666666667
-3,NC_071985.2,100391232,100391251,-,19,47.368,52.632,3.5
-3,NC_071985.2,100392867,100392894,-,27,51.852,48.148,4.5
-3,NC_071985.2,100394121,100394202,-,81,48.148,51.852,3.5
3,NC_071985.2,100398385,100398386,+,1,100.0,0.0,3.0
1,NC_071985.2,100399127,100399128,+,1,100.0,0.0,3.81818181818182
2,NC_071985.2,100399127,100399222,+,95,60.0,40.0,4.53846153846154
3,NC_071985.2,100399368,100399418,+,50,66.0,34.0,3.6
2,NC_071985.2,100400546,100400554,+,8,50.0,50.0,3.4
-3,NC_071985.2,100403199,100403201,-,2,100.0,0.0,3.0
-1,NC_071985.2,100403324,100403660,-,336,57.143,42.857,3.5
-3,NC_071985.2,100403385,100403400,-,15,53.333,46.667,5.5
-3,NC_071985.2,100403385,100403400,-,15,53.333,46.667,3.0
-1,NC_071985.2,100403858,100403880,-,22,50.0,50.0,3.0
-1,NC_071985.2,100404200,100404209,-,9,66.667,33.333,3.09090909090909
-2,NC_071985.2,100404256,100404452,-,196,47.959,52.041,3.5
-3,NC_071985.2,100404648,100404772,-,124,50.806,49.194,3.63636363636364
-3,NC_071985.2,100405407,100405434,-,27,51.852,48.148,3.5
-1,NC_071985.2,100406885,100406891,-,6,66.667,33.333,3.0
-1,NC_071985.2,100408844,100408856,-,12,50.0,50.0,4.8
2,NC_071985.2,100430734,100430740,+,6,50.0,50.0,3.2
1,NC_071985.2,100434393,100434420,+,27,37.037,62.963,3.0
2,NC_071985.2,100435612,100435693,+,81,29.63,70.37,3.76470588235294
2,NC_071985.2,100437116,100437127,+,11,27.273,72.727,3.0
3,NC_071985.2,100439687,100439726,+,39,30.769,69.231,3.33333333333333
