chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_072398.2	106760564	106761164	3	1	+	NC_072398.2	106760684	106760817	106761001	106761038	PIAS3	XM_016941336.4	+	3	106760817	106761001	183	2
NC_072398.2	117966537	117967353	-1	1	-	NC_072398.2	117966884	117967060	117966573	117966745	LOC112208393	XM_063789594.1	-	1	117966745	117966884	138	1
NC_072398.2	117971564	117972686	-2	1	-	NC_072398.2	117971911	117972402	117971600	117971772	LOC112208393	XM_063789594.1	-	2	117971772	117971911	138	1
NC_072398.2	118481484	118481916	1	1	+	NC_072398.2	118481524	118481631	118481764	118481915	PPM1J	XM_009429244.4	+	1	118481631	118481764	132	2
NC_072398.2	121530579	121531071	-1	1	-	NC_072398.2	121530835	121530930	121530634	121530744	GSTM2	NM_001367584.1	-	1	121530744	121530835	90	1
NC_072398.2	121822018	121822570	-3	1	-	NC_072398.2	121822502	121822537	121822153	121822228	GSTM2	NM_001367584.1	-	3	121822228	121822502	273	1
NC_072398.2	121831344	121831932	-1	1	-	NC_072398.2	121831708	121831803	121831507	121831617	GSTM4	NM_001367583.1	-	1	121831617	121831708	90	4
NC_072398.2	122216536	122217394	-3	1	-	NC_072398.2	122217181	122217375	122216872	122217042	CELSR2	XM_016923898.4	-	3	122217042	122217181	138	4
NC_072398.2	122216536	122217394	-3	1	-	NC_072398.2	122216872	122217042	122216538	122216772	CELSR2	XM_016923898.4	-	3	122216772	122216872	99	2
NC_072398.2	122216536	122217394	-3	1	-	NC_072398.2	122216872	122217042	122216538	122216790	CELSR2	XM_063816064.1	-	3	122216790	122216872	81	2
NC_072398.2	122218455	122218926	-1	1	-	NC_072398.2	122218696	122218822	122218486	122218608	CELSR2	XM_016923898.4	-	1	122218608	122218696	87	4
NC_072398.2	159932132	159932405	3	1	+	NC_072398.2	159932144	159932196	159932287	159932395	ZRANB2	XM_001166823.6	+	3	159932196	159932287	90	2
NC_072398.2	176177061	176177937	-1	1	-	NC_072398.2	176177575	176177739	176177254	176177376	CIMAP2	XM_001153996.5	-	1	176177376	176177575	198	2
NC_072398.2	176757925	176758612	2	1	+	NC_072398.2	176758127	176758205	176758476	176758504	SSBP3	XM_016918894.4	+	2	176758205	176758476	270	16
NC_072398.2	178653996	178654362	1	1	+	NC_072398.2	178654005	178654095	178654249	178654338	CC2D1B	XM_016918308.3	+	1	178654095	178654249	153	4
NC_072398.2	184555248	184555839	-1	1	-	NC_072398.2	184555560	184555600	184555270	184555394	FAAH	XM_001161208.4	-	1	184555394	184555560	165	1
NC_072398.2	184771487	184771838	3	1	+	NC_072398.2	184771538	184771610	184771692	184771820	POMGNT1	XM_001160396.6	+	3	184771610	184771692	81	4
NC_072398.2	185345270	185345936	3	1	+	NC_072398.2	185345578	185345696	185345838	185345935	CCDC17	XM_001158794.8	+	3	185345696	185345838	141	2
NC_072398.2	185346409	185346928	2	1	+	NC_072398.2	185346460	185346670	185346740	185346850	CCDC17	XM_001158794.8	+	2	185346670	185346740	69	2
NC_072398.2	185626259	185626538	-2	1	-	NC_072398.2	185626389	185626531	185626261	185626301	TOE1	XM_009456286.5	-	2	185626301	185626389	87	2
NC_072398.2	185626259	185626538	-2	1	-	NC_072398.2	185626389	185626445	185626261	185626301	TOE1	XM_009456291.5	-	2	185626301	185626389	87	1
NC_072398.2	186152454	186153105	-1	1	-	NC_072398.2	186152725	186152850	186152455	186152586	BTBD19	XM_009456196.4	-	1	186152586	186152725	138	5
NC_072398.2	186152454	186153105	-1	1	-	NC_072398.2	186152725	186153086	186152455	186152586	BTBD19	XM_016961466.3	-	1	186152586	186152725	138	1
NC_072398.2	186180592	186181336	2	1	+	NC_072398.2	186180657	186180890	186181125	186181279	BEST4	XM_016961438.3	+	2	186180890	186181125	234	2
