SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_071985_2_112753976_112755780_frame3_fft	1	1	0.333149	226.128	3
SCFR_NC_071985_2_11747949_11748114_frame_3_fft	1	1	0.248485	63.774	4
SCFR_NC_071985_2_1212355_1212566_frame2_fft	1	1	0.492891	63.792	2
SCFR_NC_071985_2_13181003_13181343_frame3_fft	1	1	0.011765	82.969	85
SCFR_NC_071985_2_16103409_16103636_frame1_fft	1	1	0.008811	66.921	114
SCFR_NC_071985_2_167709131_167709644_frame_1_fft	2	2	0.048733;0.144250	108.816;100.038	21;7
SCFR_NC_071985_2_196578271_196578644_frame2_fft	1	1	0.123324	138.887	8
SCFR_NC_071985_2_201924704_201924846_frame3_fft	1	1	0.014085	56.905	72
SCFR_NC_071985_2_202175483_202175686_frame_2_fft	1	1	0.152709	63.863	7
SCFR_NC_071985_2_202195159_202196236_frame_2_fft	1	1	0.001857	144.676	539
SCFR_NC_071985_2_211568030_211569110_frame3_fft	4	3	0.025926;0.377778;0.351852	278.121;187.147;171.892	39;3;3
SCFR_NC_071985_2_214700779_214701188_frame2_fft	1	1	0.332518	196.354	3
SCFR_NC_071985_2_214682784_214683127_frame1_fft	1	1	0.492711	87.114	2
SCFR_NC_071985_2_21269780_21270277_frame_2_fft	1	1	0.490946	102.450	2
SCFR_NC_071985_2_21269783_21270277_frame_2_fft	1	1	0.489879	138.255	2
SCFR_NC_071985_2_21750733_21750998_frame_1_fft	1	1	0.045283	75.665	22
SCFR_NC_071985_2_21850462_21850774_frame_2_fft	1	1	0.310897	78.198	3
SCFR_NC_071985_2_224643185_224643416_frame_1_fft	1	1	0.251082	70.343	4
SCFR_NC_071985_2_230834126_230834586_frame_3_fft	1	1	0.495652	113.770	2
SCFR_NC_071985_2_232423689_232423812_frame_3_fft	1	1	0.479675	53.532	2
SCFR_NC_071985_2_232502420_232502864_frame_1_fft	4	3	0.119369;0.380631;0.213964	145.118;123.895;103.037	8;3;5
SCFR_NC_071985_2_232502442_232502864_frame_1_fft	3	3	0.118483;0.381517;0.428910	140.088;111.292;96.216	8;3;2
SCFR_NC_071985_2_232502526_232502864_frame_1_fft	2	2	0.118343;0.381657	110.971;88.076	8;3
SCFR_NC_071985_2_233028761_233029290_frame3_fft	1	1	0.049149	101.652	20
SCFR_NC_071985_2_233100881_233101271_frame_1_fft	1	1	0.005128	104.673	196
SCFR_NC_071985_2_227738467_227738978_frame2_fft	1	1	0.029354	103.603	34
SCFR_NC_071985_2_25755924_25756240_frame_2_fft	1	1	0.300633	108.784	3
SCFR_NC_071985_2_24127727_24128542_frame3_fft	1	1	0.333742	157.807	3
SCFR_NC_071985_2_26830793_26831225_frame_1_fft	1	1	0.166667	89.898	6
