SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods	Metric
SCFR_NC_072373_2_11728649_11728802_frame_2_fft	1	1	0.248366	54.366	4	0.248366
SCFR_NC_072373_2_109770942_109772746_frame1_fft	1	1	0.333149	226.128	3	0.333149
SCFR_NC_072373_2_13172126_13172466_frame3_fft	1	1	0.011765	82.969	85	0.011765
SCFR_NC_072373_2_164862823_164863183_frame_3_fft	1	1	0.191667	82.162	5	0.191667
SCFR_NC_072373_2_165133556_165134060_frame_2_fft	1	1	0.333333	128.928	3	0.333333
SCFR_NC_072373_2_195879083_195879367_frame3_fft	1	1	0.007042	77.155	142	0.007042
SCFR_NC_072373_2_195879083_195879372_frame3_fft	1	1	0.006920	77.426	145	0.006919999999999999
SCFR_NC_072373_2_199113082_199113224_frame2_fft	1	1	0.014085	56.905	72	0.014084999999999999
SCFR_NC_072373_2_199364841_199365044_frame_2_fft	1	1	0.152709	63.863	7	0.152709
SCFR_NC_072373_2_203749161_203749497_frame1_fft	1	1	0.333333	81.870	3	0.333333
SCFR_NC_072373_2_21130087_21130343_frame2_fft	1	1	0.035156	70.127	29	0.035156
SCFR_NC_072373_2_21191970_21192464_frame_2_fft	1	1	0.489879	138.255	2	0.48987899999999995
SCFR_NC_072373_2_21191967_21192464_frame_2_fft	1	1	0.490946	102.450	2	0.49094600000000005
SCFR_NC_072373_2_213870305_213870548_frame_2_fft	1	1	0.493827	69.208	2	0.49382699999999996
SCFR_NC_072373_2_214896242_214897321_frame3_fft	2	2	0.092678;0.046339	222.140;217.436	11;22	0.06975644194405517
SCFR_NC_072373_2_21676039_21676304_frame_2_fft	1	1	0.045283	74.753	22	0.045283
SCFR_NC_072373_2_21775764_21776076_frame_1_fft	1	1	0.310897	78.198	3	0.310897
SCFR_NC_072373_2_221645770_221646001_frame_3_fft	1	1	0.251082	70.343	4	0.251082
SCFR_NC_072373_2_227826733_227827205_frame_2_fft	1	1	0.495763	109.882	2	0.49576299999999995
SCFR_NC_072373_2_229503628_229504114_frame_3_fft	5	3	0.119342;0.380658;0.213992	161.100;134.835;114.249	8;3;5	0.2316043279065005
SCFR_NC_072373_2_229503692_229504114_frame_3_fft	4	3	0.118483;0.381517;0.428910	139.699;109.955;93.545	8;3;2	0.2873669337672895
SCFR_NC_072373_2_229587584_229588065_frame3_fft	1	1	0.049896	105.952	20	0.049896
SCFR_NC_072373_2_229695615_229696704_frame_1_fft	1	1	0.258953	154.840	4	0.258953
SCFR_NC_072373_2_230100942_230101317_frame_1_fft	1	1	0.005333	101.984	188	0.005333
SCFR_NC_072373_2_230387592_230387680_frame1_fft	1	1	0.454545	43.220	2	0.454545
SCFR_NC_072373_2_25257849_25257900_frame_1_fft	1	1	0.333333	29.065	3	0.333333
SCFR_NC_072373_2_25700509_25700825_frame_2_fft	1	1	0.300633	110.829	3	0.300633
SCFR_NC_072373_2_229503650_229504114_frame_3_fft	4	3	0.118534;0.381466;0.428879	154.454;121.431;104.059	8;3;2	0.28756492573379244
SCFR_NC_072373_2_24059811_24060626_frame1_fft	1	1	0.333742	158.467	3	0.333742
SCFR_NC_072373_2_42095939_42096696_frame_1_fft	1	1	0.332893	174.124	3	0.332893
SCFR_NC_072373_2_5036440_5036825_frame_2_fft	1	1	0.332468	86.738	3	0.332468
SCFR_NC_072373_2_87553496_87553846_frame3_fft	3	3	0.025714;0.248571;0.051429	113.449;84.514;84.493	39;4;20	0.10008761568881525
SCFR_NC_072373_2_87552076_87553097_frame2_fft	7	3	0.350637;0.026445;0.377081	223.461;222.830;182.605	3;38;3	0.24344774018597667
SCFR_NC_072373_2_95177209_95177569_frame2_fft	1	1	0.008333	103.625	120	0.008333
SCFR_NC_072373_2_95181509_95182659_frame3_fft	7	3	0.116522;0.166957;0.383478	243.631;230.231;216.548	9;6;3	0.21707165654176505
SCFR_NC_072373_2_96589955_96590265_frame_1_fft	1	1	0.335484	78.438	3	0.335484
SCFR_NC_072373_2_96754208_96754627_frame3_fft	1	1	0.007160	100.295	140	0.00716
SCFR_NC_072373_2_97383357_97383721_frame_3_fft	2	2	0.291209;0.208791	106.623;93.684	3;5	0.25266193019215505
SCFR_NC_072373_2_98066202_98067378_frame1_fft	7	3	0.333333;0.458333;0.480442	215.333;204.001;201.462	3;2;2	0.42214961344145246
SCFR_NC_072376_2_122482505_122483135_frame_3_fft	2	2	0.346032;0.192063	130.148;118.182	3;5	0.2727570660089398
SCFR_NC_072373_2_225108373_225111159_frame2_fft	8	3	0.370065;0.262742;0.262024	383.908;375.467;338.563	3;4;4	0.30004744898710123
SCFR_NC_072376_2_159524193_159524470_frame1_fft	1	1	0.335740	74.731	3	0.33574
SCFR_NC_072376_2_1120555_1121941_frame_1_fft	2	2	0.206349;0.165945	162.633;160.360	5;6	0.18628916761973172
SCFR_NC_072376_2_24910070_24910280_frame_3_fft	1	1	0.247619	87.604	4	0.247619
SCFR_NC_072376_2_5142750_5143096_frame_1_fft	1	1	0.184971	93.625	5	0.18497099999999997
SCFR_NC_072376_2_7025814_7026023_frame1_fft	1	1	0.339713	76.333	3	0.339713
SCFR_NC_072376_2_7251738_7252105_frame1_fft	1	1	0.490463	95.532	2	0.490463
SCFR_NC_072376_2_89303700_89304363_frame_2_fft	1	1	0.003017	119.667	332	0.003017
SCFR_NC_072376_2_892358_892967_frame_3_fft	2	2	0.100164;0.134647	133.552;120.375	10;7	0.11651078913624782
SCFR_NC_072377_2_1176816_1177366_frame1_fft	1	1	0.130909	124.816	8	0.130909
SCFR_NC_072377_2_1002954_1004321_frame1_fft	7	3	0.432334;0.243599;0.378200	302.162;283.373;228.363	2;4;3	0.3514336835021096
SCFR_NC_072377_2_137012926_137013305_frame_3_fft	1	1	0.496042	89.308	2	0.496042
SCFR_NC_072377_2_142984285_142984436_frame2_fft	1	1	0.337748	55.408	3	0.337748
SCFR_NC_072377_2_177768350_177769178_frame_3_fft	1	1	0.333333	158.711	3	0.333333
SCFR_NC_072377_2_178628028_178628376_frame_2_fft	1	1	0.333333	90.767	3	0.333333
SCFR_NC_072377_2_181301137_181301314_frame2_fft	1	1	0.248588	61.473	4	0.248588
SCFR_NC_072377_2_182205260_182206087_frame_1_fft	3	3	0.333736;0.330109;0.336155	343.396;151.964;150.365	3;3;3	0.3334457208672422
SCFR_NC_072377_2_182486675_182486770_frame_1_fft	1	1	0.021053	44.683	48	0.021053
