SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_073249_2_101224231_101224488_frame1_fft	1	1	0.147860	80.066	7
SCFR_NC_073249_2_182690616_182690863_frame_1_fft	1	1	0.210526	69.444	5
SCFR_NC_073249_2_183219325_183219956_frame_3_fft	1	1	0.109350	119.930	9
SCFR_NC_073249_2_199181590_199181832_frame1_fft	2	2	0.165289;0.247934	83.005;71.153	6;4
SCFR_NC_073249_2_199181578_199181832_frame1_fft	3	3	0.165354;0.248031;0.334646	85.620;74.986;70.394	6;4;3
SCFR_NC_073249_2_203509613_203510063_frame3_fft	1	1	0.106667	102.693	9
SCFR_NC_073249_2_210788308_210789201_frame1_fft	6	3	0.091825;0.137738;0.045913	237.023;194.620;176.565	11;7;22
SCFR_NC_073249_2_211473894_211474147_frame_1_fft	1	1	0.249012	147.443	4
SCFR_NC_073249_2_21198001_21198370_frame2_fft	1	1	0.333333	98.946	3
SCFR_NC_073249_2_21266826_21267131_frame_1_fft	1	1	0.495082	95.302	2
SCFR_NC_073249_2_21286484_21286887_frame_2_fft	1	1	0.255583	139.135	4
SCFR_NC_073249_2_221775490_221775791_frame_3_fft	1	1	0.006645	79.788	151
SCFR_NC_073249_2_224406248_224406743_frame3_fft	2	2	0.032323;0.131313	119.024;102.081	31;8
SCFR_NC_073249_2_224659618_224659963_frame2_fft	1	1	0.168116	84.386	6
SCFR_NC_073249_2_224910913_224911107_frame_3_fft	1	1	0.355670	65.570	3
SCFR_NC_073249_2_225654850_225655312_frame2_fft	3	3	0.043290;0.348485;0.391775	112.233;112.020;109.828	23;3;3
SCFR_NC_073249_2_226090872_226091215_frame_1_fft	1	1	0.174927	86.649	6
SCFR_NC_073249_2_226326829_226327360_frame2_fft	1	1	0.487759	126.857	2
SCFR_NC_073249_2_224800176_224800601_frame3_fft	4	3	0.444706;0.277647;0.388235	104.354;96.822;96.585	2;4;3
SCFR_NC_073249_2_226886618_226886836_frame2_fft	1	1	0.330275	65.288	3
SCFR_NC_073249_2_226914169_226914418_frame2_fft	1	1	0.333333	80.109	3
SCFR_NC_073249_2_226929319_226929829_frame2_fft	3	3	0.478431;0.152941;0.435294	141.167;124.612;112.381	2;7;2
SCFR_NC_073249_2_227203408_227203497_frame_3_fft	1	1	0.022472	39.894	45
SCFR_NC_073249_2_227324465_227324837_frame_2_fft	1	1	0.333333	86.566	3
SCFR_NC_073249_2_227324465_227324885_frame_2_fft	1	1	0.333333	102.539	3
SCFR_NC_073249_2_202584351_202586168_frame_1_fft	4	3	0.060539;0.120528;0.122179	403.104;359.413;318.681	17;8;8
SCFR_NC_073249_2_42038439_42039117_frame_1_fft	1	1	0.333333	160.286	3
SCFR_NC_073249_2_45874124_45876750_frame_2_fft	6	3	0.314166;0.311500;0.315308	450.700;429.530;308.521	3;3;3
SCFR_NC_073249_2_5084786_5085679_frame_2_fft	1	1	0.333707	194.444	3
SCFR_NC_073249_2_67330769_67331403_frame1_fft	1	1	0.332808	112.591	3
SCFR_NC_073249_2_71778767_71779003_frame2_fft	1	1	0.199153	69.497	5
SCFR_NC_073249_2_87417823_87418084_frame_3_fft	1	1	0.333333	70.686	3
SCFR_NC_073249_2_82328102_82328642_frame3_fft	6	3	0.270370;0.081481;0.242593	147.566;147.338;142.733	4;12;4
SCFR_NC_073249_2_89658282_89658475_frame_1_fft	1	1	0.471503	61.359	2
SCFR_NC_073249_2_93432259_93432672_frame1_fft	1	1	0.004843	90.780	207
SCFR_NC_073249_2_94651937_94653221_frame3_fft	5	3	0.166667;0.333333;0.116822	279.540;252.406;246.511	6;3;9
SCFR_NC_073249_2_96842449_96842737_frame_3_fft	3	3	0.291667;0.125000;0.083333	99.348;89.878;89.747	3;8;12
SCFR_NC_073249_2_97039179_97039477_frame2_fft	1	1	0.332215	99.237	3
SCFR_NC_073249_2_97992763_97993080_frame1_fft	1	1	0.006309	80.766	159
SCFR_NC_073252_2_1212112_1212602_frame_1_fft	1	1	0.024490	137.682	41
SCFR_NC_073252_2_1569015_1569463_frame_2_fft	2	2	0.029018;0.341518	110.401;104.771	35;3
SCFR_NC_073252_2_1647463_1647910_frame2_fft	1	1	0.049217	132.996	20
SCFR_NC_073252_2_1672212_1672380_frame1_fft	1	1	0.220238	60.597	5
SCFR_NC_073252_2_17915024_17915339_frame_3_fft	1	1	0.133333	95.525	8
SCFR_NC_073252_2_3594345_3594450_frame1_fft	1	1	0.333333	51.767	3
SCFR_NC_073252_2_3567639_3568251_frame1_fft	1	1	0.460784	138.531	2
SCFR_NC_073252_2_47088265_47088955_frame2_fft	1	1	0.333333	135.950	3
SCFR_NC_073252_2_49882337_49882635_frame_3_fft	1	1	0.006711	76.275	150
SCFR_NC_073252_2_7999998_8000561_frame3_fft	1	1	0.333925	182.790	3
SCFR_NC_073252_2_8695989_8696875_frame_2_fft	4	3	0.088036;0.044018;0.251693	167.073;155.652;144.769	11;23;4
SCFR_NC_073252_2_924077_924710_frame3_fft	2	2	0.260664;0.240126	143.556;124.106	4;4
SCFR_NC_073253_2_1136646_1136904_frame_2_fft	1	1	0.147287	71.742	7
SCFR_NC_073252_2_947130_947853_frame1_fft	5	3	0.107884;0.087137;0.260028	196.606;181.557;155.242	9;11;4
SCFR_NC_073253_2_136087627_136088434_frame2_fft	1	1	0.333333	144.317	3
SCFR_NC_073253_2_136440117_136441338_frame1_fft	1	1	0.333333	294.488	3
SCFR_NC_073253_2_136903917_136904191_frame_2_fft	1	1	0.492701	75.503	2
SCFR_NC_073253_2_136115648_136116581_frame3_fft	1	1	0.333333	162.161	3
SCFR_NC_073253_2_136725730_136728289_frame2_fft	1	1	0.333333	391.579	3
SCFR_NC_073253_2_1485762_1487087_frame3_fft	17	3	0.432453;0.107925;0.040755	346.764;294.861;287.118	2;9;25
SCFR_NC_073253_2_155534790_155535384_frame_2_fft	1	1	0.333333	125.301	3
SCFR_NC_073253_2_167228681_167229646_frame_3_fft	3	3	0.249741;0.251813;0.247668	235.216;184.794;165.677	4;4;4
SCFR_NC_073253_2_14837298_14837429_frame3_fft	1	1	0.015267	51.178	66
SCFR_NC_073253_2_353016_353984_frame3_fft	2	2	0.091942;0.183884	135.656;134.449	11;5
SCFR_NC_073253_2_56437891_56438787_frame1_fft	1	1	0.333705	143.241	3
SCFR_NC_073253_2_56437788_56438787_frame1_fft	1	1	0.333333	190.656	3
SCFR_NC_073253_2_56437794_56438787_frame1_fft	1	1	0.333333	187.459	3
SCFR_NC_073253_2_176036311_176037693_frame1_fft	5	3	0.334298;0.100579;0.335745	260.469;200.234;172.084	3;10;3
SCFR_NC_073253_2_171677270_171680139_frame_3_fft	5	3	0.042175;0.333217;0.124782	498.390;308.015;265.961	24;3;8
SCFR_NC_073254_2_155435464_155435774_frame_1_fft	1	1	0.245161	82.090	4
SCFR_NC_073254_2_158123400_158123906_frame3_fft	1	1	0.003953	100.184	254
SCFR_NC_073254_2_185492141_185492430_frame_3_fft	3	3	0.072664;0.435986;0.145329	90.227;84.646;81.920	14;2;7
SCFR_NC_073254_2_188305540_188306146_frame_1_fft	1	1	0.480198	146.768	2
SCFR_NC_073254_2_188297801_188298720_frame_3_fft	5	3	0.443961;0.405876;0.389554	168.958;158.627;145.820	2;2;3
SCFR_NC_073254_2_42888048_42888492_frame1_fft	1	1	0.333333	115.348	3
SCFR_NC_073254_2_22221781_22223593_frame2_fft	1	1	0.333333	405.171	3
SCFR_NC_073254_2_46616219_46616791_frame2_fft	1	1	0.005245	114.681	191
SCFR_NC_073254_2_49608324_49608999_frame_2_fft	1	1	0.002963	120.936	338
SCFR_NC_073254_2_58001875_58002329_frame3_fft	2	2	0.006608;0.491189	148.482;132.307	152;2
SCFR_NC_073254_2_90513239_90514750_frame2_fft	1	1	0.333554	219.278	3
SCFR_NC_073255_2_118590228_118590519_frame1_fft	1	1	0.333333	76.562	3
SCFR_NC_073255_2_119045832_119046509_frame3_fft	4	3	0.333826;0.265879;0.067947	197.033;149.692;134.559	3;4;15
SCFR_NC_073255_2_120504277_120504533_frame_3_fft	3	3	0.449219;0.199219;0.148438	91.133;77.170;76.922	2;5;7
SCFR_NC_073255_2_159174759_159174994_frame_1_fft	1	1	0.251064	95.187	4
SCFR_NC_073255_2_164471353_164472043_frame_3_fft	1	1	0.250725	277.473	4
SCFR_NC_073255_2_119039283_119046509_frame3_fft	67	3	0.333379;0.265569;0.067811	2047.169;1693.623;1393.364	3;4;15
SCFR_NC_073255_2_169009869_169010400_frame_1_fft	2	2	0.495292;0.009416	205.662;127.666	2;106
SCFR_NC_073255_2_171755098_171755833_frame2_fft	1	1	0.333333	159.856	3
SCFR_NC_073255_2_180203352_180203676_frame1_fft	1	1	0.006173	81.315	162
SCFR_NC_073255_2_187422730_187423106_frame3_fft	3	3	0.106383;0.071809;0.034574	109.127;90.033;87.969	9;14;29
SCFR_NC_073255_2_191191021_191191178_frame3_fft	1	1	0.012739	54.153	79
SCFR_NC_073255_2_158883317_158885902_frame2_fft	1	1	0.333462	409.287	3
SCFR_NC_073255_2_193583127_193583745_frame1_fft	1	1	0.158576	127.218	6
SCFR_NC_073255_2_194730051_194730150_frame_1_fft	1	1	0.474747	43.294	2
SCFR_NC_073255_2_119031855_119046509_frame3_fft	80	3	0.333356;0.265525;0.401187	4148.282;2783.477;2644.214	3;4;2
SCFR_NC_073255_2_35278738_35279339_frame_3_fft	1	1	0.332779	135.732	3
SCFR_NC_073255_2_119052735_119055332_frame3_fft	6	3	0.333462;0.401232;0.067771	706.005;379.357;335.873	3;2;15
SCFR_NC_073255_2_119049195_119055332_frame3_fft	49	3	0.333388;0.401173;0.265602	1695.302;1158.826;1014.656	3;2;4
