SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_072423_2_100445698_100446334_frame2_fft	2	2	0.333333;0.165094	132.164;124.304	3;6
SCFR_NC_072423_2_101490967_101491349_frame_1_fft	1	1	0.332461	94.507	3
SCFR_NC_072423_2_102049544_102049805_frame_3_fft	2	2	0.099617;0.398467	78.076;76.051	10;3
SCFR_NC_072423_2_102067749_102067902_frame_2_fft	1	1	0.202614	54.944	5
SCFR_NC_072423_2_102071228_102071493_frame_3_fft	1	1	0.162264	74.185	6
SCFR_NC_072423_2_100275745_100276068_frame1_fft	2	2	0.123839;0.458204	95.391;85.304	8;2
SCFR_NC_072423_2_108524515_108524919_frame1_fft	1	1	0.472772	187.423	2
SCFR_NC_072423_2_111065544_111065993_frame3_fft	1	1	0.334076	128.030	3
SCFR_NC_072423_2_111835818_111836438_frame3_fft	1	1	0.004839	115.805	207
SCFR_NC_072423_2_116355739_116356447_frame_1_fft	4	3	0.107345;0.427966;0.464689	139.995;128.895;125.893	9;2;2
SCFR_NC_072423_2_118275391_118276237_frame_1_fft	1	1	0.333333	128.872	3
SCFR_NC_072423_2_125541901_125542134_frame1_fft	1	1	0.334764	70.786	3
SCFR_NC_072423_2_116295245_116297246_frame_3_fft	16	3	0.071464;0.059470;0.464268	393.616;373.139;329.422	14;17;2
SCFR_NC_072423_2_133557403_133557748_frame2_fft	1	1	0.005797	80.797	173
SCFR_NC_072423_2_133557391_133557748_frame2_fft	1	1	0.005602	81.824	179
SCFR_NC_072423_2_149851660_149852086_frame2_fft	1	1	0.333333	117.239	3
SCFR_NC_072423_2_149851627_149852086_frame2_fft	1	1	0.333333	125.609	3
SCFR_NC_072423_2_159221388_159221693_frame3_fft	1	1	0.167213	77.575	6
SCFR_NC_072423_2_159000099_159000954_frame1_fft	8	3	0.431579;0.058480;0.156725	199.953;175.508;172.410	2;17;6
SCFR_NC_072423_2_158173651_158174996_frame_1_fft	4	3	0.052045;0.104833;0.156877	281.772;269.413;202.218	19;10;6
SCFR_NC_072423_2_62556457_62557396_frame_1_fft	1	1	0.333333	247.506	3
SCFR_NC_072423_2_65352387_65353185_frame_2_fft	1	1	0.333333	162.148	3
SCFR_NC_072423_2_69371500_69371731_frame2_fft	1	1	0.008658	66.930	116
SCFR_NC_072423_2_7685752_7686626_frame_1_fft	1	1	0.449657	162.132	2
SCFR_NC_072423_2_78459682_78460620_frame1_fft	1	1	0.333689	229.081	3
SCFR_NC_072423_2_78459585_78460620_frame1_fft	1	1	0.333333	331.785	3
SCFR_NC_072423_2_89786567_89786732_frame_3_fft	1	1	0.193939	56.521	5
SCFR_NC_072423_2_90292308_90292568_frame3_fft	1	1	0.130769	74.843	8
SCFR_NC_072423_2_93126267_93126765_frame1_fft	1	1	0.333333	99.190	3
SCFR_NC_072423_2_93500204_93500671_frame_3_fft	1	1	0.167024	97.282	6
SCFR_NC_072423_2_93537674_93538103_frame_3_fft	1	1	0.333333	89.934	3
SCFR_NC_072423_2_94423808_94424181_frame_3_fft	1	1	0.335121	95.223	3
SCFR_NC_072423_2_93323709_93323991_frame1_fft	1	1	0.336879	84.720	3
SCFR_NC_072423_2_96514524_96514849_frame_2_fft	1	1	0.006154	89.904	163
SCFR_NC_072423_2_96787110_96787314_frame_2_fft	1	1	0.333333	70.993	3
SCFR_NC_072423_2_96787110_96788176_frame_2_fft	1	1	0.333021	198.923	3
SCFR_NC_072423_2_96787110_96788090_frame_2_fft	1	1	0.333673	173.202	3
SCFR_NC_072423_2_94397574_94399428_frame1_fft	3	3	0.333333;0.132686;0.131607	345.468;303.494;222.023	3;8;8
SCFR_NC_072423_2_95406465_95407868_frame3_fft	1	1	0.333571	269.036	3
SCFR_NC_072424_2_10317087_10323864_frame1_fft	17	3	0.333333;0.316807;0.303084	735.161;726.055;575.683	3;3;3
SCFR_NC_072424_2_137921502_137921978_frame3_fft	3	3	0.067227;0.483193;0.050420	116.260;105.530;100.466	15;2;20
SCFR_NC_072424_2_142779620_142779924_frame_2_fft	3	3	0.427632;0.144737;0.072368	112.035;85.981;84.790	2;7;14
SCFR_NC_072424_2_143968314_143968600_frame_1_fft	1	1	0.489510	76.163	2
SCFR_NC_072424_2_144662356_144662642_frame_3_fft	1	1	0.251748	88.447	4
SCFR_NC_072424_2_145365452_145366148_frame_2_fft	1	1	0.477011	131.652	2
SCFR_NC_072424_2_144596930_144598139_frame3_fft	1	1	0.333333	213.705	3
SCFR_NC_072424_2_21825010_21825255_frame_3_fft	1	1	0.248980	82.916	4
SCFR_NC_072424_2_34540891_34541100_frame1_fft	1	1	0.157895	64.741	6
SCFR_NC_072424_2_41234298_41234747_frame3_fft	1	1	0.015590	95.164	64
SCFR_NC_072424_2_41566069_41566311_frame1_fft	1	1	0.252066	108.048	4
SCFR_NC_072424_2_52479065_52480574_frame_2_fft	1	1	0.333333	258.352	3
SCFR_NC_072424_2_5333884_5334527_frame_3_fft	1	1	0.496112	203.924	2
SCFR_NC_072424_2_5360800_5361412_frame_3_fft	1	1	0.483660	120.843	2
SCFR_NC_072424_2_5973617_5973807_frame_2_fft	1	1	0.142105	79.834	7
SCFR_NC_072424_2_87482739_87482854_frame_1_fft	1	1	0.486957	47.582	2
SCFR_NC_072424_2_89437015_89437130_frame_3_fft	1	1	0.017391	45.576	58
SCFR_NC_072425_2_108838953_108839376_frame1_fft	1	1	0.333333	106.432	3
SCFR_NC_072425_2_10350816_10352094_frame_3_fft	4	3	0.054773;0.445227;0.110329	397.311;341.598;270.201	18;2;9
SCFR_NC_072425_2_11644301_11644695_frame_1_fft	5	3	0.091371;0.454315;0.152284	143.159;107.100;98.299	11;2;7
SCFR_NC_072425_2_124285557_124285870_frame_3_fft	2	2	0.252396;0.246006	89.740;76.256	4;4
