frame,chromosome,shadow_start,shadow_end,strand,sequence_length,GC_percent,AT_percent,GC_stretch
3,NC_073224.2,100010672,100010793,+,121,60.331,39.669,4.0
1,NC_073224.2,100011375,100011407,+,32,62.5,37.5,3.4
2,NC_073224.2,100012192,100012277,+,85,56.471,43.529,3.33333333333333
3,NC_073224.2,100013132,100013204,+,72,68.056,31.944,4.95833333333333
2,NC_073224.2,100013461,100013482,+,21,71.429,28.571,3.63636363636364
1,NC_073224.2,100017606,100017688,+,82,53.659,46.341,4.1
3,NC_073224.2,100017956,100018005,+,49,67.347,32.653,3.0
2,NC_073224.2,100020106,100020155,+,49,55.102,44.898,4.0
-3,NC_073224.2,100027136,100027232,-,96,47.917,52.083,3.0
-3,NC_073224.2,100030238,100030259,-,21,33.333,66.667,4.0
-2,NC_073224.2,100032852,100032876,-,24,41.667,58.333,3.86666666666667
-2,NC_073224.2,100035801,100035918,-,117,47.009,52.991,15.0
-3,NC_073224.2,100040876,100040927,-,51,49.02,50.98,3.5
-3,NC_073224.2,100059725,100059767,-,42,76.19,23.81,3.0
3,NC_073224.2,100075109,100075155,+,46,47.826,52.174,3.0
2,NC_073224.2,100075249,100075415,+,166,66.265,33.735,3.83333333333333
1,NC_073224.2,100075461,100076089,+,628,77.229,22.771,3.5
3,NC_073224.2,100082105,100082139,+,34,55.882,44.118,3.66666666666667
3,NC_073224.2,100082105,100082130,+,25,60.0,40.0,6.13888888888889
3,NC_073224.2,100082330,100082357,+,27,59.259,40.741,4.72222222222222
2,NC_073224.2,100082992,100083155,+,163,64.417,35.583,4.0
2,NC_073224.2,100084018,100084048,+,30,66.667,33.333,3.63636363636364
2,NC_073224.2,100088758,100088798,+,40,47.5,52.5,3.0
1,NC_073224.2,100089009,100089064,+,55,60.0,40.0,4.0
2,NC_073224.2,100089298,100089368,+,70,55.714,44.286,3.0
1,NC_073224.2,100089636,100089729,+,93,56.989,43.011,3.0
3,NC_073224.2,100089923,100089970,+,47,55.319,44.681,4.17647058823529
-2,NC_073224.2,100090885,100090890,-,5,20.0,80.0,3.33333333333333
-1,NC_073224.2,100090872,100090915,-,43,44.186,55.814,4.0
