SCFR_Name	Num_Raw_Peaks	Top_Peak_Count	Frequencies	Magnitudes	Periods
SCFR_NC_072373_2_184152897_184154172_frame_1_fft	1	1	0.333333	178.108	3
SCFR_NC_072373_2_203188775_203189041_frame2_fft	3	3	0.165414;0.334586;0.248120	88.730;75.856;74.153	6;3;4
SCFR_NC_072373_2_203188787_203189041_frame2_fft	3	3	0.165354;0.334646;0.248031	85.894;71.444;70.386	6;3;4
SCFR_NC_072373_2_211911686_211911864_frame1_fft	1	1	0.247191	61.163	4
SCFR_NC_072373_2_21211570_21212717_frame_3_fft	5	3	0.254577;0.252833;0.258936	266.453;266.428;245.767	4;4;4
SCFR_NC_072373_2_21252357_21252687_frame_1_fft	1	1	0.175758	81.668	6
SCFR_NC_072373_2_213208077_213208148_frame_1_fft	1	1	0.126761	38.944	8
SCFR_NC_072373_2_213572287_213572579_frame_3_fft	1	1	0.006849	75.430	146
SCFR_NC_072373_2_214896157_214896864_frame1_fft	2	2	0.093352;0.046676	181.514;148.222	11;21
SCFR_NC_072373_2_215590144_215590496_frame_3_fft	1	1	0.250000	180.288	4
SCFR_NC_072373_2_21755727_21756481_frame_1_fft	1	1	0.461538	132.484	2
SCFR_NC_072373_2_218575290_218575963_frame_1_fft	2	2	0.251114;0.242199	133.419;109.403	4;4
SCFR_NC_072373_2_227342859_227343360_frame1_fft	2	2	0.031936;0.163673	129.378;116.123	31;6
SCFR_NC_072373_2_227735989_227736660_frame1_fft	1	1	0.491803	148.345	2
SCFR_NC_072373_2_229169702_229170395_frame3_fft	2	2	0.492063;0.480519	158.238;132.519	2;2
SCFR_NC_072373_2_229380166_229380951_frame1_fft	1	1	0.002548	129.905	393
SCFR_NC_072373_2_229448976_229449761_frame3_fft	1	1	0.002548	132.466	393
SCFR_NC_072373_2_229696945_229697387_frame_3_fft	1	1	0.004525	93.910	222
SCFR_NC_072373_2_229808202_229808451_frame1_fft	1	1	0.333333	70.694	3
SCFR_NC_072373_2_229780677_229781001_frame1_fft	3	3	0.333333;0.101852;0.487654	91.899;91.394;85.079	3;10;2
SCFR_NC_072373_2_4107935_4108748_frame_2_fft	1	1	0.462485	125.311	2
SCFR_NC_072373_2_42095802_42096450_frame_1_fft	1	1	0.333333	167.571	3
SCFR_NC_072373_2_45948376_45949397_frame_3_fft	2	2	0.316357;0.311459	218.992;153.449	3;3
SCFR_NC_072373_2_48895508_48896470_frame2_fft	1	1	0.333680	156.081	3
SCFR_NC_072373_2_5036266_5037159_frame_3_fft	1	1	0.333707	191.257	3
SCFR_NC_072373_2_67414234_67414868_frame3_fft	1	1	0.332808	118.936	3
SCFR_NC_072373_2_87553298_87554041_frame2_fft	8	3	0.025572;0.051144;0.375505	242.094;193.641;181.180	39;20;3
SCFR_NC_072373_2_88506574_88506820_frame_3_fft	1	1	0.008130	76.974	124
SCFR_NC_072373_2_89988026_89989059_frame_2_fft	2	2	0.457890;0.470474	151.147;143.784	2;2
SCFR_NC_072373_2_93750738_93751503_frame_1_fft	1	1	0.002614	151.657	383
SCFR_NC_072373_2_95181499_95182741_frame2_fft	6	3	0.166667;0.333333;0.116747	278.643;254.552;242.648	6;3;9
SCFR_NC_072373_2_96672545_96672758_frame_2_fft	1	1	0.492958	67.461	2
SCFR_NC_072373_2_97383283_97383523_frame_3_fft	1	1	0.291667	81.208	3
SCFR_NC_072373_2_98067289_98070545_frame3_fft	21	3	0.480037;0.333231;0.466830	490.736;486.729;417.141	2;3;2
SCFR_NC_072376_2_1345552_1345963_frame2_fft	2	2	0.496350;0.051095	88.963;88.722	2;20
SCFR_NC_072376_2_159524322_159524526_frame1_fft	1	1	0.333333	65.849	3
SCFR_NC_072376_2_160587657_160588090_frame_2_fft	1	1	0.009238	115.363	108
SCFR_NC_072376_2_16702357_16702861_frame_1_fft	2	2	0.125000;0.136905	116.371;101.700	8;7
SCFR_NC_072376_2_187544775_187545174_frame_2_fft	1	1	0.496241	109.733	2
SCFR_NC_072376_2_3459151_3459247_frame2_fft	1	1	0.458333	45.060	2
SCFR_NC_072376_2_3269190_3269628_frame1_fft	2	2	0.454338;0.449772	103.040;96.267	2;2
