frame,chromosome,shadow_start,shadow_end,strand,sequence_length,GC_percent,AT_percent,GC_stretch
-1,NC_072423.2,100001716,100001788,-,72,41.667,58.333,3.25
-3,NC_072423.2,100002107,100002322,-,215,70.233,29.767,4.8
-2,NC_072423.2,100002696,100002808,-,112,51.786,48.214,4.0
-1,NC_072423.2,100005295,100005454,-,159,54.717,45.283,3.4
-2,NC_072423.2,10002111,10002153,-,42,38.095,61.905,3.0
-1,NC_072423.2,10004053,10004113,-,60,38.333,61.667,4.0
2,NC_072423.2,100048066,100048357,+,291,70.103,29.897,3.0
-2,NC_072423.2,10005660,10005662,-,2,100.0,0.0,4.11320754716981
2,NC_072423.2,100057336,100057378,+,42,47.619,52.381,4.17647058823529
2,NC_072423.2,100060742,100060762,+,20,35.0,65.0,4.75
2,NC_072423.2,100061345,100061356,+,11,72.727,27.273,3.95
2,NC_072423.2,100069266,100069309,+,43,34.884,65.116,3.0
3,NC_072423.2,100070589,100070672,+,83,43.373,56.627,3.33333333333333
2,NC_072423.2,100070822,100070884,+,62,40.323,59.677,4.0
2,NC_072423.2,100070822,100070884,+,62,40.323,59.677,4.71428571428571
2,NC_072423.2,100071842,100071874,+,32,21.875,78.125,6.28
-3,NC_072423.2,10007354,10007382,-,28,50.0,50.0,6.2
-2,NC_072423.2,10007991,10008024,-,33,39.394,60.606,5.36585365853659
-3,NC_072423.2,10009871,10009901,-,30,26.667,73.333,3.69230769230769
-1,NC_072423.2,10013041,10013049,-,8,62.5,37.5,3.0
-1,NC_072423.2,10013950,10013952,-,2,100.0,0.0,3.25
-1,NC_072423.2,10019476,10019566,-,90,41.111,58.889,3.88461538461538
3,NC_072423.2,100220253,100220381,+,128,67.969,32.031,3.33333333333333
1,NC_072423.2,100222770,100222785,+,15,53.333,46.667,3.5
-3,NC_072423.2,10022699,10022792,-,93,63.441,36.559,3.88888888888889
1,NC_072423.2,100228590,100228680,+,90,66.667,33.333,3.76923076923077
2,NC_072423.2,100229474,100229533,+,59,64.407,35.593,3.0
2,NC_072423.2,100241238,100241239,+,1,100.0,0.0,3.8
1,NC_072423.2,100241748,100242063,+,315,63.492,36.508,4.1
1,NC_072423.2,100244819,100244868,+,49,67.347,32.653,5.5
2,NC_072423.2,100245925,100246081,+,156,66.026,33.974,4.0
3,NC_072423.2,100246985,100247186,+,201,70.149,29.851,3.90909090909091
1,NC_072423.2,100247566,100247763,+,197,64.975,35.025,3.73684210526316
2,NC_072423.2,100249013,100249057,+,44,68.182,31.818,4.0
3,NC_072423.2,100255544,100255655,+,111,64.865,35.135,3.33333333333333
2,NC_072423.2,100256035,100256092,+,57,75.439,24.561,3.16666666666667
3,NC_072423.2,100256254,100256255,+,1,100.0,0.0,4.0
3,NC_072423.2,100256914,100256915,+,1,100.0,0.0,7.0
2,NC_072423.2,100257349,100257460,+,111,63.964,36.036,3.33333333333333
2,NC_072423.2,100259264,100259362,+,98,68.367,31.633,3.71428571428571
1,NC_072423.2,100259963,100260021,+,58,63.793,36.207,3.5
1,NC_072423.2,100275745,100276068,+,323,74.613,25.387,4.22727272727273
2,NC_072423.2,100278257,100278481,+,224,42.857,57.143,3.8
2,NC_072423.2,100285382,100285387,+,5,60.0,40.0,4.55555555555556
3,NC_072423.2,100290968,100291085,+,117,58.12,41.88,3.33333333333333
2,NC_072423.2,100292244,100292245,+,1,100.0,0.0,3.0
2,NC_072423.2,100292244,100292245,+,1,100.0,0.0,5.88
2,NC_072423.2,100293316,100293343,+,27,22.222,77.778,4.13793103448276
3,NC_072423.2,100293962,100294037,+,75,54.667,45.333,3.0
2,NC_072423.2,100295104,100295227,+,123,52.846,47.154,5.72222222222222
3,NC_072423.2,100303772,100303826,+,54,50.0,50.0,4.75
1,NC_072423.2,100304078,100304079,+,1,100.0,0.0,3.0
2,NC_072423.2,100305386,100305451,+,65,64.615,35.385,3.5
2,NC_072423.2,100311862,100312147,+,285,57.895,42.105,3.33333333333333
1,NC_072423.2,100312965,100313070,+,105,51.429,48.571,3.81818181818182
3,NC_072423.2,100313484,100313525,+,41,58.537,41.463,4.07142857142857
3,NC_072423.2,100313693,100313831,+,138,58.696,41.304,4.0
3,NC_072423.2,100314253,100314254,+,1,100.0,0.0,4.98850574712644
2,NC_072423.2,100315003,100315186,+,183,57.377,42.623,3.5
3,NC_072423.2,100316330,100316399,+,69,63.768,36.232,3.83333333333333
3,NC_072423.2,100320189,100320464,+,275,61.818,38.182,3.0
1,NC_072423.2,100325430,100325532,+,102,56.863,43.137,3.33333333333333
3,NC_072423.2,100325430,100325435,+,5,80.0,20.0,3.33333333333333
2,NC_072423.2,100326949,100326970,+,21,33.333,66.667,3.59183673469388
3,NC_072423.2,100329749,100329770,+,21,42.857,57.143,3.0
1,NC_072423.2,100330320,100330329,+,9,44.444,55.556,3.0
1,NC_072423.2,100330328,100330329,+,1,100.0,0.0,4.28571428571429
1,NC_072423.2,100336894,100337046,+,152,36.184,63.816,3.0
2,NC_072423.2,100340318,100340350,+,32,34.375,65.625,3.875
2,NC_072423.2,100349817,100349818,+,1,100.0,0.0,4.5
2,NC_072423.2,100349817,100349818,+,1,100.0,0.0,3.72222222222222
2,NC_072423.2,100350737,100350805,+,68,45.588,54.412,4.2
3,NC_072423.2,100355371,100355372,+,1,100.0,0.0,4.09677419354839
3,NC_072423.2,100359293,100359323,+,30,36.667,63.333,3.16666666666667
3,NC_072423.2,100359293,100359323,+,30,36.667,63.333,4.33333333333333
3,NC_072423.2,100359947,100359956,+,9,33.333,66.667,4.0
2,NC_072423.2,100361650,100361686,+,36,36.111,63.889,4.11111111111111
2,NC_072423.2,100366810,100366939,+,129,56.589,43.411,4.83333333333333
-2,NC_072423.2,10037043,10037061,-,18,27.778,72.222,4.0
1,NC_072423.2,100371743,100371744,+,1,100.0,0.0,4.0
2,NC_072423.2,100373111,100373128,+,17,47.059,52.941,4.42857142857143
3,NC_072423.2,100375757,100375874,+,117,40.171,59.829,5.66666666666667
2,NC_072423.2,100376965,100376968,+,3,33.333,66.667,4.25
1,NC_072423.2,100379721,100379784,+,63,46.032,53.968,11.0
3,NC_072423.2,100380242,100380323,+,81,45.679,54.321,4.25
-2,NC_072423.2,10038207,10038274,-,67,55.224,44.776,3.83333333333333
-2,NC_072423.2,100408740,100408800,-,60,75.0,25.0,3.6
-1,NC_072423.2,100408960,100409153,-,193,65.803,34.197,3.5
